DateTime,AddedIPs,RemovedIPs
1539274129,1,1
1539277832,0,2
1539281446,1,2
1539285126,3,1
1539288538,1,1
1539292146,0,1
1539295742,1,0
1539299319,0,2
1539302951,2,1
1539306508,22,1
1539310123,2,0
1539313742,1,1
1539317342,2,13
1539320931,1,2
1539324525,1,1
1539328139,1,0
1539331746,1,2
1539335342,1,1
1539338927,1,1
1539342517,0,1
1539346145,1,1
1539349730,1,1
1539353318,2,0
1539360527,0,1
1539364132,1,2
1539367737,2,1
1539371321,2,0
1539374935,1,2
1539378545,1,1
1539382146,2,2
1539385750,2,1
1539389403,20,2
1539392986,0,2
1539396643,1,1
1539400129,1,13
1539403739,1,1
1539407310,0,1
1539410925,1,1
1539418115,1,1
1539421710,1,0
1539425329,0,1
1539428938,0,1
1539436122,1,0
1539439722,1,0
1539443334,1,1
1539446920,0,1
1539450529,1,0
1539454118,0,1
1539457700,0,1
1539461346,1,0
1539472121,1,1
1539475732,1,0
1539479295,10,1
1539482901,1,1
1539486510,0,1
1539490119,1,15
1539504524,1,1
1539508138,1,0
1539511720,0,1
1539515319,0,1
1539522508,1,0
1539526106,1,0
1539529702,0,1
1539533324,1,1
1539544105,1,0
1539547690,1,1
1539551308,1,1
1539554905,0,1
1539558509,0,1
1539562138,1,0
1539565702,14,0
1539569313,0,1
1539572904,1,1
1539576507,1,22
1539580094,1,1
1539583705,1,1
1539587296,0,1
1539594506,1,1
1539598137,1,1
1539601709,1,0
1539605318,0,1
1539608905,0,1
1539612512,1,1
1539616139,1,0
1539619717,1,0
1539623306,1,1
1539626917,1,1
1539630764,0,1
1539634212,0,1
1539641309,0,1
1539644876,1,0
1539652114,18,0
1539655723,2,0
1539659326,2,0
1539662925,2,20
1539666528,4,3
1539670357,1,3
1539709765,4,4
1539713398,3,2
1539716882,2,2
1539720486,2,2
1539724098,0,2
1539727682,2,1
1539731273,1,2
1539735054,11,1
1539738510,1,2
1539742109,1,2
1539745729,1,17
1539749332,1,0
1539752923,2,1
1539756512,1,0
1539760124,0,2
1539763716,2,2
1539767320,2,1
1539770907,2,1
1539774489,1,1
1539778126,1,1
1539781714,1,2
1539785319,1,2
1539792521,1,1
1539796135,2,1
1539799737,1,1
1539803321,1,1
1539806905,1,2
1539810517,2,2
1539814117,2,2
1539817727,2,0
1539821359,17,1
1539824934,0,2
1539828530,3,1
1539832134,2,16
1539835741,1,1
1539839325,1,1
1539842915,2,1
1539846521,2,2
1539850133,2,2
1539853731,3,2
1539857324,0,1
1539864530,0,1
1539868141,1,2
1539871731,1,0
1539875343,1,1
1539882539,3,1
1539886110,1,2
1539889721,1,2
1539893309,0,3
1539896922,1,1
1539900530,1,1
1539904112,3,1
1539907739,1,0
1539911323,10,1
1539914926,0,3
1539918506,0,2
1539922122,0,17
1539954536,0,1
1539958126,1,0
1539994145,2,1
1539997714,12,0
1540004923,1,0
1540008503,0,12
1540080538,1,0
1540084133,14,0
1540087729,2,0
1540094916,1,14
1540109308,0,1
1540138129,1,0
1540141742,0,1
1540163320,0,1
1540166976,12,0
1540170532,1,0
1540174128,0,1
1540177733,0,10
1540181315,1,2
1540188537,0,1
1540192140,0,1
1540206514,1,0
1540210149,1,0
1540239169,1,0
1540250028,0,1
1540253908,16,0
1540264121,1,13
1540282117,0,1
1540285790,1,0
1540300127,0,1
1540336109,1,1
1540339718,3,0
1540343339,34,0
1540346931,0,1
1540350545,0,1
1540354117,0,14
1540426287,13,0
1540429727,2,0
1540433387,1,0
1540436937,1,10
1540440549,1,1
1540444133,1,2
1540447732,1,1
1540451330,1,1
1540454932,1,1
1540458515,2,1
1540462129,1,1
1540465726,0,1
1540469333,1,1
1540472937,1,2
1540476542,1,0
1540480118,1,0
1540487344,0,1
1540490930,1,1
1540494530,1,1
1540498150,1,1
1540501724,1,1
1540505342,0,1
1540508946,1,0
1540512569,11,1
1540516137,0,1
1540519735,1,0
1540523326,1,19
1540526930,0,1
1540530532,1,1
1540534135,1,1
1540537736,1,0
1540541323,2,1
1540544930,0,1
1540548524,1,1
1540552142,0,1
1540555738,1,1
1540559319,2,1
1540566532,2,1
1540573732,1,1
1540580937,1,0
1540584519,1,1
1540588128,1,1
1540595331,1,1
1540598933,1,0
1540602526,21,1
1540609735,1,2
1540613344,2,36
1540616935,0,1
1540624139,1,1
1540627745,1,2
1540642133,2,1
1540645714,1,0
1540649323,1,1
1540652950,0,1
1540656533,0,1
1540660141,1,1
1540663728,2,2
1540667347,0,1
1540674538,1,0
1540678131,1,0
1540681753,1,1
1540685353,18,1
1540692526,0,3
1540696127,0,15
1540699736,0,2
1540706915,1,0
1540735719,0,1
1540750112,1,0
1540768153,0,1
1540771753,15,0
1540775332,1,0
1540782529,0,15
1540858227,13,0
1540868937,0,21
1540948151,10,0
1540958932,0,12
1541031129,13,0
1541038195,0,1
1541041791,1,13
1541048983,1,0
1541059767,1,1
1541063346,1,0
1541066925,1,1
1541070521,0,1
1541074177,1,0
1541077731,0,1
1541081334,0,1
1541084917,1,1
1541088541,1,0
1541095813,1,0
1541102941,0,1
1541106524,1,1
1541113730,1,0
1541117347,3,1
1541120944,20,0
1541128131,1,1
1541131764,0,16
1541138943,1,1
1541142527,0,1
1541146146,0,1
1541149731,1,0
1541153339,1,0
1541167737,0,1
1541174958,1,1
1541178543,1,0
1541189399,0,1
1541196547,1,0
1541203750,0,1
1541207338,12,1
1541210921,1,0
1541214520,0,1
1541218129,1,10
1541221718,1,0
1541225320,1,0
1541228923,1,1
1541232569,0,1
1541239714,1,1
1541254121,1,0
1541257694,0,1
1541261338,1,1
1541264912,0,1
1541272122,1,1
1541275731,1,1
1541290160,6,1
1541297339,0,1
1541300927,0,11
1541376628,14,0
1541387316,0,21
1541462965,32,0
1541466527,1,0
1541470132,1,0
1541473713,1,11
1541477311,0,3
1541480920,1,1
1541484540,1,0
1541491724,0,1
1541498924,1,1
1541502519,1,0
1541506124,1,1
1541509719,1,1
1541513350,0,1
1541524116,1,1
1541527762,1,0
1541534936,0,1
1541538517,1,1
1541542124,1,0
1541545742,0,1
1541549373,20,0
1541552967,1,0
1541560118,1,7
1541563744,0,2
1541570920,1,1
1541574539,1,1
1541578138,0,1
1541581734,1,1
1541585321,1,1
1541588925,0,1
1541592525,3,0
1541596116,1,0
1541599717,0,1
1541603330,0,1
1541606913,0,1
1541635756,14,0
1541646533,0,15
1541650121,0,2
1541722272,20,0
1541732922,0,29
1541779725,2,0
1541808572,10,0
1541812116,1,0
1541815735,1,0
1541819322,1,19
1541822912,0,1
1541826521,0,1
1541830124,1,1
1541837335,1,0
1541844524,0,1
1541848131,1,1
1541855323,1,0
1541858927,1,0
1541862532,1,1
1541866100,0,1
1541869711,0,1
1541873322,1,1
1541884103,0,1
1541887696,1,0
1541895005,15,0
1541905705,0,11
1541909308,0,2
1541923704,1,0
1541941713,1,0
1541945304,0,1
1541948907,1,0
1541952528,2,1
1541959721,1,1
1541963295,1,2
1541970517,0,1
1541981350,0,1
1541984897,10,0
1541992087,2,0
1541995709,1,24
1541999298,1,0
1542002903,1,2
1542006505,1,1
1542013708,1,1
1542017296,1,1
1542020906,0,1
1542024529,1,1
1542028118,1,1
1542031700,1,0
1542035316,1,1
1542038888,0,1
1542042517,1,1
1542046108,1,1
1542049719,1,0
1542053307,1,1
1542056902,1,1
1542060505,1,1
1542064115,1,1
1542067875,14,1
1542071305,0,1
1542074912,0,1
1542078513,0,11
1542154146,2,0
1542157698,10,0
1542161327,2,0
1542164903,2,0
1542168504,0,15
1542172110,1,2
1542175714,1,1
1542182904,0,2
1542190118,1,0
1542211714,1,0
1542218909,1,2
1542226224,2,0
1542229897,0,1
1542233532,0,1
1542236908,1,1
1542244106,11,0
1542251297,1,1
1542254906,0,12
1542258516,1,0
1542262114,1,1
1542265727,1,1
1542269295,1,1
1542272909,2,1
1542276507,1,1
1542280107,1,0
1542283693,0,1
1542287313,0,1
1542290898,1,0
1542298115,1,0
1542301719,0,1
1542305292,0,1
1542312497,1,0
1542316113,1,1
1542323322,1,1
1542330554,18,0
1542334096,1,1
1542341349,1,14
1542344962,0,1
1542348485,1,1
1542352096,1,0
1542355693,0,1
1542359288,1,0
1542370120,0,1
1542373687,1,1
1542377301,1,0
1542380906,1,1
1542384512,0,1
1542388117,1,1
1542391689,1,1
1542395303,1,1
1542398896,1,0
1542402508,0,1
1542406085,1,0
1542409710,0,1
1542413403,14,1
1542416888,1,0
1542420506,0,1
1542424113,0,11
1542499745,2,0
1542503302,20,0
1542514113,0,14
1542589697,7,0
1542600498,0,16
1542676100,9,0
1542686905,0,14
1542759000,18,0
1542769713,0,19
1542848902,22,0
1542859707,0,8
1542935290,22,0
1542938922,2,0
1542942488,0,1
1542946135,0,8
1542960493,0,2
1542967691,2,0
1542989298,1,0
1542996479,0,2
1543000100,2,0
1543003682,0,1
1543018112,1,2
1543021694,8,0
1543025296,1,0
1543032493,2,19
1543039693,3,1
1543046887,0,1
1543050490,0,2
1543054110,2,1
