DateTime,AddedIPs,RemovedIPs
1542078261,90,81
1542080205,114,90
1542082132,97,63
1542084035,71,1138
1542085963,113,511
1542087874,110,72
1542089824,85,106
1542091937,105,111
1542093874,98,2177
1542096999,130,164
1542098900,89,64
1542100824,101,77
1542102741,99,85
1542104682,80,78
1542106583,76,121
1542108497,70,125
1542110488,91,116
1542112370,82,67
1542114261,85,103
1542116425,91,201
1542118347,79,89
1542120261,67,83
1542122188,72,89
1542124258,117,124
1542126267,148,99
1542128177,110,81
1542130104,101,80
1542132029,79,81
1542133996,72,94
1542135862,96,162
1542137778,82,118
1542139966,108,92
1542141884,206,107
1542143794,1216,105
1542145709,3303,123
1542147635,96,236
1542149572,72,109
1542151465,70,91
1542153457,67,73
1542155535,68,86
1542157476,68,118
1542159370,156,74
1542161319,94,81
1542163464,98,98
1542165386,58,82
1542167302,49,133
1542169215,59,78
1542171176,69,113
1542173061,58,106
1542174981,71,244
1542176898,75,122
1542178843,81,277
1542180771,576,92
1542182932,609,91
1542185067,125,107
1542187001,127,101
1542189145,103,103
1542191076,62,91
1542193001,77,80
1542194897,56,85
1542196875,117,93
1542198781,114,82
1542200670,79,94
1542202580,83,87
1542204502,71,85
1542206421,67,92
1542208349,76,79
1542210262,85,116
1542212444,902,133
1542214379,1065,133
1542216516,129,85
1542219388,142,112
1542221552,124,103
1542223450,88,98
1542225365,64,62
1542227552,102,126
1542229488,88,100
1542231402,67,1399
1542233330,90,2694
1542235466,82,83
1542237655,76,87
1542239793,57,69
1542241698,78,126
1542243626,56,78
1542245548,71,161
1542247480,77,89
1542249617,112,106
1542251550,964,70
1542253486,69,45
1542255618,68,70
1542257572,56,69
1542259472,78,67
1542261376,207,68
1542263321,72,75
1542265230,64,73
1542267152,72,626
1542269094,119,913
1542271225,102,136
1542273144,79,71
1542275062,86,180
1542277039,73,71
1542278908,76,66
1542280816,203,96
1542282734,84,107
1542284671,64,89
1542286571,82,100
1542288513,128,104
1542290434,77,78
1542292356,66,57
1542294528,140,96
1542296454,258,99
1542298653,107,91
1542300782,190,201
1542302890,119,133
1542305079,105,109
1542306969,513,112
1542308923,102,94
1542310841,113,87
1542312761,71,62
1542314666,81,104
1542316836,132,85
1542318762,86,96
1542320898,95,89
1542323084,98,75
1542324987,72,54
1542326914,161,64
1542328830,107,71
1542330767,84,50
1542332656,148,72
1542334586,88,98
1542336515,93,83
1542338437,89,1070
1542340339,92,73
1542342258,72,72
1542344176,73,63
1542346357,110,100
1542348284,1515,226
1542350175,249,69
1542352202,90,97
1542354037,100,126
1542355945,88,66
1542357762,66,108
1542359795,89,78
1542361700,78,98
1542363643,66,86
1542365542,81,98
1542367457,89,208
1542369389,93,79
1542371296,74,78
1542373225,91,93
1542375159,321,138
1542377060,3362,108
1542378983,3261,155
1542380916,442,154
1542382815,89,327
1542385126,85,867
1542387392,113,1056
1542389291,70,83
1542391258,81,67
1542393162,88,333
1542395075,68,212
1542396974,111,120
1542398922,99,78
1542400839,150,65
1542402746,65,115
1542404680,100,78
1542406662,81,81
1542408497,86,81
1542410432,89,64
1542412376,92,83
1542414256,114,71
1542416175,156,100
1542418110,126,140
1542420029,312,93
1542421949,113,73
1542423876,62,85
1542425802,86,95
1542427701,62,77
1542429617,76,88
1542431540,355,92
1542433476,172,89
1542435387,71,1418
1542437298,98,180
1542439214,61,148
1542441136,51,82
1542443071,59,88
1542444991,67,91
1542446892,140,59
1542448849,117,84
1542450757,129,63
1542452662,70,87
1542454589,111,71
1542456499,99,80
1542458415,177,79
1542460343,1518,84
1542462259,1149,1524
1542464190,127,3221
1542466096,147,2417
1542468015,127,110
1542469936,115,86
1542471872,151,85
1542473937,103,105
1542475943,102,92
1542477887,103,92
1542479771,113,91
1542481715,102,84
1542483619,1106,110
1542485538,1356,95
1542487462,131,101
1542489634,118,103
1542491561,99,109
1542493486,92,88
1542495393,66,116
1542497567,82,95
1542499458,135,104
1542501370,115,198
1542503309,86,107
1542505229,99,124
1542507154,88,85
1542509071,66,72
1542511005,88,75
1542512909,83,62
1542514834,88,82
1542516756,93,94
1542518667,81,769
1542520890,282,94
1542523002,96,101
1542524937,74,326
1542526837,99,58
1542528756,79,115
1542530663,89,72
1542532601,171,80
1542534498,106,68
1542536427,92,107
1542538365,95,84
1542540255,82,112
1542542194,138,141
1542544093,91,113
1542546045,110,937
1542547961,103,1392
1542549865,78,284
1542551772,121,94
1542553732,165,113
1542555632,268,74
1542557596,292,126
1542559472,133,63
1542561548,126,81
1542563528,205,88
1542565466,102,84
1542567664,141,116
1542569535,115,134
1542571455,134,83
1542573378,105,127
1542575307,136,114
1542577222,195,91
1542579387,109,509
1542581298,111,94
1542583213,107,68
1542585144,95,106
1542587111,1842,113
1542588986,2001,2112
1542590888,1664,98
1542592847,365,83
1542594752,1174,92
