DateTime,Entries,UniqueIPs
1542078261,3244,3244
1542080205,3254,3254
1542082133,3267,3267
1542084035,2591,2591
1542085963,2301,2301
1542087875,2309,2309
1542089824,2332,2332
1542091938,2351,2351
1542093874,2043,2043
1542096055,2033,2033
1542097943,2043,2043
1542099866,2055,2055
1542101787,2059,2059
1542103717,2065,2065
1542105615,2069,2069
1542107556,2068,2068
1542109459,2063,2063
1542111387,2063,2063
1542113549,2054,2054
1542115479,2046,2046
1542117396,1982,1982
1542119295,1974,1974
1542121220,1968,1968
1542123140,1989,1989
1542125062,1976,1976
1542127233,1987,1987
1542129147,1994,1994
1542131065,1994,1994
1542133006,1991,1991
1542135130,1984,1984
1542137070,1982,1982
1542139001,1987,1987
1542140917,1981,1981
1542143794,2259,2259
1542145709,2949,2949
1542147636,2886,2886
1542149573,2874,2874
1542151465,2871,2871
1542153458,2872,2872
1542155535,2860,2860
1542157476,2829,2829
1542159370,2878,2878
1542161322,2865,2865
1542163465,2864,2864
1542165386,2854,2854
1542167302,2839,2839
1542169216,2813,2813
1542171176,2802,2802
1542173061,2791,2791
1542174981,2679,2679
1542176898,2643,2643
1542179789,2524,2524
1542181696,3004,3004
1542183889,3127,3127
1542185767,3113,3113
1542187972,3124,3124
1542189852,3112,3112
1542191787,3094,3094
1542193698,3085,3085
1542195861,3076,3076
1542197800,3073,3073
1542199693,3072,3072
1542201629,3070,3070
1542203545,3068,3068
1542205457,3068,3068
1542207383,3053,3053
1542209295,3026,3026
1542211235,3027,3027
1542213402,4152,4152
1542215339,4191,4191
1542217480,4191,4191
1542219389,4196,4196
1542221553,4190,4190
1542223451,4191,4191
1542225366,4188,4188
1542227553,4195,4195
1542229489,4204,4204
1542231403,3972,3972
1542233331,3509,3509
1542235466,3513,3513
1542237655,3504,3504
1542239793,3496,3496
1542241698,3492,3492
1542243628,3486,3486
1542245548,3415,3415
1542247481,3411,3411
1542249618,3396,3396
1542251552,3594,3594
1542253487,3593,3593
1542255618,3597,3597
1542257573,3598,3598
1542259473,3589,3589
1542261376,3681,3681
1542263321,3686,3686
1542265248,3693,3693
1542267153,3208,3208
1542269095,3007,3007
1542271225,2961,2961
1542273146,2971,2971
1542275063,2965,2965
1542277039,2976,2976
1542278909,2977,2977
1542280816,3061,3061
1542282735,3060,3060
1542284671,3062,3062
1542286571,3065,3065
1542288513,3067,3067
1542290439,3069,3069
1542292356,3071,3071
1542294529,3093,3093
1542296455,3175,3175
1542298653,3170,3170
1542300782,3137,3137
1542302890,3150,3150
1542305079,3153,3153
1542306969,3497,3497
1542308925,3508,3508
1542310842,3539,3539
1542312761,3537,3537
1542314666,3525,3525
1542316836,3525,3525
1542318762,3521,3521
1542320898,3524,3524
1542323084,3525,3525
1542324988,3528,3528
1542326914,3548,3548
1542328831,3548,3548
1542330767,3560,3560
1542332656,3616,3616
1542334587,3619,3619
1542336515,3623,3623
1542338437,3415,3415
1542340340,3417,3417
1542342258,3418,3418
1542344176,3415,3415
1542346357,3419,3419
1542348285,3754,3754
1542350175,3780,3780
1542352202,3769,3769
1542354037,3765,3765
1542355946,3756,3756
1542357762,3750,3750
1542359796,3744,3744
1542361700,3726,3726
1542363643,3713,3713
1542365542,3712,3712
1542367457,3634,3634
1542369389,3625,3625
1542371297,3615,3615
1542373230,3611,3611
1542375159,3622,3622
1542377060,3952,3952
1542378983,4428,4428
1542380917,4425,4425
1542382815,4310,4310
1542385127,3850,3850
1542387392,3194,3194
1542389292,3186,3186
1542391269,3181,3181
1542393162,2984,2984
1542395075,2854,2854
1542396974,2818,2818
1542398923,2811,2811
1542400839,2819,2819
1542402746,2813,2813
1542404680,2822,2822
1542406663,2821,2821
1542408498,2821,2821
1542410432,2818,2818
1542412376,2826,2826
1542414257,2864,2864
1542416175,2919,2919
1542418110,2871,2871
1542420039,2966,2966
1542421950,2977,2977
1542423876,2972,2972
1542425803,2963,2963
1542427702,2959,2959
1542429618,2960,2960
1542431540,3012,3012
1542433476,3025,3025
1542435387,2533,2533
1542437298,2475,2475
1542439214,2452,2452
1542441137,2440,2440
1542443071,2439,2439
1542444991,2432,2432
1542446893,2458,2458
1542448860,2476,2476
1542450757,2492,2492
1542452662,2488,2488
1542454590,2492,2492
1542456500,2491,2491
1542458415,2512,2512
1542460344,3460,3460
1542462259,4018,4018
1542464190,3715,3715
1542466098,3305,3305
1542468016,3321,3321
1542469936,3337,3337
1542471873,3349,3349
1542473937,3347,3347
1542475944,3358,3358
1542477888,3368,3368
1542479772,3374,3374
1542481716,3390,3390
1542483619,3501,3501
1542485538,3717,3717
1542487462,3735,3735
1542489634,3739,3739
1542491562,3726,3726
1542493486,3728,3728
1542495393,3717,3717
1542497567,3715,3715
1542499459,3693,3693
1542501370,3616,3616
1542503310,3603,3603
1542505229,3596,3596
1542507154,3599,3599
1542509072,3595,3595
1542511005,3602,3602
1542512909,3600,3600
1542514835,3592,3592
1542516757,3581,3581
1542518668,3408,3408
1542520891,3504,3504
1542523002,3519,3519
1542524937,3407,3407
1542526837,3414,3414
1542528757,3397,3397
1542530663,3399,3399
1542532601,3475,3475
1542534498,3470,3470
1542536427,3466,3466
1542538366,3460,3460
1542540255,3460,3460
1542542195,3455,3455
1542544093,3457,3457
1542546054,2886,2886
1542547961,2015,2015
1542549865,1878,1878
1542551773,1913,1913
1542553734,1934,1934
1542555632,2030,2030
1542557596,2108,2108
1542559472,2136,2136
1542561548,2151,2151
1542563528,2210,2210
1542565467,2209,2209
1542567675,2203,2203
1542569535,2166,2166
1542571455,2188,2188
1542573378,2197,2197
1542575308,2215,2215
1542577222,2270,2270
1542579387,2222,2222
1542581298,2242,2242
1542583213,2255,2255
1542585144,2249,2249
1542587111,3528,3528
1542588986,4200,4200
1542590889,5250,5250
1542593782,5977,5977
1542595696,6207,6207
1542597623,6219,6219
1542599535,6230,6230
1542601490,6245,6245
1542603377,6256,6256
1542605288,6163,6163
1542607235,6260,6260
1542609138,6319,6319
1542611054,6322,6322
1542612997,6317,6317
1542614918,6326,6326
1542616829,6345,6345
1542618738,6317,6317
1542620672,6325,6325
1542622583,6323,6323
1542624510,6325,6325
1542626425,6324,6324
1542628593,6316,6316
1542630492,6326,6326
1542632445,6317,6317
1542634337,6322,6322
1542636276,6322,6322
1542638195,6318,6318
1542640180,6315,6315
1542642077,6209,6209
1542643976,6142,6142
1542645865,6100,6100
1542647798,6083,6083
1542649934,6072,6072
1542651859,6072,6072
1542653782,6063,6063
1542655945,6053,6053
1542657865,6004,6004
1542659779,7014,7014
1542661727,7373,7373
1542663619,7457,7457
1542665607,7444,7444
1542667472,7418,7418
1542669399,7412,7412
