DateTime,AddedIPs,RemovedIPs
1542004602,1,1
1542006505,1,0
1542008422,1,1
1542010369,1,0
1542012270,2,1
1542018019,1,2
1542019939,2,1
1542021881,1,1
1542023781,1,4
1542025703,0,1
1542027677,0,1
1542029552,2,1
1542031492,2,0
1542033384,2,0
1542035305,1,2
1542037225,1,1
1542039145,2,1
1542044916,0,2
1542046820,0,2
1542048743,1,0
1542050698,3,0
1542055024,2,0
1542056926,1,2
1542058837,1,1
1542062676,2,3
1542064859,3,1
1542066743,3,2
1542068676,1,2
1542070595,2,1
1542072539,1,0
1542075388,2,2
1542077296,0,4
1542079238,1,3
1542081155,2,1
1542083083,1,0
1542084993,2,0
1542086919,2,0
1542088880,2,2
1542090766,2,0
1542092657,3,2
1542094576,3,1
1542096520,1,1
1542098440,0,1
1542102283,1,0
1542104192,2,0
1542106114,3,2
1542108089,1,1
1542110014,2,1
1542111882,2,0
1542114086,3,0
1542115958,3,2
1542117865,0,2
1542119799,0,2
1542121727,0,1
1542123637,1,1
1542125601,0,2
1542127455,1,0
1542131555,2,0
1542133464,0,1
1542135395,3,0
1542137303,2,3
1542139467,2,0
1542141390,2,2
1542143330,2,1
1542145252,1,1
1542147142,3,0
1542149063,2,2
1542151002,1,2
1542152917,1,2
1542154814,1,0
1542156771,0,3
1542158659,1,0
1542160599,1,3
1542162494,0,1
1542166342,0,2
1542168289,1,1
1542170175,2,1
1542172118,2,2
1542174018,1,2
1542175953,0,2
1542177860,2,2
1542179790,0,3
1542181697,0,4
1542183890,2,1
1542189853,1,2
1542191788,4,2
1542193699,2,1
1542195862,3,2
1542197801,1,2
1542199694,0,2
1542201630,6,3
1542203546,0,1
1542209296,0,1
1542211249,0,3
1542213402,3,2
1542215340,3,0
1542217481,4,1
1542219390,3,1
1542221554,2,1
1542223452,0,4
1542225367,0,2
1542227554,1,2
1542229490,0,2
1542231404,1,1
1542233332,3,3
1542235467,1,2
1542237657,2,2
1542239794,1,1
1542241699,1,0
1542245549,1,1
1542247482,4,1
1542249619,4,0
1542251554,1,0
1542253488,0,2
1542255620,1,0
1542257574,2,2
1542259474,3,1
1542261377,0,1
1542263322,2,1
1542265257,1,1
1542267154,3,0
1542269097,1,1
1542271226,1,1
1542273148,2,0
1542275063,0,1
1542277040,0,4
1542278909,1,3
1542280817,1,0
1542282735,1,3
1542284672,2,1
1542286572,3,1
1542288514,0,5
1542290463,1,0
1542292357,1,0
1542294531,2,0
1542296456,2,0
1542298654,1,3
1542300783,1,2
1542302891,1,4
1542305080,0,3
1542306970,2,2
1542308926,0,1
1542312762,3,1
1542314667,2,0
1542316852,1,1
1542318763,1,1
1542320899,1,3
1542323085,1,1
1542324989,2,1
1542326915,0,1
1542328831,0,1
1542330768,1,0
1542332657,2,2
1542336516,2,5
1542338438,0,1
1542340340,4,0
1542342259,1,1
1542344177,0,1
1542346358,0,3
1542348287,2,2
1542352207,5,1
1542354039,2,1
1542355958,1,1
1542357764,3,2
1542359797,4,1
1542361701,1,0
1542363644,2,0
1542365544,0,1
1542367458,0,1
1542369390,0,1
1542371298,0,1
1542373255,0,3
1542377061,3,1
1542378984,2,1
1542380918,3,2
1542382817,1,2
1542385128,9,1
1542387393,0,1
1542389293,1,1
1542393163,2,2
1542395076,1,0
1542396975,2,0
1542398924,0,2
1542400840,2,2
1542402747,3,1
1542404682,0,1
1542406664,0,2
1542408500,2,2
1542410433,0,2
1542412377,1,1
1542414258,2,0
1542416176,1,0
1542418111,1,1
1542420099,3,1
1542421951,1,1
1542423877,0,1
1542425804,2,1
1542427703,2,4
1542429619,2,1
1542431541,2,0
1542433477,2,1
1542435388,0,1
1542437300,4,1
1542439217,2,6
1542441138,1,0
1542443073,0,1
1542444992,1,6
1542446894,0,2
1542448886,3,1
1542450759,4,1
1542452664,1,0
1542454591,1,0
1542456501,2,0
1542458417,2,0
1542460345,4,0
1542462271,1,1
1542464192,2,4
1542466099,1,4
1542468017,1,1
1542469937,3,3
1542471874,2,7
1542473938,1,0
1542475945,2,1
1542477889,1,0
1542479773,0,2
1542481717,0,1
1542483621,2,2
1542485540,1,0
1542487464,2,2
1542489636,0,3
1542491563,2,0
1542495394,2,2
1542497569,0,2
1542499460,1,0
1542501372,3,3
1542503311,5,2
1542505230,4,0
1542507155,4,4
1542511006,1,1
1542512910,1,2
1542514837,2,2
1542516758,1,2
1542518669,1,1
1542520893,1,2
1542523003,3,3
1542524938,2,3
1542526838,1,0
1542528757,6,1
1542530664,2,1
1542532602,1,0
1542534499,1,0
1542536428,0,4
1542538367,1,2
1542540256,0,1
1542542196,3,2
1542544094,1,3
1542546082,0,3
1542547962,7,2
1542549866,0,2
1542551773,1,0
1542553738,1,2
1542555633,3,2
1542557597,4,1
1542559473,1,0
1542561549,0,2
1542563529,1,2
1542567686,2,0
1542569536,1,1
1542571456,2,1
1542573379,2,3
1542575309,1,0
1542577223,2,1
1542579389,3,2
1542581299,3,2
1542585152,5,1
1542587112,2,1
1542588987,3,5
1542590889,1,5
1542593784,3,4
1542597624,3,1
1542599536,2,1
1542601491,3,1
1542603379,0,1
1542605289,2,1
1542607274,7,1
1542609139,3,2
1542611055,0,3
1542612998,2,1
1542614921,1,6
1542616830,3,2
1542618739,3,1
1542620674,1,1
1542622584,4,0
1542624511,2,1
1542628594,0,3
1542630493,2,1
1542632476,5,0
1542634338,4,6
1542636277,3,0
1542638196,4,1
1542640180,1,1
1542642078,4,1
1542643977,3,4
1542645866,0,1
1542649934,2,1
1542653782,1,1
