DateTime,AddedIPs,RemovedIPs
1539852761,0,2
1539854667,1,0
1539856589,0,4
1539858505,0,1
1539860473,0,1
1539862348,1,0
1539871955,1,0
1539873874,0,1
1539877696,1,0
1539879641,0,1
1539895214,1,0
1539910579,1,0
1539914471,0,1
1539920174,1,0
1539922110,0,1
1539924038,0,1
1539933634,1,0
1539941317,0,1
1539949211,0,1
1539957162,0,1
1539962894,0,1
1539971059,1,0
1539974913,1,0
1539980685,0,1
1539997950,0,1
1539999878,1,0
1540005620,0,1
1540009476,1,0
1540013295,1,0
1540019087,0,1
1540038274,1,0
1540049801,1,0
1540057476,0,1
1540061310,0,1
1540072918,1,0
1540086269,1,1
1540095871,0,1
1540099706,0,1
1540103575,1,0
1540123492,1,0
1540125382,0,1
1540134860,0,1
1540148922,1,0
1540158492,0,1
1540160433,1,0
1540168116,1,0
1540174037,1,1
1540181771,1,0
1540189702,0,1
1540196428,1,0
1540200261,1,0
1540206255,1,0
1540210126,0,1
1540215885,1,0
1540229784,1,0
1540237486,1,0
1540247072,0,2
1540254986,0,1
1540262659,1,0
1540268417,1,1
1540284033,0,1
1540285967,1,0
1540287881,0,1
1540289914,1,0
1540293640,0,1
1540297499,0,1
1540301536,0,1
1540315486,1,1
1540321277,1,0
1540325088,0,1
1540326990,1,0
1540334680,1,0
1540350270,0,1
1540352210,1,0
1540356025,1,0
1540358531,1,0
1540364690,1,0
1540366577,1,0
1540372591,1,1
1540374496,1,1
1540384818,1,0
1540387020,1,0
1540389145,1,0
1540402595,0,1
1540408343,1,1
1540414103,0,1
1540420008,1,1
1540423940,1,0
1540437881,0,1
1540441950,0,1
1540446048,0,1
1540449892,0,1
1540453715,1,1
1540459483,0,1
1540461406,0,1
1540469335,1,1
1540475080,1,2
1540477000,1,0
1540480993,1,0
1540494265,1,1
1540501967,1,0
1540505794,0,1
1540511545,0,1
1540521152,0,1
1540523069,2,0
1540530765,1,0
1540534825,1,0
1540536765,1,0
1540540603,1,1
1540542524,2,0
1540548279,1,0
1540552589,1,0
1540556444,0,1
1540562199,0,1
1540564343,0,1
1540566275,2,0
1540568448,0,1
1540574207,1,0
1540578046,1,0
1540579962,1,1
1540590041,0,1
1540609731,0,1
1540617398,0,1
1540621231,1,0
1540623162,0,1
1540627028,0,1
1540629147,0,2
1540631055,1,0
1540635154,0,1
1540639124,0,1
1540641143,0,1
1540643119,1,0
1540652673,0,1
1540660598,1,1
1540664668,0,2
1540666576,0,1
1540674532,1,0
1540676677,1,0
1540707874,1,1
1540710069,1,1
1540717949,1,0
1540725616,1,0
1540729477,1,1
1540731381,1,0
1540735258,1,0
1540741008,1,0
1540746772,0,1
1540750840,1,0
1540752763,1,0
1540754699,2,0
1540760478,0,1
1540764294,0,1
1540772425,2,0
1540776286,1,0
1540785886,1,0
1540791869,1,0
1540795743,0,1
1540797635,0,1
1540801485,1,0
1540803691,0,1
1540813244,0,1
1540817549,0,2
1540821402,1,1
1540829095,0,1
1540833384,0,1
1540837709,1,1
1540839634,0,3
1540857399,1,0
1540859569,0,2
1540873247,1,1
1540877060,0,1
1540879000,2,0
1540880921,1,0
1540888848,0,1
1540907074,0,1
1540913078,1,0
1540921239,1,0
1540923167,0,1
1540936909,0,1
1540944512,0,1
1540946416,1,0
1540959877,0,1
1540965871,0,2
1540975464,1,0
1540979299,1,0
1540983150,1,0
1540992987,1,0
1540996854,0,1
1540998772,0,1
1541008885,0,1
1541014842,1,0
1541016765,1,0
1541026616,1,0
1541028520,1,0
1541032342,0,1
1541034294,1,0
1541047937,2,0
1541061639,0,1
1541065497,0,1
1541069562,1,1
1541077708,0,1
1541093075,2,0
1541101209,0,1
1541103144,0,1
1541111542,1,1
1541115376,0,1
1541121164,0,1
1541123061,1,0
1541133142,0,2
1541135062,1,0
1541154757,1,0
1541156730,0,1
1541160773,1,0
1541164848,2,0
1541178781,0,2
1541180664,1,0
1541198447,1,1
1541202265,1,0
1541206110,1,0
1541209959,0,1
1541211869,1,0
1541215954,1,0
1541220020,0,1
1541221988,1,0
1541227988,1,0
1541235687,1,0
1541241387,0,1
1541247172,0,1
1541251005,0,2
1541253015,1,0
1541256739,1,0
1541262493,1,0
1541264461,2,0
1541278103,1,0
1541283904,1,1
1541289872,0,1
1541293694,0,1
1541297808,0,1
1541301624,1,2
1541303543,1,0
1541305490,2,0
1541319164,1,0
1541322991,0,1
1541326817,1,0
1541332604,1,0
1541339301,0,1
1541343161,0,1
1541348900,0,1
1541350847,0,2
1541358742,1,0
1541364503,0,1
1541370281,0,1
1541378189,1,0
1541384203,1,0
1541388034,0,1
1541389941,0,1
1541391863,0,1
1541403393,1,0
1541405323,0,1
1541418989,0,1
1541440101,1,0
1541445888,0,2
1541453556,0,1
1541463393,0,1
1541465308,1,0
1541469154,1,1
1541473002,1,1
1541490253,0,1
1541500133,1,0
1541505914,1,0
1541521696,1,0
1541526527,0,1
1541530348,1,0
1541547149,1,0
1541551384,2,1
1541555541,1,1
1541559392,0,1
1541573080,2,0
1541574990,1,0
1541586505,0,1
1541593236,0,1
1541597057,1,0
1541603072,1,0
