DateTime,AddedIPs,RemovedIPs
1539176476,0,2
1539182442,0,1
1539190576,1,0
1539192503,0,1
1539196372,0,1
1539198265,1,0
1539207863,1,0
1539211717,1,0
1539217476,0,1
1539223480,0,1
1539235006,1,0
1539240761,0,1
1539244579,0,1
1539246516,1,0
1539275773,0,1
1539285387,0,1
1539294971,0,1
1539298869,0,1
1539321881,0,1
1539325713,1,0
1539339402,1,0
1539368904,0,1
1539411890,1,1
1539427241,0,1
1539429144,1,0
1539484111,1,0
1539499474,1,1
1539515082,0,1
1539555400,1,0
1539570752,0,1
1539586102,0,1
1539595953,1,0
1539609390,1,0
1539630988,1,0
1539640852,0,1
1539654272,1,0
1539670607,1,0
1539682350,0,1
1539696034,0,1
1539718098,0,1
1539724113,1,0
1539727956,1,0
1539732026,1,0
1539735877,1,0
1539737776,1,0
1539739700,1,1
1539741695,3,0
1539749306,1,0
1539753149,1,0
1539757003,0,1
1539762759,1,0
1539768765,1,0
1539770662,1,0
1539780286,1,0
1539809551,0,1
1539811479,1,0
1539817274,0,2
1539822978,0,2
1539824912,1,1
1539826822,0,1
1539829127,0,2
1539833073,1,0
1539835267,0,1
1539839064,0,1
1539841250,1,0
1539848903,0,1
1539850830,1,0
1539856589,0,2
1539868107,0,1
1539895214,1,0
1539897164,0,1
1539899061,1,0
1539912524,0,1
1539914493,1,0
1539920174,0,1
1539927858,0,1
1539935570,0,1
1539943278,1,0
1539953299,2,0
1539960997,1,0
1539980685,0,1
1539984508,0,1
1539986451,1,0
1540001781,0,1
1540030601,0,1
1540038274,0,1
1540040195,0,1
1540045955,0,1
1540068990,1,0
1540072920,0,1
1540111706,1,0
1540119683,1,0
1540127381,1,0
1540145093,1,0
1540154662,0,1
1540164272,1,0
1540170037,1,0
1540185876,2,0
1540191656,1,0
1540193549,1,0
1540199389,0,1
1540201246,1,0
1540205050,0,1
1540213260,0,1
1540232666,0,1
1540238473,1,0
1540250184,0,1
1540257860,0,1
1540269415,1,0
1540271318,0,1
1540273243,1,1
1540277648,0,1
1540279471,0,1
1540283568,1,0
1540287387,0,1
1540291219,1,0
1540293151,1,0
1540296998,1,0
1540326018,0,1
1540355072,0,1
1540358937,0,1
1540369246,0,1
1540377052,0,1
1540379084,0,1
1540381225,0,1
1540396359,1,0
1540400282,1,0
1540408829,1,0
1540412675,1,0
1540453715,2,0
1540473153,1,0
1540484191,0,1
1540486103,0,1
1540494265,0,1
1540509701,1,0
1540513487,1,0
1540517323,1,0
1540540604,0,2
1540556445,2,0
1540558355,0,1
1540564343,1,0
1540568448,1,1
1540578049,1,0
1540579962,1,0
1540590041,1,0
1540596014,0,1
1540598182,0,1
1540603960,0,1
1540605886,1,0
1540623162,1,0
1540639125,1,0
1540643119,0,2
1540650751,0,1
1540654596,1,1
1540660599,1,0
1540666576,0,1
1540674533,0,1
1540686287,1,0
1540688485,1,0
1540692524,1,1
1540710073,0,1
1540717950,1,1
1540725616,0,1
1540741008,0,1
1540744837,1,0
1540746772,0,1
1540752763,2,0
1540766426,1,0
1540772426,2,0
1540774348,0,2
1540780126,0,1
1540799562,1,0
1540805565,0,1
1540831385,1,1
1540833385,1,0
1540839634,1,2
1540845646,1,0
1540851645,1,0
1540853675,0,1
1540859569,0,2
1540867240,1,0
1540884764,0,1
1540895107,1,0
1540899142,1,0
1540913079,1,0
1540917182,0,1
1540927254,0,1
1540936914,0,1
1540952202,0,1
1540963712,1,0
1540981225,1,1
1540985061,0,1
1540990839,1,0
1540996854,0,1
1540998772,0,1
1541002609,1,0
1541010761,0,1
1541022745,1,0
1541028520,1,0
1541049856,0,1
1541067391,0,1
1541077709,1,1
1541089233,0,1
1541101210,1,0
1541109407,0,1
1541115377,0,1
1541117332,1,0
1541152611,1,0
1541160774,1,0
1541164848,0,1
1541170619,1,0
1541174979,1,0
1541186680,0,1
1541192658,1,0
1541200354,1,0
1541202265,0,1
1541213797,1,0
1541225774,1,0
1541237546,0,1
1541247172,0,1
1541256739,0,1
1541260600,2,1
1541268533,1,0
1541280022,0,1
1541283904,1,0
1541285922,0,1
1541289873,2,0
1541301624,0,1
1541311289,0,1
1541344103,1,0
1541348013,0,2
1541353710,0,1
1541361255,1,0
1541367399,1,0
1541369327,0,1
1541371236,1,0
1541375069,0,2
1541406760,1,0
