DateTime,AddedIPs,RemovedIPs
1542077296,1,4
1542079238,2,4
1542081154,4,2
1542083083,7,0
1542084993,4,1
1542086919,2,1
1542088847,4,4
1542090766,2,3
1542092657,4,5
1542094575,4,32
1542096520,2,0
1542098439,0,3
1542100359,3,1
1542102283,8,0
1542104192,2,0
1542106114,8,2
1542108089,4,3
1542110014,2,2
1542111881,5,1
1542114072,3,2
1542115958,3,3
1542117864,1,3
1542119799,3,3
1542121727,1,2
1542123637,2,3
1542125601,2,7
1542127455,1,1
1542129640,2,2
1542131554,3,0
1542133463,3,3
1542135395,7,2
1542137303,3,4
1542139467,2,0
1542141390,3,3
1542143326,4,4
1542145252,3,1
1542147142,5,2
1542149062,4,3
1542151002,1,4
1542152905,2,5
1542154814,1,1
1542156771,1,4
1542158659,2,1
1542160599,6,5
1542162494,3,1
1542164434,0,2
1542166341,0,3
1542168288,5,8
1542170175,4,1
1542172115,2,4
1542174018,3,2
1542175952,0,4
1542177860,4,2
1542179789,2,4
1542181696,2,5
1542183889,1,2
1542185768,1,0
1542187973,0,5
1542189852,2,6
1542191787,6,6
1542193698,3,5
1542195862,4,2
1542197801,3,2
1542199694,1,4
1542201629,6,3
1542203546,1,1
1542205458,0,2
1542207383,3,3
1542209296,3,2
1542211241,2,4
1542213402,8,5
1542215340,3,1
1542217481,7,3
1542219389,5,4
1542221553,4,5
1542223451,2,6
1542225366,0,2
1542227553,2,2
1542229489,4,3
1542231403,2,4
1542233331,3,5
1542235467,4,4
1542237656,5,2
1542239793,3,2
1542241698,3,1
1542243630,3,0
1542245549,4,3
1542247481,4,4
1542249618,8,1
1542251552,6,0
1542253487,2,1
1542255619,3,4
1542257573,3,3
1542259473,5,2
1542261377,5,3
1542263321,5,3
1542266198,4,3
1542268095,5,2
1542270015,4,1
1542272185,3,2
1542274093,3,0
1542276025,5,2
1542277941,1,5
1542279868,3,5
1542282083,1,4
1542284227,5,4
1542286099,5,0
1542288019,1,7
1542289957,2,1
1542291848,4,0
1542293788,1,3
1542296455,5,4
1542298653,3,6
1542300782,4,4
1542302891,4,7
1542305079,2,4
1542306969,8,4
1542308925,0,2
1542310842,4,2
1542312762,4,2
1542314666,5,0
1542316837,2,7
1542318763,3,1
1542320899,2,5
1542323084,2,4
1542324988,2,2
1542326915,2,4
1542328831,3,1
1542330768,1,4
1542332656,5,5
1542334587,1,1
1542336515,4,7
1542338437,2,7
1542340340,5,3
1542342258,2,2
1542344177,1,1
1542346358,1,8
1542348286,5,6
1542350176,2,3
1542352204,17,2
1542354038,9,3
1542355946,2,2
1542357763,8,4
1542359797,5,4
1542361701,5,5
1542363644,5,1
1542365543,4,3
1542367457,0,3
1542369390,4,3
1542371297,2,2
1542373234,1,4
1542375160,7,0
1542377061,6,3
1542378983,7,3
1542380918,8,2
1542382816,8,4
1542385127,15,3
1542387392,7,6
1542389292,9,3
1542391280,5,1
1542393162,13,8
1542395075,7,0
1542396974,6,4
1542398923,4,3
1542400839,4,5
1542402746,8,1
1542404681,6,3
1542406663,4,4
1542408499,5,2
1542410432,5,3
1542412377,9,2
1542414257,5,1
1542416175,6,2
1542418111,3,1
1542420053,6,4
1542421950,4,2
1542423876,3,3
1542425803,5,2
1542427702,3,4
1542429618,3,2
1542431540,4,1
1542433477,4,2
1542435388,0,3
1542437299,6,6
1542439216,5,14
1542441137,6,4
1542443072,1,2
1542444991,2,13
1542446893,0,2
1542448868,6,8
1542450758,8,4
1542452664,4,2
1542454590,2,1
1542456500,4,5
1542458416,4,0
1542460344,9,4
1542462260,2,6
1542464191,2,9
1542466098,7,9
1542468016,3,6
1542469936,5,10
1542471873,5,13
1542473937,3,5
1542475944,5,11
1542477888,6,6
1542479772,1,11
1542481716,0,9
1542483620,2,5
1542485539,3,3
1542487463,5,4
1542489635,4,10
1542491562,9,4
1542493487,3,4
1542495393,7,11
1542497568,1,5
1542499459,2,6
1542501371,3,6
1542503310,5,5
1542505230,8,2
1542507154,6,6
1542509072,2,3
1542511005,2,4
1542512909,3,4
1542514835,3,3
1542516757,2,2
1542518669,2,3
1542520892,4,6
1542523003,4,5
1542524937,2,4
1542526837,2,5
1542528757,8,3
1542530663,2,2
1542532602,2,1
1542534498,2,2
1542536428,3,7
1542538366,3,7
1542540255,2,1
1542542195,3,4
1542544093,4,5
1542546062,1,6
1542547961,8,6
1542549866,2,3
1542551773,6,4
1542553736,5,2
1542555633,7,6
1542557596,9,4
1542559472,4,0
1542561549,7,5
1542563529,4,5
1542565467,3,5
1542567682,3,1
1542569536,3,1
1542571456,4,1
1542573378,11,7
1542575308,6,3
1542577223,3,7
1542579388,6,7
1542581299,4,4
1542583214,2,5
1542585145,7,2
1542587111,5,2
1542588986,5,5
1542590889,4,7
1542593783,9,10
1542595696,2,1
1542597623,7,3
1542599535,4,5
1542601490,6,3
1542603378,0,2
1542605288,2,2
1542607241,8,3
1542609138,5,3
1542611055,8,3
1542612998,4,2
1542614919,2,6
1542616829,5,2
1542618738,6,1
1542620673,3,2
1542622583,5,3
1542624510,4,3
