DateTime,Entries,UniqueIPs
1541896349,80,80
1541898262,82,82
1541900439,83,83
1541902368,82,82
1541904281,84,84
1541906202,86,86
1541908118,88,88
1541910046,86,86
1541913885,85,85
1541915807,84,84
1541917945,86,86
1541922024,85,85
1541925885,84,84
1541927808,83,83
1541929704,83,83
1541931625,81,81
1541933540,84,84
1541935494,85,85
1541937394,86,86
1541939198,87,87
1541940999,88,88
1541943154,89,89
1541944976,88,88
1541946983,88,88
1541948926,90,90
1541950826,90,90
1541953010,90,90
1541955146,88,88
1541957304,89,89
1541959276,89,89
1541963077,93,93
1541965002,90,90
1541966916,87,87
1541968829,84,84
1541970787,83,83
1541972920,82,82
1541976974,82,82
1541979145,79,79
1541981058,78,78
1541983267,75,75
1541985167,73,73
1541987055,74,74
1541988992,77,77
1541990904,76,76
1541993078,75,75
1541995002,75,75
1541996905,74,74
1541998896,74,74
1542000750,73,73
1542002672,72,72
1542004603,73,73
1542006506,72,72
1542008424,71,71
1542012271,68,68
1542014195,69,69
1542016102,69,69
1542018020,71,71
1542019941,69,69
1542021882,68,68
1542023782,66,66
1542025704,66,66
1542027685,66,66
1542029553,66,66
1542037226,66,66
1542039146,68,68
1542041089,69,69
1542042983,70,70
1542044918,70,70
1542048744,70,70
1542050700,69,69
1542056927,68,68
1542058838,70,70
1542060777,74,74
1542062678,75,75
1542064861,73,73
1542066745,72,72
1542068677,70,70
1542070596,69,69
1542074484,67,67
1542076362,68,68
1542078262,67,67
1542082135,68,68
1542085965,68,68
1542091939,67,67
1542093875,65,65
1542096072,65,65
1542097945,64,64
1542101788,64,64
1542103719,59,59
1542105616,60,60
1542107557,60,60
1542109460,62,62
1542111388,63,63
1542113550,63,63
1542115480,64,64
1542119296,65,65
1542121233,66,66
1542125063,64,64
1542127235,63,63
1542129148,60,60
1542131066,59,59
1542133007,58,58
1542135131,57,57
1542137071,58,58
1542139002,59,59
1542140919,60,60
1542142872,60,60
1542144763,57,57
1542146670,54,54
1542148591,54,54
1542150535,58,58
1542152491,59,59
1542154364,59,59
1542156260,60,60
1542158199,61,61
1542160333,62,62
1542162277,62,62
1542166343,63,63
1542168290,64,64
1542170176,64,64
1542172120,63,63
1542174030,64,64
1542175954,65,65
1542177861,65,65
1542179791,66,66
1542181698,67,67
1542183891,68,68
1542187975,67,67
1542189853,69,69
1542191789,70,70
1542193700,74,74
1542195863,75,75
1542197803,74,74
1542199695,75,75
1542201631,77,77
1542203547,76,76
1542205459,76,76
1542207385,75,75
1542209297,76,76
1542211277,76,76
1542213403,80,80
1542215341,82,82
1542217482,82,82
1542219391,80,80
1542223454,81,81
1542225368,82,82
1542227556,76,76
1542229492,76,76
1542231406,76,76
1542233334,77,77
1542235469,76,76
1542237658,74,74
