DateTime,Entries,UniqueIPs
1542078262,3077,3077
1542080206,3080,3080
1542082136,3082,3082
1542084036,1791,1791
1542085965,1281,1281
1542087876,1294,1294
1542089826,1294,1294
1542091940,1294,1294
1542093876,1296,1296
1542096075,1292,1292
1542097945,1297,1297
1542099868,1296,1296
1542101789,1304,1304
1542103719,1311,1311
1542105616,1264,1264
1542107558,1269,1269
1542109461,1262,1262
1542111389,1258,1258
1542113551,1255,1255
1542115481,1257,1257
1542117398,1257,1257
1542119297,1262,1262
1542121235,1260,1260
1542123142,1295,1295
1542125064,1294,1294
1542127235,1291,1291
1542129149,1288,1288
1542131067,1287,1287
1542133007,1282,1282
1542135132,1187,1187
1542137072,1187,1187
1542139003,1189,1189
1542140919,1182,1182
1542142875,2542,2542
1542144763,6576,6576
1542146670,6558,6558
1542148592,6579,6579
1542150537,6577,6577
1542152492,6579,6579
1542154364,6579,6579
1542156260,6578,6578
1542158199,6579,6579
1542160333,6576,6576
1542162278,6577,6577
1542164473,6579,6579
1542166344,6577,6577
1542168291,6580,6580
1542170177,6580,6580
1542172121,6581,6581
1542174031,6432,6432
1542175955,6434,6434
1542177862,6223,6223
1542179792,6224,6224
1542181699,6762,6762
1542183891,6808,6808
1542187975,6871,6871
1542189854,6868,6868
1542191789,6868,6868
1542193701,6865,6865
1542195864,6865,6865
1542197803,6866,6866
1542199696,6868,6868
1542201631,6867,6867
1542203548,6868,6868
1542205460,6867,6867
1542207385,6847,6847
1542209298,6817,6817
1542211279,6820,6820
1542213404,6968,6968
1542215341,6968,6968
1542217483,6967,6967
1542219392,6970,6970
1542221556,6966,6966
1542223454,6964,6964
1542225369,6963,6963
1542227556,6962,6962
1542229492,6962,6962
1542231406,5099,5099
1542233334,1687,1687
1542235469,1690,1690
1542237659,1686,1686
1542239796,1688,1688
1542241700,1598,1598
1542243634,1601,1601
1542245551,1597,1597
1542247483,1595,1595
1542249620,1596,1596
1542251555,1597,1597
1542253489,1595,1595
1542255621,1589,1589
1542257576,1591,1591
1542259475,1591,1591
1542261379,1720,1720
1542263324,1720,1720
1542265262,1718,1718
1542267156,1072,1072
1542269098,1154,1154
1542271228,1100,1100
1542273150,1101,1101
1542275065,992,992
1542277042,997,997
1542278911,1000,1000
1542280819,1120,1120
1542282737,1120,1120
1542284674,1119,1119
1542286574,1123,1123
1542288516,1126,1126
1542290474,1126,1126
1542292358,1123,1123
1542294533,1202,1202
1542296457,1410,1410
1542298656,1412,1412
1542300785,1253,1253
1542302893,1258,1258
1542305082,1264,1264
1542306971,1766,1766
1542308930,1773,1773
1542310844,1833,1833
1542312764,1835,1835
1542314677,1848,1848
1542316854,1849,1849
1542318765,1833,1833
1542320901,1846,1846
1542323086,1850,1850
1542324990,1857,1857
1542326918,1961,1961
1542328833,1962,1962
1542330770,1964,1964
1542332659,2011,2011
1542334589,2015,2015
1542336517,2017,2017
1542338439,2016,2016
1542340342,2020,2020
1542342261,2022,2022
1542344179,2025,2025
1542346360,2026,2026
1542348288,1899,1899
1542350178,1902,1902
1542352210,1903,1903
1542354040,1844,1844
1542355960,1845,1845
1542357765,1845,1845
1542359799,1847,1847
1542361703,1845,1845
1542363646,1843,1843
1542365545,1839,1839
1542367460,1730,1730
1542369392,1729,1729
1542371299,1728,1728
1542373279,1727,1727
1542375162,1726,1726
1542377063,1727,1727
1542378986,1679,1679
1542380921,1614,1614
1542382819,1312,1312
1542385129,1314,1314
1542387395,1308,1308
1542389294,1308,1308
1542391297,1301,1301
1542393165,982,982
1542395079,808,808
1542396977,741,741
1542398926,741,741
1542400842,735,735
1542402749,729,729
1542404684,724,724
1542406665,726,726
1542408501,725,725
1542410435,722,722
1542412379,721,721
1542414259,774,774
1542416178,852,852
1542418113,791,791
1542420108,1038,1038
1542421952,1070,1070
1542423879,1070,1070
1542425805,1067,1067
1542427704,1058,1058
1542429620,1055,1055
1542431543,1052,1052
1542433479,1051,1051
1542435390,1046,1046
1542437301,1016,1016
1542439220,1016,1016
1542441139,1019,1019
1542443074,1016,1016
1542444994,1015,1015
1542446895,1016,1016
1542448890,1025,1025
1542450760,1027,1027
1542452666,1022,1022
1542454593,1022,1022
1542456503,1019,1019
1542458418,1023,1023
1542460347,1024,1024
1542462272,1027,1027
1542464193,1037,1037
1542466100,1036,1036
1542468018,1035,1035
1542469939,1044,1044
1542471876,1043,1043
1542473940,1047,1047
1542475946,1048,1048
1542477891,1047,1047
1542479785,1073,1073
1542481719,1075,1075
1542483622,1130,1130
1542485541,1126,1126
1542487465,1126,1126
1542489638,1126,1126
1542491565,1124,1124
1542493489,1125,1125
1542495396,1128,1128
1542497570,1127,1127
1542499461,1173,1173
1542501373,1110,1110
1542503314,1111,1111
1542505232,1113,1113
1542507157,1114,1114
1542509074,1117,1117
1542511008,1124,1124
