DateTime,AddedIPs,RemovedIPs
1542080208,14,3
1542082137,25,3
1542084037,18,4
1542085965,15,4
1542087876,14,4
1542089826,23,2
1542091940,27,2
1542093876,26,3
1542096078,8,18
1542097946,10,1
1542099868,10,2
1542101789,14,2
1542103721,12,6
1542105617,2,3
1542107559,5,9
1542109462,8,12
1542111391,3,8
1542113551,1,3
1542115481,4,9
1542117399,6,4
1542119297,1,7
1542121247,5,5
1542123143,6,3
1542125064,4,8
1542127236,5,10
1542129150,6,5
1542131067,2,3
1542133008,7,4
1542135132,4,7
1542137073,2,5
1542139003,4,0
1542140920,1,9
1542142879,5,6
1542144764,2,4
1542146671,2,7
1542148593,3,16
1542150539,7,22
1542152492,10,8
1542154365,6,13
1542156261,2,21
1542158200,11,29
1542160334,9,22
1542162279,15,26
1542164489,19,22
1542166344,1,14
1542168291,4,31
1542170178,3,26
1542172122,7,15
1542174041,8,15
1542175956,3,23
1542177863,6,31
1542179792,3,28
1542181699,3,11
1542183892,2,10
1542185770,4,10
1542187977,10,17
1542189855,5,16
1542191801,2,9
1542193701,6,9
1542195865,4,9
1542197804,8,2
1542199697,9,0
1542201632,3,5
1542203549,4,6
1542205461,4,3
1542207386,9,4
1542209299,7,8
1542211280,4,6
1542213405,4,6
1542215342,9,7
1542217483,8,2
1542219393,12,8
1542221557,7,4
1542223455,8,2
1542225370,4,3
1542227557,13,1
1542229493,8,3
1542231408,5,2
1542233335,9,1
1542235470,8,5
1542237659,3,10
1542239797,1,11
1542241701,4,4
1542243635,2,10
1542245552,3,14
1542247484,3,9
1542249621,8,26
1542251556,6,16
1542253491,4,3
1542255622,5,4
1542257576,8,8
1542259476,23,9
1542261380,23,6
1542263325,18,3
1542265264,8,6
1542267156,14,2
1542269099,6,5
1542271229,12,4
1542273150,8,4
1542275066,24,7
1542277042,18,3
1542278911,6,5
1542280819,2,1
1542282737,12,4
1542284675,6,4
1542286574,7,7
1542288516,1,4
1542290476,2,4
1542292359,1,5
1542294534,4,7
1542296458,2,11
1542298656,6,2
1542300785,2,6
1542302893,4,4
1542305083,4,14
1542306972,7,7
1542308932,15,6
1542310845,5,6
1542312764,3,5
1542314678,2,13
1542316855,12,10
1542318765,12,9
1542320901,6,10
1542323087,5,4
1542324991,4,2
1542326919,4,2
1542328834,1,3
1542330772,8,2
1542332660,11,2
1542334590,15,6
1542336518,5,8
1542338440,16,3
1542340343,14,0
1542342262,2,6
1542344180,6,8
1542346360,12,26
1542348289,20,23
1542350179,7,11
1542352211,3,13
1542354041,14,8
1542355961,5,9
1542357766,1,8
1542359801,6,10
1542361704,3,20
1542363647,2,19
1542365546,4,4
1542367461,4,3
1542369393,4,9
1542371300,3,8
1542373279,7,2
1542375163,4,1
1542377064,3,3
1542378987,2,3
1542380934,4,4
1542382819,8,2
1542385130,0,6
1542387396,4,1
1542389295,1,4
1542391297,3,3
1542393165,2,9
1542395079,0,15
1542396977,3,5
1542398927,3,5
1542400842,3,1
1542402749,8,12
1542404685,16,8
1542406666,10,11
1542408503,15,2
1542410436,11,4
1542412380,33,6
1542414260,12,3
1542416178,12,2
1542418114,12,9
1542420109,2,12
1542421953,3,9
