DateTime,AddedIPs,RemovedIPs
1539786043,0,1
1539822980,1,0
1539839065,1,0
1539843160,1,0
1539856592,1,1
1539858507,1,0
1539864300,0,1
1539877698,1,0
1539879643,1,0
1539887562,1,0
1539893308,1,0
1539897166,2,0
1539912526,1,0
1539918269,1,0
1539925970,0,1
1539929815,1,1
1539943280,1,0
1539945151,0,1
1539951397,1,0
1539953301,0,1
1539965132,0,1
1539974915,0,1
1539976826,0,1
1539980687,1,1
1539982584,0,1
1539984510,0,1
1539999879,1,1
1540005622,0,1
1540011385,1,0
1540015290,0,1
1540028669,1,0
1540030603,0,1
1540038276,0,1
1540047882,1,0
1540055557,1,0
1540067161,1,1
1540072923,1,0
1540086271,0,1
1540092048,1,0
1540097810,0,1
1540101715,1,0
1540105735,1,0
1540123495,0,1
1540127383,0,1
1540129239,2,0
1540134862,0,1
1540141280,2,1
1540143154,1,0
1540152762,0,1
1540158495,0,1
1540168119,1,0
1540170081,2,0
1540177934,1,1
1540183691,1,0
1540187786,1,1
1540191684,1,1
1540207219,1,0
1540215401,0,2
1540219227,1,0
1540223073,1,0
1540228835,0,2
1540230750,1,0
1540250186,1,0
1540254027,0,1
1540255945,0,1
1540257862,1,1
1540263662,0,1
1540269417,0,1
1540271320,1,0
1540273245,0,1
1540279474,0,1
1540285474,1,0
1540289328,1,0
1540293154,1,1
1540302749,1,0
1540306599,1,1
1540318369,0,1
1540320268,1,0
1540322208,1,0
1540324124,1,0
1540327969,1,0
1540329868,1,0
1540335711,0,1
1540339490,1,0
1540343327,0,1
1540357011,0,1
1540371150,0,1
1540375005,0,1
1540379088,0,1
1540381227,2,0
1540389148,0,1
1540392998,0,1
1540402597,0,1
1540406429,0,1
1540408346,0,1
1540410280,2,1
1540414105,1,1
1540416034,0,1
1540422117,1,0
1540426042,0,1
1540428028,1,0
1540431882,1,0
1540446051,0,1
1540455659,1,0
1540463321,1,0
1540465310,1,0
1540467412,0,1
1540473156,1,0
1540492365,1,0
1540496191,0,1
1540498122,0,1
1540500034,0,1
1540503865,1,0
1540507701,0,1
1540509704,1,0
1540511549,1,0
1540513489,1,1
1540515403,1,0
1540517326,0,1
1540542527,0,1
1540550436,0,2
1540560268,0,2
1540562202,2,0
1540576124,1,0
1540579964,1,1
1540587875,1,0
1540590043,0,1
1540596016,2,1
1540598184,1,1
1540600116,0,1
1540602099,1,1
1540603963,1,0
1540627030,2,0
1540631057,1,0
1540635156,1,0
1540648893,0,2
1540662634,1,1
1540664671,1,0
1540666579,0,1
1540670502,1,0
1540674535,0,1
1540678592,1,0
1540680512,0,1
1540682452,0,1
1540686289,1,0
1540688496,0,1
1540690603,0,2
1540710081,2,0
1540713871,0,2
1540715808,0,1
1540719883,1,0
1540721786,0,1
1540729479,1,0
1540746774,1,0
1540748923,2,1
1540750842,0,1
1540756581,0,1
1540760486,1,0
1540764339,0,1
1540766427,1,0
1540772427,1,0
1540797638,0,2
1540807485,0,1
1540811347,1,0
1540813247,1,0
1540815416,0,1
1540829098,1,0
1540833389,0,2
1540835579,0,1
1540843746,1,0
1540847835,1,1
1540849723,1,0
1540853680,0,1
1540859572,0,1
1540863374,0,1
1540897003,0,1
1540899145,1,0
1540900997,1,1
1540902988,1,0
1540915293,0,1
1540923170,1,0
1540931081,0,1
1540932999,0,1
1540934934,1,0
1540936919,1,1
1540938754,1,0
1540959880,1,0
1540985063,0,1
1540989006,0,2
1541008894,0,1
1541016768,1,0
1541020618,0,1
1541024666,0,2
1541045829,0,1
1541069565,1,0
1541103154,0,1
1541146851,1,0
1541148749,1,0
1541156735,0,1
1541192661,1,0
1541235691,0,2
1541239475,1,0
1541251008,1,0
1541278106,0,1
1541324903,1,1
1541401017,1,0
1541414685,0,2
1541459565,1,0
1541469156,1,0
1541473004,1,0
1541480698,1,0
1541484537,1,0
1541486446,0,1
1541505943,2,0
1541512102,1,0
1541514027,1,0
1541545731,0,1
1541553576,1,0
1541555543,0,1
1541563303,0,1
1541567092,0,1
1541569251,0,1
1541573083,2,0
1541574993,1,0
1541582670,1,0
1541592289,0,2
1541598041,0,1
1541600106,0,1
1541608102,1,0
1541611949,1,0
1541613893,1,0
1541615803,3,0
1541629475,3,0
1541639071,0,1
