DateTime,AddedIPs,RemovedIPs
1541845950,1,0
1541847881,2,0
1541851723,0,4
1541853622,0,5
1541857479,1,0
1541859395,0,1
1541861330,0,1
1541863501,1,0
1541867308,2,1
1541869289,4,0
1541871148,1,0
1541875012,0,1
1541878847,2,0
1541880779,2,0
1541882666,0,1
1541884591,0,2
1541890586,2,1
1541892510,3,1
1541894499,1,0
1541896351,2,0
1541900442,4,0
1541904284,1,0
1541906205,1,2
1541908120,0,2
1541910048,0,1
1541915812,0,1
1541919859,1,0
1541927811,1,0
1541929717,0,1
1541935497,0,1
1541939200,1,0
1541941001,1,0
1541943156,0,1
1541944979,1,0
1541946985,937,0
1541948942,2,0
1541950828,1,1
1541953013,1,1
1541955149,2,1
1541957306,0,1
1541961148,1,0
1541963079,1,0
1541965004,0,2
1541966920,0,1
1541974810,1,0
1541976976,0,1
1541979147,0,3
1541981060,1,1
1541983270,2,2
1541985169,0,2
1541987061,0,2
1541990906,0,1
1541993080,2,0
1542004605,2,1
1542006508,5,1
1542008426,3,0
1542012273,3,1
1542014197,2,0
1542016105,1,0
1542018023,2,0
1542019944,2,0
1542021885,1,0
1542023785,2,0
1542025707,0,1
1542027688,1,0
1542029556,1,0
1542033388,0,1
1542035310,1,1
1542037229,0,1
1542039149,3,0
1542041092,0,3
1542046824,2,0
1542048747,1,0
1542050704,1,1
1542052592,2,0
1542055040,1,0
1542056930,2,0
1542058841,1,0
1542060780,2,0
1542062681,2,0
1542064863,4,0
1542066747,0,1
1542068680,1,0
1542070608,1,0
1542074508,1,0
1542080209,0,1
1542087877,1,0
1542089828,2,1
1542091941,0,3
1542093878,2,953
1542096082,0,1
1542097947,1,1
1542099869,0,4
1542101790,1,1
1542105618,0,4
1542107560,1,2
1542109463,1,1
1542111392,3,1
1542113552,1,0
1542115483,0,2
1542117400,1,0
1542119298,2,0
1542121272,4,1
1542123144,3,0
1542125065,2,2
1542127237,5,0
1542129151,2,1
1542131068,2,0
1542133009,1,2
1542135134,0,1
1542137074,2,1
1542139004,0,2
1542140921,0,1
1542142882,1,1
1542144766,1,0
1542146673,1,3
1542148594,1,2
1542150541,0,2
1542152494,0,3
1542156263,2,1
1542158201,0,1
1542162280,2,0
1542172123,1,0
1542174042,3,1
1542175957,4,2
1542177864,2,1
1542179794,2,2
1542181701,1,0
1542183894,0,1
1542187978,5,0
1542189856,2,0
1542193703,0,1
1542195866,0,1
1542197806,2,3
1542199698,3,2
1542201633,1,0
1542203550,2,1
1542205462,0,2
1542207387,0,3
1542209301,0,4
1542211282,0,1
1542213406,4,4
1542215347,5,5
1542217485,3,1
1542219394,2,1
1542221559,9,1
1542223469,3,1
1542225372,6,1
1542227558,4,0
1542229496,5,1
1542231410,4,1
1542233336,1,1
1542235471,3,1
1542237661,4,0
1542241702,2,1
1542243638,1,1
1542245553,2,0
1542247485,0,1
1542249623,0,1
1542253493,1,0
1542255623,0,1
1542257578,0,1
1542259477,0,1
1542261381,0,2
1542263326,0,5
1542265267,3,3
1542267158,1,1
1542269100,0,1
1542273152,1,2
1542275067,3,3
1542277043,0,2
1542282739,0,1
1542284676,0,2
1542286576,0,4
1542288518,0,2
1542290477,3,0
1542292360,2,0
1542294535,2,0
1542296459,1,0
1542298658,4,3
1542300787,0,5
1542302895,0,3
1542305084,0,2
1542306973,1,6
1542308933,0,5
1542310846,2,4
1542312766,1,4
1542314679,3,6
1542316856,0,7
1542318767,0,1
1542320903,1,2
1542323088,2,3
1542324992,1,2
1542326920,1,2
1542330773,0,1
1542332661,1,2
1542336519,2,0
1542338441,3,0
1542340344,3,1
1542342263,1,0
1542344181,3,0
1542346361,4,0
1542348290,4,0
1542350180,1,1
1542352213,1,3
1542354042,1,0
1542357768,1,0
1542359802,1,1
1542361705,0,3
1542363648,1,0
1542367462,1,0
1542369395,3,0
1542371301,5,0
1542373282,3,0
1542375164,259,1
1542377065,3418,2
1542378988,3340,2
1542380938,341,1
1542382822,2,1
1542385131,4,3
1542395081,0,1
1542396979,1,1
1542398929,5,1
1542400844,3,1
1542402750,6,1
1542404687,2,0
1542408504,1,0
1542410437,0,1
1542412381,0,1
1542414261,0,1
1542416180,4,0
1542420110,0,1
1542423880,1,3
1542425807,0,4
1542427707,0,3
1542429623,0,2
1542431545,0,3
1542433481,1,3
1542435392,1,2
1542437303,1,2
1542439223,1,1
1542446897,1,0
1542450762,1,0
1542452668,3,1
1542454595,2,0
1542456505,6,4
1542458421,2,6
1542460349,0,4
1542462274,0,1508
1542464195,1,3354
1542466102,1,2498
1542468021,1,2
1542469941,1,3
1542471878,1,2
1542481723,1,0
1542483624,657,0
1542485543,408,2
1542487467,0,1
1542489640,0,1
1542493491,2,1
1542497572,0,1
1542505234,1,0
1542507159,2,0
1542509076,5,0
1542511010,6,0
1542518674,0,1
1542526841,0,1
1542530668,2,0
1542532606,1,0
1542534502,2,0
1542536432,0,1
1542540259,0,1
1542542199,0,1
1542551777,0,1
1542553747,1,1
1542557612,1,0
1542559476,0,1
1542563533,1,0
