DateTime,AddedIPs,RemovedIPs
1540283582,0,1
1540285476,0,1
1540289330,0,1
1540298909,1,0
1540300824,1,0
1540316440,1,0
1540320269,0,1
1540326022,1,0
1540327970,0,1
1540333704,1,1
1540345509,0,1
1540347417,0,1
1540349309,0,1
1540351222,1,0
1540353140,0,1
1540355075,2,0
1540361088,1,0
1540363017,1,0
1540365153,0,1
1540369250,1,0
1540373069,0,2
1540381229,1,0
1540385081,0,1
1540387025,0,1
1540389158,1,0
1540391060,2,0
1540398754,1,0
1540402599,0,1
1540404511,1,0
1540406431,0,1
1540412201,0,1
1540417964,1,0
1540431893,0,1
1540437885,0,1
1540439806,1,1
1540441954,1,1
1540447971,1,1
1540455661,0,1
1540459488,1,0
1540467414,1,0
1540469340,1,0
1540485147,0,1
1540487113,1,0
1540491177,1,1
1540493063,1,0
1540497148,1,0
1540499068,1,0
1540502902,1,0
1540504900,0,1
1540518763,1,0
1540528350,0,1
1540545879,0,1
1540549951,1,0
1540554049,0,1
1540560270,1,0
1540568466,1,0
1540570404,1,0
1540574217,0,1
1540576126,0,1
1540578053,0,2
1540581860,1,0
1540583805,0,1
1540585953,0,1
1540587877,1,0
1540590045,2,0
1540593863,1,4
1540596019,1,0
1540605893,2,1
1540613583,1,0
1540625061,1,0
1540627032,1,0
1540637096,0,1
1540643146,0,1
1540646927,0,1
1540654600,0,1
1540656573,0,1
1540668502,1,1
1540674537,0,2
1540676681,0,1
1540680514,0,1
1540682454,0,1
1540684350,1,0
1540690605,0,1
1540700193,0,1
1540711960,0,1
1540713873,0,1
1540721792,0,1
1540746776,1,0
1540770530,0,1
1540780131,2,0
1540805569,1,0
1540809400,0,1
1540817553,1,0
1540819463,3,0
1540833391,0,1
1540849724,1,0
1540855495,1,0
1540857403,1,0
1540865331,1,0
1540867245,0,2
1540882903,1,0
1540890770,0,1
1540895111,1,3
1540897004,1,0
1540904909,0,1
1540909002,1,0
1540921244,1,0
1540929170,1,0
1540934936,0,1
1540936921,2,0
1540942591,0,1
1540944518,0,1
1540948347,1,0
1540950281,1,0
1540952206,0,1
1540956040,2,0
1540969710,0,1
1540975469,1,0
1540981229,0,1
1540994925,3,1
1540998777,1,0
1541006674,0,1
1541016771,1,0
1541022758,2,2
1541024668,2,0
1541030477,0,1
1541034310,0,1
1541036229,1,0
1541040041,1,0
1541041967,1,0
1541043884,0,1
1541049860,1,0
1541054023,0,1
1541057776,2,0
1541061645,0,1
1541065503,2,0
1541067397,1,0
1541069567,1,0
1541071463,1,0
1541075718,1,0
1541077714,0,1
1541079633,1,0
1541081559,1,2
1541085398,1,1
1541091162,1,0
1541109413,0,3
1541111547,0,1
1541113496,2,0
1541117339,1,0
1541119253,0,1
1541123066,1,0
1541125239,0,2
1541127151,2,0
1541129085,1,1
1541133147,1,0
1541139154,1,0
1541144923,0,2
1541150693,0,1
1541152615,0,2
1541154767,1,1
1541158858,0,1
1541162675,0,1
1541164853,0,2
1541166775,2,1
1541170625,0,2
1541174984,1,0
1541178785,0,1
1541184745,0,1
1541188606,0,1
1541192662,1,0
1541198451,0,1
1541200358,0,1
1541204198,0,1
1541208042,0,1
1541211874,1,0
1541213801,2,1
1541215958,0,2
1541217886,0,1
1541223856,0,1
1541239476,0,1
1541241392,0,1
1541243312,0,1
1541253019,0,2
1541262497,1,1
1541266607,1,0
1541268537,1,0
1541270427,2,0
1541280028,2,1
1541283909,1,0
1541295626,1,0
1541297813,1,1
1541299709,0,2
1541305495,1,0
1541307400,1,0
1541317241,1,0
1541319170,2,0
1541326821,1,0
1541342184,1,0
1541348022,2,1
1541351799,0,1
1541355623,0,1
1541357546,0,2
1541359457,1,0
1541367403,5,2
1541377001,1,0
1541383295,1,1
1541385155,0,1
1541393353,0,2
1541397171,1,0
1541399079,1,0
1541401018,1,1
1541402926,1,0
1541404882,0,2
1541406763,0,1
1541412852,1,1
1541416590,1,0
1541420447,1,0
1541424284,1,0
1541434395,0,2
1541436266,1,0
1541445893,0,1
1541451697,1,0
1541453560,0,5
1541461477,3,0
1541463397,1,1
1541478750,1,0
1541480700,1,0
1541484546,0,1
1541488370,0,1
1541490257,0,1
1541494368,2,0
1541498205,0,1
1541502091,1,0
1541510199,0,1
1541512103,1,0
1541514028,4,0
1541515942,1,0
1541523691,1,2
1541525831,1,1
1541527951,0,1
