DateTime,AddedIPs,RemovedIPs
1542016105,0,2
1542018024,1,0
1542021885,2,1
1542023786,5,2
1542025708,0,2
1542027689,1,0
1542029556,78,0
1542035311,1,1
1542037230,1,2
1542039150,1,1
1542041092,0,2
1542042989,2,0
1542044922,0,1
1542046825,1,1
1542048748,0,1
1542050705,1,1
1542052593,0,4
1542055041,1,4
1542056932,0,2
1542058841,2,1
1542060781,1,1
1542064864,2,0
1542066748,1,1
1542068680,2,1
1542070609,1,2
1542072549,0,2
1542074511,0,4
1542076365,3,4
1542078265,3,1
1542080210,1,2
1542084039,1,2
1542085968,0,5
1542087878,2,1
1542091942,0,2
1542093878,2,0
1542096083,2,1
1542097948,1,0
1542099870,0,3
1542101791,1,0
1542103723,0,1
1542105619,1,0
1542107561,1,1
1542109464,1,5
1542111394,2,2
1542113553,3,1
1542115484,0,3
1542117400,3,76
1542119299,3,0
1542121287,1,1
1542123145,1,0
1542125066,0,2
1542129152,1,2
1542131069,2,0
1542133010,0,1
1542140922,3,0
1542142883,1,2
1542144766,1,2
1542146673,1,1
1542150542,1,1
1542152494,2,0
1542154367,1,2
1542156264,0,1
1542158202,3,1
1542160336,76,0
1542162281,1,2
1542164501,2,3
1542166347,1,1
1542168293,1,0
1542170180,2,1
1542172124,1,0
1542174043,1,2
1542175958,1,0
1542179794,1,2
1542181703,3,2
1542183895,3,0
1542185772,1,1
1542187979,1,1
1542193703,3,3
1542195867,0,1
1542197807,0,2
1542199699,1,2
1542201634,3,0
1542203551,1,2
1542205463,3,3
1542207388,1,1
1542209301,3,2
1542211283,1,0
1542215348,1,1
1542217486,1,1
1542221560,2,0
1542225373,3,0
1542227559,2,1
1542229497,2,2
1542231410,0,1
1542233337,1,1
1542235472,2,0
1542237662,1,3
1542239799,0,3
1542243639,0,2
1542245554,2,77
1542247486,2,0
1542251559,2,1
1542253493,2,0
1542255624,2,0
1542257578,1,2
1542259478,1,1
1542261382,1,1
1542263327,1,2
1542265269,2,0
1542267158,1,3
1542269101,0,3
1542271231,2,3
1542275068,1,0
1542278913,0,1
1542280831,0,8
1542282739,1,0
1542284678,0,1
1542288518,1,3
1542290479,3,4
1542294539,1,1
1542296460,1,3
1542298658,1,0
1542300787,1,1
1542302895,1,1
1542305085,2,0
1542308934,1,2
1542310847,1,1
1542312767,2,1
1542314680,0,1
1542316857,0,2
1542318767,1,1
1542320903,0,2
1542323089,0,1
1542324993,1,0
1542326921,1,1
1542328836,2,0
1542330774,2,1
1542332662,0,3
1542334592,3,2
1542338442,2,2
1542340345,1,2
1542342265,2,2
1542344182,0,1
1542346362,1,1
1542348291,1,0
1542350181,3,1
1542352214,1,2
1542354043,1,3
1542355963,1,2
1542357770,0,1
1542359804,1,0
1542361706,1,1
1542363649,1,0
1542365555,3,0
1542369396,0,1
1542371302,2,0
1542375165,0,1
1542377066,2,2
1542378989,3,0
1542380939,2,1
1542382823,1,2
1542385132,1,0
1542387399,3,2
1542389297,1,1
1542391300,3,2
1542393167,1,0
1542395081,7,1
1542396980,1,1
1542398930,5,3
1542400844,8,0
1542402752,2,0
1542404688,4,1
1542406668,3,0
1542408505,2,0
1542410438,1,0
1542412382,3,1
1542414262,3,0
1542416180,4,3
1542418116,5,1
1542420111,5,1
1542421955,2,2
1542423881,5,2
1542425808,0,2
1542427707,2,2
1542429624,2,0
1542431546,2,0
1542433481,3,1
1542435393,3,3
1542437304,6,1
1542439224,5,1
1542441142,5,1
1542443077,6,0
1542444997,4,1
1542446899,1,1
1542448894,4,0
1542450763,2,1
1542452669,4,2
1542454595,3,0
1542456506,3,1
1542458422,4,0
1542460350,5,0
1542462275,3,0
1542464196,5,1
1542466103,2,5
1542468021,8,1
1542469942,4,0
1542471879,1,1
1542473942,6,4
1542475949,2,3
1542477894,6,2
1542479787,6,2
1542481724,5,4
1542483625,8,1
1542485544,3,4
1542487468,4,2
1542489641,6,2
1542491567,4,3
1542493492,1,4
1542495398,4,1
1542497573,6,2
1542499464,1,3
1542501376,2,3
1542503317,3,6
1542505235,4,2
1542507160,5,4
1542509077,4,6
1542511011,7,1
1542512917,6,1
1542514841,5,0
1542516762,2,3
1542518675,4,2
1542520899,2,3
1542523008,4,4
1542524946,2,8
1542526842,4,3
1542528761,3,9
1542530669,7,3
1542532606,0,2
1542534503,6,5
1542536432,2,0
1542538370,8,4
1542540260,2,3
1542542200,2,5
1542544098,6,4
1542546105,4,5
1542547966,4,2
1542549870,3,5
1542551777,4,2
1542553748,1,2
1542555637,7,4
1542557613,5,3
1542559477,4,2
1542561553,3,4
1542563533,1,3
1542565472,3,9
1542567696,1,5
1542569541,1,6
1542571460,3,4
1542573383,5,5
1542575313,8,6
1542577227,3,2
1542579393,4,3
1542581313,4,5
1542583218,0,3
1542585158,1,4
