DateTime,AddedIPs,RemovedIPs
1542082140,34,34
1542084040,19,31
1542085969,56,38
1542087890,43,38
1542089829,26,41
1542091943,46,79
1542093879,43,949
1542096085,43,54
1542097949,43,42
1542099871,44,34
1542101792,28,37
1542103724,42,56
1542105620,23,38
1542107562,31,39
1542109465,19,51
1542111403,65,32
1542113554,37,37
1542115485,39,70
1542117401,31,31
1542119300,37,30
1542121290,35,40
1542123146,29,29
1542125076,42,49
1542127238,92,42
1542129153,39,44
1542131070,53,42
1542133011,40,38
1542135136,41,43
1542137076,53,74
1542139006,28,54
1542140922,31,44
1542142884,46,48
1542144767,18,43
1542146674,26,85
1542148606,40,45
1542150543,32,40
1542152495,23,27
1542154368,32,20
1542156265,23,34
1542158203,29,40
1542160337,40,31
1542162282,41,30
1542164502,37,40
1542166348,18,44
1542168294,23,40
1542170182,28,17
1542172126,25,62
1542174044,34,38
1542175959,42,33
1542177866,45,34
1542179795,22,54
1542181704,47,39
1542183896,37,51
1542185773,36,39
1542187979,56,34
1542189857,48,40
1542191804,25,23
1542193704,31,30
1542195867,29,27
1542197808,63,66
1542199700,58,34
1542201635,43,47
1542203552,43,28
1542205463,36,39
1542207389,41,37
1542209302,45,28
1542211284,41,40
1542213408,48,84
1542215350,34,50
1542217487,61,41
1542219396,53,37
1542221561,59,46
1542223472,41,54
1542225374,32,29
1542227560,52,41
1542229498,31,44
1542231411,41,19
1542233338,52,31
1542235473,39,36
1542237663,33,37
1542239800,19,27
1542241704,43,23
1542243640,20,32
1542245555,28,28
1542247488,37,38
1542249624,43,43
1542251560,47,26
1542253494,23,21
1542255625,27,26
1542257579,19,34
1542259479,26,30
1542261383,42,37
1542263328,30,39
1542265271,20,37
1542267159,29,30
1542269102,20,44
1542271232,54,47
1542273153,35,42
1542275069,33,62
1542277045,31,34
1542278914,49,29
1542280831,67,47
1542282740,42,42
1542284679,31,53
1542286577,32,57
1542288519,69,50
1542290480,32,37
1542292372,31,34
1542294540,51,47
1542296461,34,51
1542298659,48,50
1542300788,42,41
1542302897,38,53
1542305086,39,59
1542306987,83,48
1542308936,41,50
1542310848,17,39
1542312768,33,34
1542314681,44,48
1542316858,79,38
1542318768,40,54
1542320904,46,45
1542323090,42,32
1542324994,42,27
1542326922,44,21
1542328837,43,43
1542330775,33,14
1542332663,55,29
1542334593,36,54
1542336521,37,26
1542338443,42,49
1542340345,50,26
1542342265,44,23
1542344183,45,19
1542346363,54,31
1542348292,28,46
1542350182,42,20
1542352217,33,35
1542354044,32,26
1542355964,39,14
1542357771,32,53
1542359804,42,32
1542361706,24,36
1542363650,29,33
1542365556,43,56
1542367463,43,58
1542369397,52,37
1542371303,31,30
1542373284,44,39
1542375176,299,62
1542377067,3386,33
1542378990,3317,34
1542380941,374,41
1542382824,44,30
1542385133,36,46
1542387400,64,43
1542389298,28,31
1542391302,48,19
1542393169,35,83
1542395083,28,35
1542396981,66,19
1542398931,50,30
1542400845,88,38
1542402753,37,70
1542404689,34,41
1542406669,27,29
1542408506,41,36
1542410439,41,25
1542412383,36,56
1542414263,35,30
1542416192,43,36
1542418117,81,35
1542420112,36,47
1542421956,26,22
1542423882,25,39
1542425809,60,42
1542427709,25,32
1542429625,46,54
1542431547,48,44
1542433483,28,33
1542435394,35,22
1542437305,38,38
1542439227,24,23
1542441143,21,37
1542443078,31,44
1542444998,36,40
1542446900,39,25
1542448895,31,24
1542450764,46,29
1542452670,31,43
1542454597,29,31
1542456507,47,46
1542458430,43,30
1542460351,78,47
1542462276,39,1544
1542464197,31,3253
1542466104,62,2456
1542468022,39,58
1542469943,26,39
1542471879,50,37
1542473943,35,62
1542475950,43,39
1542477895,37,58
1542479788,50,41
1542481725,21,43
1542483626,664,73
1542485545,418,48
1542487469,73,68
1542489642,51,41
1542491568,43,39
1542493493,48,31
1542495399,31,48
1542497574,30,38
1542499465,53,34
1542501377,54,53
1542503318,36,45
1542505236,42,79
1542507161,41,33
1542509078,36,21
1542511012,48,34
1542512918,45,41
1542514842,52,43
1542516763,59,48
1542518676,52,40
1542520912,94,37
1542523009,40,40
1542524947,44,32
1542526843,56,31
1542528762,33,21
1542530670,39,36
1542532607,34,48
1542534505,67,24
1542536433,46,39
1542538371,56,35
1542540261,40,32
1542542201,75,70
1542544099,34,36
