DateTime,Entries,UniqueIPs
1542082140,3155,3155
1542084040,3143,3143
1542085969,3161,3161
1542087890,3166,3166
1542089829,3151,3151
1542091943,3118,3118
1542093879,2212,2212
1542096085,2201,2201
1542097949,2202,2202
1542099871,2212,2212
1542101792,2203,2203
1542103724,2189,2189
1542105620,2174,2174
1542107562,2166,2166
1542109465,2134,2134
1542111403,2167,2167
1542113554,2167,2167
1542115485,2136,2136
1542117401,2136,2136
1542119300,2143,2143
1542121290,2138,2138
1542123146,2138,2138
1542125076,2131,2131
1542127238,2181,2181
1542129153,2176,2176
1542131070,2187,2187
1542133011,2189,2189
1542135136,2187,2187
1542137076,2166,2166
1542139006,2140,2140
1542140922,2127,2127
1542142884,2125,2125
1542144767,2100,2100
1542146674,2041,2041
1542148606,2036,2036
1542150543,2028,2028
1542152495,2024,2024
1542154368,2036,2036
1542156265,2025,2025
1542158203,2014,2014
1542160337,2023,2023
1542162282,2034,2034
1542164502,2031,2031
1542166348,2005,2005
1542168294,1988,1988
1542170182,1999,1999
1542172126,1962,1962
1542174044,1958,1958
1542175959,1967,1967
1542177866,1978,1978
1542179795,1946,1946
1542181704,1954,1954
1542183896,1940,1940
1542185773,1937,1937
1542187979,1959,1959
1542189857,1967,1967
1542191804,1969,1969
1542193704,1970,1970
1542195867,1972,1972
1542197808,1969,1969
1542199700,1993,1993
1542201635,1989,1989
1542203552,2004,2004
1542205463,2001,2001
1542207389,2005,2005
1542209302,2022,2022
1542211284,2023,2023
1542213408,1987,1987
1542215350,1971,1971
1542217487,1991,1991
1542219396,2007,2007
1542221561,2020,2020
1542223472,2007,2007
1542225374,2010,2010
1542227560,2021,2021
1542229498,2008,2008
1542231411,2030,2030
1542233338,2051,2051
1542235473,2054,2054
1542237663,2050,2050
1542239800,2042,2042
1542241704,2062,2062
1542243640,2050,2050
1542245555,2050,2050
1542247488,2049,2049
1542249624,2049,2049
1542251560,2070,2070
1542253494,2072,2072
1542255625,2073,2073
1542257579,2058,2058
1542259479,2054,2054
1542261383,2059,2059
1542263328,2050,2050
1542265271,2033,2033
1542267159,2032,2032
1542269102,2008,2008
1542271232,2015,2015
1542273153,2008,2008
1542275069,1979,1979
1542277045,1976,1976
1542278914,1996,1996
1542280831,2016,2016
1542282740,2016,2016
1542284679,1994,1994
1542286577,1969,1969
1542288519,1988,1988
1542290480,1983,1983
1542292372,1980,1980
1542294540,1984,1984
1542296461,1967,1967
1542298659,1965,1965
1542300788,1966,1966
1542302897,1951,1951
1542305086,1931,1931
1542306987,1966,1966
1542308936,1957,1957
1542310848,1935,1935
1542312768,1934,1934
1542314681,1930,1930
1542316858,1971,1971
1542318768,1957,1957
1542320904,1958,1958
1542323090,1968,1968
1542324994,1983,1983
1542326922,2006,2006
1542328837,2006,2006
1542330775,2025,2025
1542332663,2051,2051
1542334593,2033,2033
1542336521,2044,2044
1542338443,2037,2037
1542340345,2061,2061
1542342265,2082,2082
1542344183,2108,2108
1542346363,2131,2131
1542348292,2113,2113
1542350182,2135,2135
1542352217,2133,2133
1542354044,2139,2139
1542355964,2164,2164
1542357771,2143,2143
1542359804,2153,2153
1542361706,2141,2141
1542363650,2137,2137
1542365556,2124,2124
1542367463,2109,2109
1542369397,2124,2124
1542371303,2125,2125
1542373284,2130,2130
1542375176,2367,2367
1542377067,5720,5720
1542378990,9003,9003
1542380941,9336,9336
1542382824,9350,9350
1542385133,9340,9340
1542387400,9361,9361
1542389298,9358,9358
1542391302,9387,9387
1542393169,9339,9339
1542395083,9332,9332
1542396981,9379,9379
1542398931,9399,9399
1542400845,9449,9449
1542402753,9416,9416
1542404689,9409,9409
1542406669,9407,9407
1542408506,9412,9412
1542410439,9428,9428
1542412383,9408,9408
1542414263,9413,9413
1542416192,9420,9420
1542418117,9466,9466
1542420112,9455,9455
1542421956,9459,9459
1542423882,9445,9445
1542425809,9463,9463
1542427709,9456,9456
1542429625,9448,9448
1542431547,9452,9452
1542433483,9447,9447
1542435394,9460,9460
1542437305,9460,9460
1542439227,9461,9461
1542441143,9445,9445
1542443078,9432,9432
1542444998,9428,9428
1542446900,9442,9442
1542448895,9449,9449
1542450764,9466,9466
1542452670,9454,9454
1542454597,9452,9452
1542456507,9453,9453
1542458430,9466,9466
1542460351,9497,9497
1542462276,7992,7992
1542464197,4770,4770
1542466104,2376,2376
1542468022,2357,2357
1542469943,2344,2344
1542471879,2357,2357
1542473943,2330,2330
1542475950,2334,2334
1542477895,2313,2313
1542479788,2322,2322
1542481725,2300,2300
1542483626,2891,2891
1542485545,3261,3261
1542487469,3266,3266
1542489642,3276,3276
1542491568,3280,3280
1542493493,3297,3297
1542495399,3280,3280
1542497574,3272,3272
1542499465,3291,3291
1542501377,3292,3292
1542503318,3283,3283
1542505236,3246,3246
1542507161,3254,3254
1542509078,3269,3269
1542511012,3283,3283
1542512918,3287,3287
1542514842,3296,3296
1542516763,3307,3307
1542518676,3319,3319
1542520912,3376,3376
1542523009,3376,3376
1542524947,3388,3388
1542526843,3413,3413
1542528762,3425,3425
1542530670,3428,3428
1542532607,3414,3414
1542534505,3457,3457
1542536433,3464,3464
1542538371,3485,3485
1542540261,3493,3493
1542542201,3498,3498
1542544099,3496,3496
1542546106,3476,3476
1542547967,3462,3462
1542549871,3473,3473
1542551778,3460,3460
1542553748,3447,3447
1542555638,3460,3460
1542557614,3459,3459
1542559478,3462,3462
1542561554,3471,3471
1542563534,3496,3496
1542565473,3506,3506
1542567697,3551,3551
1542569542,3553,3553
1542571461,3560,3560
1542573383,3522,3522
1542575323,3507,3507
1542577228,3520,3520
1542579394,3254,3254
1542581314,3260,3260
1542583219,3290,3290
1542585165,3289,3289
1542587117,3238,3238
1542588992,2493,2493
1542590898,2490,2490
1542592888,2503,2503
1542594756,2493,2493
1542596665,2485,2485
1542598588,2491,2491
1542600529,2479,2479
1542602433,2485,2485
1542604358,2446,2446
1542606264,2420,2420
1542608194,2394,2394
1542610116,2379,2379
1542612029,2353,2353
1542613959,2349,2349
1542615857,2348,2348
1542617773,2371,2371
1542619709,2395,2395
1542621694,2367,2367
1542623541,2342,2342
1542625472,2345,2345
1542627631,2286,2286
1542629563,2311,2311
1542631456,2305,2305
1542633414,2256,2256
1542635301,2258,2258
1542637245,2319,2319
1542639154,2339,2339
1542641073,2318,2318
1542642972,2321,2321
1542644921,2317,2317
1542646913,2315,2315
1542648919,2295,2295
1542650917,2275,2275
1542653081,2249,2249
1542654994,2252,2252
1542656903,2263,2263
1542658830,2226,2226
1542660742,5588,5588
1542662662,7846,7846
1542664607,8253,8253
1542666532,8677,8677
1542668501,9133,9133
1542670461,9587,9587
1542672309,10032,10032
1542674212,10527,10527
1542676120,10937,10937
1542678027,11385,11385
1542679944,11798,11798
1542681866,12200,12200
1542683792,12531,12531
1542685710,12822,12822
1542687630,13034,13034
1542689566,13219,13219
1542691463,13358,13358
1542693400,13453,13453
1542695302,13557,13557
1542697265,13639,13639
1542699193,13686,13686
1542701178,13757,13757
1542703286,13792,13792
1542705201,13815,13815
1542707060,13850,13850
1542708987,13883,13883
1542710895,13905,13905
1542712828,13932,13932
1542714753,13949,13949
1542716685,13974,13974
1542718589,13978,13978
1542720506,14022,14022
1542722479,14005,14005
1542724362,13973,13973
1542726268,13986,13986
1542728181,14009,14009
1542730181,14007,14007
1542732024,14028,14028
1542733959,14041,14041
1542735867,14094,14094
1542738019,14143,14143
1542739966,14164,14164
1542741863,14259,14259
1542743800,14461,14461
1542745704,14210,14210
1542747683,11334,11334
1542749552,9769,9769
1542751490,9524,9524
1542753383,9242,9242
1542755358,8925,8925
1542757232,8602,8602
1542759169,8270,8270
1542761091,7892,7892
1542763016,7469,7469
1542764918,7098,7098
1542766824,6694,6694
1542768755,6326,6326
1542770908,6087,6087
1542772896,5992,5992
1542774767,5998,5998
1542776678,5967,5967
1542778600,6013,6013
1542780535,6037,6037
1542782444,6034,6034
1542784369,6062,6062
1542786391,6091,6091
1542788239,6054,6054
1542790161,6046,6046
1542792038,6052,6052
1542793954,6013,6013
1542795863,6009,6009
1542797798,5983,5983
1542799718,5998,5998
1542802605,6060,6060
1542804503,6076,6076
1542806436,6108,6108
1542808351,6109,6109
1542810276,6104,6104
1542812174,6148,6148
1542814123,6129,6129
1542816064,6148,6148
1542817968,6183,6183
1542819887,6202,6202
1542821777,6204,6204
1542823885,6227,6227
1542825860,8027,8027
1542827779,8492,8492
1542829699,8626,8626
1542831902,8563,8563
1542833783,8600,8600
1542835709,8606,8606
1542837695,8657,8657
1542839549,8716,8716
1542841470,8752,8752
1542843395,8797,8797
1542845571,8809,8809
1542847478,8830,8830
1542849411,8854,8854
1542851299,8860,8860
1542853241,8880,8880
1542855153,8879,8879
1542857079,8754,8754
1542858979,8543,8543
1542860915,8311,8311
1542862903,8170,8170
1542864761,8024,8024
1542866688,7878,7878
1542868834,7787,7787
1542870775,7705,7705
1542872678,7617,7617
1542874588,7586,7586
1542876503,7560,7560
1542878438,7529,7529
1542880365,7505,7505
1542882264,7491,7491
1542884219,7447,7447
1542886364,7411,7411
1542888283,7321,7321
1542890182,7272,7272
1542892108,7277,7277
1542894023,7201,7201
1542895949,7180,7180
1542897884,7166,7166
1542900079,7169,7169
1542901962,7173,7173
1542903938,7188,7188
1542905799,7197,7197
1542907694,7194,7194
1542909693,7199,7199
1542911817,5931,5931
1542913740,6288,6288
1542915645,6383,6383
1542917553,6556,6556
1542919460,6733,6733
1542921399,6794,6794
1542923320,6887,6887
1542925224,6941,6941
1542927171,7020,7020
1542929067,7044,7044
1542930995,7063,7063
1542933151,7091,7091
1542935080,7159,7159
1542936983,7183,7183
1542938924,7241,7241
1542940824,7257,7257
1542942742,7318,7318
1542944679,7348,7348
1542946606,7391,7391
1542948742,7392,7392
1542950670,7413,7413
1542952905,7460,7460
1542954755,7512,7512
1542956684,7554,7554
1542958583,7600,7600
1542960555,7637,7637
1542962422,7669,7669
1542964369,7695,7695
1542966273,7759,7759
1542968197,7773,7773
1542970105,7792,7792
1542972030,7784,7784
1542973942,7816,7816
1542975889,7835,7835
1542977800,7824,7824
1542979706,7872,7872
1542982606,8010,8010
1542984497,8099,8099
1542986705,8109,8109
1542988595,8137,8137
1542990514,8179,8179
1542992510,8167,8167
1542994369,8173,8173
1542996383,8203,8203
1542998186,8108,8108
1543000126,7584,7584
1543002026,7317,7317
1543003957,7114,7114
1543005885,6939,6939
1543007799,6838,6838
1543009707,6730,6730
1543011635,6682,6682
1543013873,6644,6644
1543015975,6596,6596
1543017866,6580,6580
1543019811,6569,6569
1543021733,6525,6525
1543023660,6599,6599
1543025576,6762,6762
1543027489,6889,6889
1543029418,6934,6934
1543031320,6984,6984
1543033250,7047,7047
1543035170,7207,7207
1543037081,7378,7378
1543038991,7352,7352
1543040925,7346,7346
1543042897,7314,7314
1543044874,7272,7272
1543046687,7229,7229
1543048599,7195,7195
1543050756,7153,7153
1543052671,7077,7077
1543054576,7032,7032
1543056896,7674,7674
