DateTime,Entries,UniqueIPs
1542076367,485,485
1542078267,488,488
1542080219,492,492
1542082141,496,496
1542084040,495,495
1542085970,512,512
1542087890,510,510
1542091944,510,510
1542093880,503,503
1542096087,509,509
1542097950,515,515
1542099872,518,518
1542101793,515,515
1542103725,513,513
1542105621,515,515
1542107563,521,521
1542109466,517,517
1542111404,533,533
1542113555,526,526
1542115487,496,496
1542117402,492,492
1542119301,499,499
1542121293,486,486
1542123147,486,486
1542125078,484,484
1542127240,490,490
1542129154,489,489
1542131071,515,515
1542133012,525,525
1542135137,525,525
1542137078,535,535
1542139007,537,537
1542140924,521,521
1542142886,530,530
1542144769,526,526
1542146675,516,516
1542148607,532,532
1542150545,540,540
1542152497,542,542
1542154370,544,544
1542156266,544,544
1542158204,531,531
1542160338,534,534
1542162283,544,544
1542164503,539,539
1542166349,533,533
1542168295,521,521
1542170184,528,528
1542172127,521,521
1542174045,519,519
1542175960,528,528
1542177867,532,532
1542179796,532,532
1542181705,525,525
1542183897,520,520
1542185774,516,516
1542187981,515,515
1542189858,515,515
1542191805,521,521
1542193705,527,527
1542195869,530,530
1542197809,511,511
1542199701,515,515
1542201636,520,520
1542203554,535,535
1542205465,526,526
1542207390,529,529
1542209303,530,530
1542211289,530,530
1542213409,528,528
1542215351,533,533
1542217488,534,534
1542219397,533,533
1542221563,549,549
1542223473,531,531
1542225378,525,525
1542227562,535,535
1542229500,523,523
1542231413,535,535
1542233339,538,538
1542235475,523,523
1542237665,515,515
1542239801,520,520
1542241705,518,518
1542243646,520,520
1542245556,525,525
1542247489,532,532
1542249626,527,527
1542251562,526,526
1542253496,523,523
1542255626,521,521
1542257580,515,515
1542259480,521,521
1542261384,523,523
1542263329,523,523
1542265279,521,521
1542267161,519,519
1542269103,515,515
1542271233,512,512
1542273154,510,510
1542275070,507,507
1542277046,501,501
1542278915,508,508
1542280833,489,489
1542282741,486,486
1542284680,484,484
1542286578,481,481
1542288520,467,467
1542290482,463,463
1542292373,463,463
1542294542,467,467
1542296463,466,466
1542298661,458,458
1542300790,461,461
1542302898,447,447
1542305087,459,459
1542306988,452,452
1542308938,451,451
1542310850,452,452
1542312769,449,449
1542314682,439,439
1542316859,451,451
1542318770,451,451
1542320906,454,454
1542323091,456,456
1542324996,454,454
1542326924,455,455
1542328838,457,457
1542330777,459,459
1542332664,474,474
1542334594,455,455
1542336522,458,458
1542338444,462,462
1542340347,469,469
1542342267,472,472
1542344184,473,473
1542346364,474,474
1542348293,474,474
1542350183,475,475
1542352220,477,477
1542354045,476,476
1542355965,477,477
1542357773,476,476
1542359806,490,490
1542361708,488,488
1542363651,486,486
1542365557,476,476
1542367465,472,472
1542369398,472,472
1542371304,472,472
1542373289,484,484
1542375177,503,503
1542377068,502,502
1542378992,505,505
1542380942,498,498
1542382826,501,501
1542385135,509,509
1542387401,512,512
1542389299,513,513
1542391303,510,510
1542393170,496,496
1542395084,494,494
1542396982,492,492
1542398933,492,492
1542400847,530,530
1542402755,532,532
1542404693,522,522
1542406671,512,512
1542408507,515,515
1542410440,513,513
1542412384,516,516
1542414264,520,520
1542416193,518,518
1542418118,523,523
1542420114,515,515
1542421958,517,517
1542423883,510,510
1542425811,512,512
1542427710,507,507
1542429627,524,524
1542431548,521,521
1542433484,514,514
1542435395,511,511
1542437306,509,509
1542439229,512,512
1542441145,508,508
1542443079,518,518
1542444999,516,516
1542446901,508,508
1542448900,507,507
1542450765,506,506
1542452671,503,503
1542454598,503,503
1542456508,508,508
1542458433,510,510
1542460356,561,561
1542462277,535,535
1542464198,532,532
1542466105,571,571
1542468024,570,570
1542469944,568,568
1542471881,567,567
1542473944,568,568
1542475953,572,572
1542477896,573,573
1542479789,577,577
1542481727,576,576
1542483627,579,579
1542485546,589,589
1542487470,599,599
1542489643,589,589
1542491570,594,594
1542493494,593,593
1542495401,596,596
1542497576,592,592
1542499466,598,598
1542501378,593,593
1542503320,594,594
1542505237,575,575
1542509079,578,578
1542511013,578,578
1542512920,579,579
1542514843,576,576
1542516764,574,574
1542518677,589,589
1542520913,621,621
1542523010,619,619
1542524949,622,622
1542526844,621,621
1542528763,621,621
1542530673,614,614
1542532609,613,613
1542534506,616,616
1542536435,617,617
1542538373,616,616
1542540262,619,619
1542542202,624,624
1542544100,621,621
1542546107,586,586
1542547968,575,575
1542549872,574,574
1542551779,571,571
1542553750,533,533
1542555639,542,542
1542557615,550,550
1542559479,547,547
1542561556,546,546
1542563535,545,545
1542565474,549,549
1542567704,562,562
1542569543,559,559
1542571463,566,566
1542573385,532,532
1542575325,535,535
1542577229,534,534
1542579395,538,538
1542581316,551,551
1542583220,586,586
1542585167,583,583
1542587118,580,580
1542588993,578,578
