DateTime,Entries,UniqueIPs
1542082140,981,981
1542084040,969,969
1542085970,968,968
1542087890,982,982
1542089830,973,973
1542091943,933,933
1542093880,931,931
1542096086,931,931
1542097949,932,932
1542099872,927,927
1542101793,924,924
1542103725,919,919
1542105621,913,913
1542107563,908,908
1542109465,903,903
1542111403,896,896
1542113555,899,899
1542115486,902,902
1542117402,906,906
1542119301,909,909
1542121293,920,920
1542123147,920,920
1542125077,921,921
1542127239,935,935
1542129154,927,927
1542131071,929,929
1542133011,924,924
1542135136,924,924
1542137078,886,886
1542139007,880,880
1542140923,892,892
1542142886,898,898
1542144768,888,888
1542146675,882,882
1542148607,879,879
1542150544,880,880
1542152496,875,875
1542154369,875,875
1542156266,868,868
1542158203,863,863
1542160338,852,852
1542162282,853,853
1542164503,852,852
1542166349,842,842
1542168295,840,840
1542170183,841,841
1542172127,838,838
1542174045,829,829
1542175960,837,837
1542177867,841,841
1542179796,825,825
1542181705,830,830
1542183897,823,823
1542185774,823,823
1542187980,833,833
1542189858,836,836
1542191805,832,832
1542193705,831,831
1542195868,829,829
1542197809,824,824
1542199701,847,847
1542201636,849,849
1542203553,851,851
1542205464,852,852
1542207390,852,852
1542209303,863,863
1542211289,864,864
1542213408,857,857
1542215351,855,855
1542217487,857,857
1542219397,859,859
1542221563,860,860
1542223473,863,863
1542225378,861,861
1542227561,849,849
1542229499,845,845
1542231413,843,843
1542233339,849,849
1542235474,855,855
1542237664,847,847
1542239801,836,836
1542241704,840,840
1542243645,827,827
1542245556,834,834
1542247488,827,827
1542249625,823,823
1542251562,818,818
1542253495,821,821
1542255626,830,830
1542257580,821,821
1542259480,816,816
1542261384,807,807
1542263328,797,797
1542265279,786,786
1542267160,786,786
1542269103,786,786
1542271233,774,774
1542273154,767,767
1542275070,754,754
1542277046,761,761
1542278915,772,772
1542280832,775,775
1542282741,776,776
1542284679,782,782
1542286578,758,758
1542288520,755,755
1542290482,748,748
1542292373,731,731
1542294542,725,725
1542296462,717,717
1542298660,719,719
1542300789,717,717
1542302898,719,719
1542305087,710,710
1542306988,712,712
1542308938,701,701
1542310849,687,687
1542312769,686,686
1542314682,689,689
1542316859,702,702
1542318769,706,706
1542320905,699,699
1542323091,707,707
1542324995,718,718
1542326924,723,723
1542328838,738,738
1542330776,742,742
1542332664,745,745
1542334594,754,754
1542336522,763,763
1542338444,767,767
1542340346,777,777
1542342267,772,772
1542344184,784,784
1542346364,789,789
1542348293,789,789
1542350183,806,806
1542352219,811,811
1542354045,813,813
1542355965,824,824
1542357773,836,836
1542359805,839,839
1542361707,841,841
1542363651,832,832
1542365557,835,835
1542367464,839,839
1542369398,837,837
1542371304,832,832
1542373288,833,833
1542375177,828,828
