DateTime,AddedIPs,RemovedIPs
1542084042,1,3
1542085972,41,8
1542087892,4,9
1542089832,6,10
1542091945,10,1
1542093882,10,14
1542096089,9,15
1542097951,3,4
1542099874,11,1
1542101795,4,9
1542103726,14,7
1542105633,4,10
1542107564,3,8
1542109467,3,17
1542111405,38,2
1542113556,9,8
1542115489,12,15
1542117404,2,9
1542119303,12,10
1542121295,2,18
1542123148,5,6
1542125079,10,7
1542127241,39,9
1542129156,14,13
1542131072,6,3
1542133013,7,6
1542135138,8,13
1542137079,26,6
1542139009,3,7
1542140926,2,21
1542142888,14,21
1542144770,4,9
1542146678,1,41
1542148609,5,21
1542150546,5,13
1542152499,5,1
1542154372,12,3
1542156268,2,6
1542158205,13,9
1542160339,11,3
1542162284,19,4
1542164505,7,0
1542166351,1,7
1542168297,7,14
1542170185,6,2
1542172129,9,42
1542174046,7,5
1542175962,6,6
1542177868,13,8
1542179798,5,13
1542181708,8,8
1542183899,7,6
1542185776,12,7
1542187982,12,14
1542189859,4,14
1542191806,11,5
1542193707,7,3
1542195870,5,6
1542197811,4,38
1542199703,2,11
1542201638,10,11
1542203556,10,3
1542205466,4,11
1542207391,11,2
1542209305,6,6
1542211291,6,7
1542213410,9,40
1542215353,5,18
1542217489,11,5
1542219409,13,5
1542221565,15,7
1542223474,0,26
1542225380,2,3
1542227563,18,3
1542229501,8,15
1542231414,14,3
1542233341,4,1
1542235476,5,6
1542237667,5,5
1542239802,3,9
1542241706,1,6
1542243647,5,13
1542245558,2,5
1542247491,21,16
1542249627,19,12
1542251563,6,0
1542253497,3,4
1542255627,2,5
1542257582,4,10
1542259482,12,6
1542261385,10,8
1542263330,5,5
1542265280,7,11
1542267162,1,6
1542269104,1,10
1542271234,7,14
1542273156,2,12
1542275071,7,8
1542277047,3,6
1542278916,17,12
1542280834,25,8
1542282743,3,2
1542284681,7,4
1542286580,3,3
1542288522,13,19
1542290484,5,2
1542292374,6,5
1542294544,8,13
1542296464,6,7
1542298662,1,7
1542300791,7,8
1542302900,12,12
1542305089,9,8
1542306989,12,22
1542308956,9,4
1542310851,3,1
1542312770,2,2
1542314683,5,16
1542316861,34,13
1542318771,4,8
1542320907,10,9
1542323093,5,6
1542324997,9,2
1542326926,1,1
1542328840,4,5
1542330778,6,4
1542332666,15,3
1542334596,2,37
1542336523,3,3
1542338445,7,7
1542340348,7,4
1542342269,5,2
1542344186,4,5
1542346366,18,17
1542348294,6,4
1542350185,8,6
1542352224,6,9
1542354047,3,2
1542355967,6,0
1542357775,3,8
1542359807,19,3
1542361709,0,3
1542363652,6,5
1542365559,3,22
1542367466,8,23
1542369400,4,3
1542371306,4,6
1542373291,17,5
1542375179,7,12
1542377069,8,8
1542378993,5,10
1542380944,5,8
1542382827,2,6
1542385136,6,1
1542387403,10,9
1542389301,3,10
1542391305,6,6
1542393171,4,16
1542395086,2,9
1542396984,3,3
1542398935,7,1
1542400848,20,6
1542402756,15,24
1542404705,0,12
1542406672,11,10
1542408509,5,4
1542410441,1,6
1542412386,2,6
1542414266,10,3
1542416195,3,8
1542418119,3,10
1542420115,1,8
1542421959,1,3
1542423885,5,5
1542425823,1,7
1542427711,5,8
1542429628,22,6
1542431550,8,12
1542433485,2,11
1542435397,3,6
1542437308,2,7
1542439232,3,3
1542441146,2,6
1542443081,16,7
1542445000,9,9
1542446903,6,12
1542448901,3,4
1542450767,7,7
1542452683,0,4
1542454599,7,8
1542456510,5,1
1542458434,11,7
1542460357,21,16
1542462279,7,10
1542464199,3,2
1542466107,3,4
1542468025,8,4
1542469945,8,3
1542471882,9,4
1542473946,9,12
1542475954,6,3
1542477898,5,3
1542479791,4,8
1542481729,4,1
1542483628,7,4
1542485547,10,7
1542487471,17,22
1542489644,12,15
1542491571,3,2
1542493495,2,11
1542495402,7,3
1542497577,3,0
1542499478,13,5
1542501379,4,8
1542503321,4,0
1542505239,4,1
1542507163,12,4
1542509080,2,0
1542511014,6,2
1542512921,1,5
1542514845,15,13
1542516766,12,20
1542518679,17,1
1542520914,7,2
1542523012,3,2
1542524950,12,2
1542526846,6,3
1542528764,8,10
1542530674,9,14
1542532610,8,7
1542534508,8,4
1542536436,4,5
1542538374,9,5
1542540263,5,4
1542542203,10,8
1542544101,4,11
1542546109,21,18
1542547969,8,13
1542549874,1,1
1542551781,2,6
1542553752,10,9
1542555641,11,4
1542557616,13,9
1542559480,2,6
1542561557,6,5
1542563537,19,4
1542565476,8,4
1542567706,15,3
1542569544,2,4
1542571464,13,3
1542573386,7,24
1542575328,8,4
1542577231,5,11
1542579396,7,2
1542581317,18,4
1542583222,1,2
1542585168,4,6
1542587120,3,8
1542588994,4,4
1542590901,3,2
1542592891,6,5
1542594759,2,10
1542596668,4,5
1542598610,25,4
1542600534,9,12
1542602436,1,6
1542604362,6,23
1542606267,7,13
1542608197,12,3
1542610119,4,5
1542612033,4,9
1542613962,1,6
1542615860,4,13
1542617776,2,8
1542619712,4,6
1542621698,4,10
1542623544,3,2
1542625475,6,4
1542627634,19,11
1542629575,3,3
1542631470,6,13
1542633418,2,18
1542635304,0,2
1542637248,17,1
1542639157,4,3
1542641076,3,9
1542642986,5,20
1542644924,5,5
1542646916,7,5
1542648922,7,19
1542650923,10,4
1542653085,5,11
1542655002,25,9
1542656906,10,6
1542658840,3,13
1542660745,4,4
1542662676,15,5
1542664610,6,7
1542666589,1,13
1542668565,5,8
1542670465,2,5
1542672312,2,1
1542674226,2,4
1542676127,2,3
1542678057,8,6
1542679947,3,5
1542681877,2,2
1542683795,6,15
1542685713,20,16
1542687638,5,4
1542689569,6,4
1542691466,15,6
1542693402,8,15
1542695306,2,5
1542697302,3,3
1542699196,4,1
1542701204,4,14
1542703290,2,15
1542705204,4,3
1542707063,2,2
1542708990,1,1
1542710898,4,7
1542712831,6,14
1542714756,11,8
1542716688,13,3
1542718591,1,6
1542720509,6,3
1542722485,8,13
1542724366,2,6
1542726272,6,3
1542728184,1,3
1542730185,2,9
1542732027,4,2
1542733963,6,8
1542735870,5,7
1542738022,4,8
1542739969,12,5
1542741868,13,25
1542743803,18,8
1542745707,15,3
1542747693,9,10
1542749555,8,11
1542751493,4,7
1542753386,4,2
1542755361,5,3
1542757235,7,3
1542759172,4,2
1542761094,4,2
1542763018,5,1
1542764921,2,8
1542766827,4,1
1542768758,21,2
1542770911,10,14
1542772901,5,13
1542774770,18,9
1542776681,1,2
1542778609,2,18
1542780538,3,3
1542782446,1,1
1542784372,3,2
1542786394,2,10
1542788242,4,1
1542790164,2,1
1542792041,4,7
1542793957,7,3
1542795865,15,2
1542797801,19,8
1542799721,1,3
1542801705,8,15
1542803563,19,10
1542805491,4,3
1542807386,3,6
1542809328,7,7
1542811239,4,1
1542813149,4,3
1542815058,3,1
1542817005,1,3
1542819064,4,8
1542821049,7,2
1542822985,13,14
1542824889,12,1
1542826893,10,10
1542828757,14,18
1542830661,5,13
1542832585,2,22
1542834751,10,2
1542836711,3,6
1542838592,4,2
1542840504,4,4
1542842445,23,5
1542844402,5,6
1542846515,3,3
1542848497,3,1
1542850355,4,4
1542852263,4,3
1542854202,16,15
1542856134,3,12
1542858035,4,9
1542859943,1,9
1542861874,11,14
1542863795,7,0
1542865702,7,2
1542867611,2,3
1542869546,3,5
1542871713,4,2
1542873692,3,7
1542875576,9,2
1542877470,7,3
1542879412,7,6
1542881311,10,6
1542883223,5,27
1542885164,2,2
1542887053,1,6
1542888999,2,15
1542890894,4,10
1542893087,5,3
1542894989,16,7
1542896895,2,3
1542898889,5,3
1542900756,3,2
1542902569,1,2
1542904606,7,1
1542906761,10,7
1542908662,5,4
1542910587,2,14
1542912758,5,11
1542914673,10,15
1542916579,10,5
1542918512,7,3
1542920508,12,6
1542922373,2,3
1542924263,2,5
1542926204,9,1
1542928110,13,5
1542930031,4,2
1542932068,5,2
1542934360,6,5
1542936264,1,6
1542938201,3,2
1542940097,9,19
1542943241,13,7
1542945142,4,8
1542947063,4,6
1542948990,2,6
1542950895,4,7
1542952909,3,2
1542954757,6,2
1542956687,3,5
1542958586,4,3
1542960561,2,3
1542962435,4,7
1542964373,3,22
1542966277,6,8
1542968207,10,7
1542970108,2,4
1542972033,4,1
1542973945,6,2
1542975892,5,2
1542977803,3,2
1542979708,5,4
1542981691,7,16
1542983788,8,2
1542985731,7,6
1542987618,10,4
1542989593,7,1
1542991483,7,11
1542993386,3,11
1542995303,11,5
1542997214,8,3
1542999143,4,5
1543001058,9,10
1543002984,10,11
1543004898,6,7
1543006903,2,12
1543008746,4,2
1543010667,10,3
1543012715,27,11
1543014551,14,12
1543016414,1,4
1543018582,7,3
1543020767,10,5
1543022680,25,1
1543024592,8,2
1543026531,7,12
1543028542,1,14
1543030379,0,3
1543032284,3,3
1543034183,3,4
1543036121,1,2
1543038033,0,4
1543039944,7,1
1543041877,0,6
1543043803,2,1
1543045696,0,5
1543047627,7,2
1543049557,3,6
1543051478,7,6
1543053395,2,5
1543055298,2,9
1543057502,7,5
