DateTime,Entries,UniqueIPs
1542084042,544,544
1542085972,577,577
1542087892,572,572
1542089832,568,568
1542091945,577,577
1542093882,573,573
1542096089,567,567
1542097951,566,566
1542099874,576,576
1542101795,571,571
1542103726,578,578
1542105633,572,572
1542107564,567,567
1542109467,553,553
1542111405,589,589
1542113556,590,590
1542115489,587,587
1542117404,580,580
1542119303,582,582
1542121295,566,566
1542123148,565,565
1542125079,568,568
1542127241,598,598
1542129156,599,599
1542131072,602,602
1542133013,603,603
1542135138,598,598
1542137079,618,618
1542139009,614,614
1542140926,595,595
1542142888,588,588
1542144770,583,583
1542146678,543,543
1542148609,527,527
1542150546,519,519
1542152499,523,523
1542154372,532,532
1542156268,528,528
1542158205,532,532
1542160339,540,540
1542162284,555,555
1542164505,562,562
1542166351,556,556
1542168297,549,549
1542170185,553,553
1542172129,520,520
1542174046,522,522
1542175962,522,522
1542177868,527,527
1542179798,519,519
1542181708,519,519
1542183899,520,520
1542185776,525,525
1542187982,523,523
1542189859,513,513
1542191806,519,519
1542193707,523,523
1542195870,522,522
1542197811,488,488
1542199703,479,479
1542201638,478,478
1542203556,485,485
1542205466,478,478
1542207391,487,487
1542209305,487,487
1542211291,486,486
1542213410,455,455
1542215353,442,442
1542217489,448,448
1542219409,456,456
1542221565,464,464
1542223474,438,438
1542225380,437,437
1542227563,452,452
1542229501,445,445
1542231414,456,456
1542233341,459,459
1542235476,458,458
1542237667,458,458
1542239802,452,452
1542241706,447,447
1542243647,439,439
1542245558,436,436
1542247491,441,441
1542249627,448,448
1542251563,454,454
1542253497,453,453
1542255627,450,450
1542257582,444,444
1542259482,450,450
1542261385,452,452
1542263330,452,452
1542265280,448,448
1542267162,443,443
1542269104,434,434
1542271234,427,427
1542273156,417,417
1542275071,416,416
1542277047,413,413
1542278916,418,418
1542280834,435,435
1542282743,436,436
1542284681,439,439
1542286580,439,439
1542288522,433,433
1542290484,436,436
1542292374,437,437
1542294544,432,432
1542296464,431,431
1542298662,425,425
1542300791,424,424
1542302900,424,424
1542305089,425,425
1542306989,415,415
1542308956,420,420
1542310851,422,422
1542312770,422,422
1542314683,411,411
1542316861,432,432
1542318771,428,428
1542320907,429,429
1542323093,428,428
1542324997,435,435
1542326926,435,435
1542328840,434,434
1542330778,436,436
1542332666,448,448
1542334596,413,413
1542336523,413,413
1542338445,413,413
1542340348,416,416
1542342269,419,419
1542344186,418,418
1542346366,419,419
1542348294,421,421
1542350185,423,423
1542352224,420,420
1542354047,421,421
1542355967,427,427
1542357775,422,422
1542359807,438,438
1542361709,435,435
1542363652,436,436
1542365559,417,417
1542367466,402,402
1542369400,403,403
1542371306,401,401
1542373291,413,413
1542375179,408,408
1542377069,408,408
1542378993,403,403
1542380944,400,400
1542382827,396,396
1542385136,401,401
1542387403,402,402
1542389301,395,395
1542391305,395,395
1542393171,383,383
1542395086,376,376
1542396984,376,376
1542398935,382,382
1542400848,396,396
1542402756,387,387
1542404705,375,375
1542406672,376,376
1542408509,377,377
1542410441,372,372
1542412386,368,368
1542414266,375,375
1542416195,370,370
1542418119,363,363
1542420115,356,356
1542421959,354,354
1542423885,354,354
1542425823,348,348
1542427711,345,345
1542429628,361,361
1542431550,357,357
1542433485,348,348
1542435397,345,345
1542437308,340,340
1542439232,340,340
1542441146,336,336
1542443081,345,345
1542445000,345,345
1542446903,339,339
1542448901,338,338
1542450767,338,338
1542452683,334,334
1542454599,333,333
1542456510,337,337
1542458434,341,341
1542460357,346,346
1542462279,343,343
1542464199,344,344
1542466107,343,343
1542468025,347,347
1542469945,352,352
1542471882,357,357
1542473946,354,354
1542475954,357,357
1542477898,359,359
1542479791,355,355
1542481729,358,358
1542483628,361,361
1542485547,364,364
1542487471,359,359
1542489644,356,356
1542491571,357,357
1542493495,348,348
1542495402,352,352
1542497577,355,355
1542499478,363,363
1542501379,359,359
1542503321,363,363
1542505239,366,366
1542507163,374,374
1542509080,376,376
1542511014,380,380
1542512921,376,376
1542514845,378,378
1542516766,370,370
1542518679,386,386
1542520914,391,391
1542523012,392,392
1542524950,402,402
1542526846,405,405
1542528764,403,403
1542530674,398,398
1542532610,399,399
1542534508,403,403
1542536436,402,402
1542538374,406,406
1542540263,407,407
1542542203,409,409
1542544101,402,402
1542546109,405,405
