DateTime,AddedIPs,RemovedIPs
1542084043,1,2
1542085973,2,5
1542087893,4,2
1542089833,3,6
1542091946,3,8
1542093882,3,5
1542096091,7,11
1542097959,13,6
1542099874,8,3
1542101795,6,7
1542103728,9,15
1542105634,3,4
1542107565,4,8
1542109468,4,4
1542111406,6,1
1542113557,8,5
1542115490,6,6
1542117405,7,4
1542119303,3,4
1542121296,5,9
1542123149,7,7
1542125087,6,6
1542127242,12,10
1542129156,4,6
1542131073,7,10
1542133014,5,5
1542135139,8,3
1542137080,11,6
1542139010,3,5
1542140927,7,4
1542142889,9,12
1542144771,1,3
1542146678,8,11
1542148609,5,4
1542150547,7,4
1542152510,3,4
1542154374,1,1
1542156269,3,7
1542158206,3,3
1542160340,6,8
1542162285,2,7
1542164506,6,5
1542166362,3,5
1542168298,4,8
1542170186,3,1
1542172130,2,2
1542174047,5,2
1542175963,3,4
1542177869,5,2
1542179798,3,2
1542181708,6,6
1542183900,9,12
1542185777,4,8
1542187983,7,3
1542189860,4,6
1542191807,1,3
1542193708,4,5
1542195871,4,4
1542197812,6,6
1542199703,2,6
1542201639,4,10
1542203557,5,6
1542205467,2,3
1542207392,6,5
1542209306,6,7
1542211293,6,7
1542213411,7,9
1542215354,2,6
1542217490,8,8
1542219410,5,6
1542221566,10,12
1542223475,1,11
1542225380,11,4
1542227564,3,9
1542229502,3,8
1542231415,3,2
1542233342,2,12
1542235477,7,6
1542237668,2,9
1542239803,5,2
1542241706,4,3
1542243648,0,2
1542245559,2,4
1542247491,4,3
1542249628,3,4
1542251564,6,3
1542253498,1,1
1542255628,3,4
1542257583,2,3
1542259483,8,8
1542261386,3,2
1542263331,3,6
1542265281,2,2
1542267163,4,5
1542269105,2,3
1542271235,16,8
1542273157,13,8
1542275072,14,5
1542277048,5,3
1542278917,4,4
1542280835,6,2
1542282743,17,5
1542284682,4,5
1542286581,10,2
1542288523,8,6
1542290485,8,4
1542292375,9,3
1542294544,4,4
1542296465,3,5
1542298664,12,8
1542300792,12,4
1542302900,4,5
1542305089,6,6
1542306990,15,8
1542308958,5,6
1542310852,3,6
1542312771,13,6
1542314684,8,3
1542316861,9,5
1542318772,6,1
1542320908,11,4
1542323094,10,8
1542324998,5,1
1542326926,5,6
1542328851,6,3
1542330779,3,0
1542332666,11,2
1542334597,13,5
1542336524,3,4
1542338446,3,4
1542340349,4,2
1542342269,2,2
1542344186,10,3
1542346366,8,7
1542348295,3,4
1542350186,4,2
1542352226,5,2
1542354047,5,6
1542355967,9,4
1542357776,5,18
1542359808,4,8
1542361710,3,15
1542363653,6,4
1542365559,6,3
1542367467,4,6
1542369401,10,17
1542371306,8,7
1542373292,5,7
1542375180,4,6
1542377070,4,10
1542378994,7,8
1542380945,5,4
1542382828,4,2
1542385137,6,13
1542387404,7,13
1542389301,6,4
1542391306,5,3
1542393172,5,12
1542395086,5,3
1542396984,4,4
