DateTime,Entries,UniqueIPs
1542084054,2933,2933
1542085974,2943,2943
1542087894,2949,2949
1542089836,2953,2953
1542091953,2957,2957
1542093884,1347,1347
1542096093,1358,1358
1542097961,1367,1367
1542099876,1383,1383
1542101797,1399,1399
1542103729,1410,1410
1542105636,1415,1415
1542107567,1431,1431
1542109470,1429,1429
1542111417,1438,1438
1542113559,1437,1437
1542115491,1435,1435
1542117406,1433,1433
1542119305,1437,1437
1542121298,1439,1439
1542123151,1431,1431
1542125089,1424,1424
1542127251,1428,1428
1542129158,1427,1427
1542131075,1421,1421
1542133016,1420,1420
1542135141,1413,1413
1542137082,1405,1405
1542139012,1413,1413
1542140929,1433,1433
1542142891,1435,1435
1542144773,1437,1437
1542146680,1311,1311
1542148611,1311,1311
1542150550,1302,1302
1542152512,1298,1298
1542154375,1285,1285
1542156272,1274,1274
1542158208,1275,1275
1542160342,1269,1269
1542162287,1268,1268
1542164507,1258,1258
1542166364,1249,1249
1542168299,1237,1237
1542170188,1221,1221
1542172133,1210,1210
1542174049,1198,1198
1542175965,1189,1189
1542177871,1178,1178
1542179800,1175,1175
1542181710,1168,1168
1542183901,1154,1154
1542185778,1146,1146
1542187985,1126,1126
1542189862,1107,1107
1542191809,1098,1098
1542193721,1090,1090
1542195873,1098,1098
1542197813,1084,1084
1542199705,1077,1077
1542201641,1069,1069
1542203558,1059,1059
1542205468,1056,1056
1542207394,1049,1049
1542209307,1036,1036
1542211295,1025,1025
1542213413,2929,2929
1542215356,2990,2990
1542217492,2986,2986
1542219412,2989,2989
1542221568,2977,2977
1542223477,2969,2969
1542225393,2963,2963
1542227566,2929,2929
1542229504,2920,2920
1542231426,2920,2920
1542233344,2916,2916
1542235479,2914,2914
1542237670,2911,2911
1542239805,2916,2916
1542241708,2906,2906
1542243650,2895,2895
1542245561,2904,2904
1542247494,2905,2905
1542249630,2900,2900
1542251567,2896,2896
1542253499,2897,2897
1542255630,2898,2898
1542257585,2914,2914
1542259485,2917,2917
1542261388,2913,2913
1542263332,2903,2903
1542265283,2911,2911
1542267164,2900,2900
1542269107,2897,2897
1542271237,2905,2905
1542273159,2907,2907
1542275074,2910,2910
1542277050,2907,2907
1542278919,2906,2906
1542280837,2909,2909
1542282745,2902,2902
1542284684,2894,2894
1542286582,2894,2894
1542288526,2896,2896
1542290487,2895,2895
1542292377,2895,2895
1542294546,2893,2893
1542296467,2890,2890
1542298666,2884,2884
1542300794,2934,2934
1542302902,2966,2966
1542305091,2994,2994
1542306992,3006,3006
1542308961,3026,3026
1542310865,3036,3036
1542312773,3056,3056
1542314686,3061,3061
1542316863,3071,3071
1542318780,3070,3070
1542320909,3073,3073
1542323095,3070,3070
1542324999,3069,3069
1542326928,3063,3063
1542328852,3064,3064
1542330780,3065,3065
1542332668,3062,3062
1542334598,3055,3055
1542336526,3048,3048
1542338448,3049,3049
1542340350,3036,3036
1542342271,3028,3028
1542344188,3010,3010
1542346368,3012,3012
1542348296,2996,2996
1542350187,3000,3000
1542352229,2989,2989
1542354049,2983,2983
1542355969,2980,2980
1542357777,2962,2962
1542359809,2950,2950
1542361711,2941,2941
1542363654,2942,2942
1542365561,2936,2936
1542367468,2926,2926
1542369402,2921,2921
1542371308,2911,2911
1542373293,2896,2896
1542375181,2911,2911
1542377071,2897,2897
1542378995,2885,2885
1542380946,2881,2881
1542382829,2871,2871
1542385138,1985,1985
1542387405,874,874
1542389303,866,866
1542391307,861,861
1542393173,852,852
1542395089,848,848
1542396986,842,842
1542398937,835,835
1542400850,838,838
1542402758,826,826
1542404708,819,819
1542406674,806,806
1542408511,813,813
1542410444,807,807
1542412388,816,816
1542414268,819,819
1542416197,806,806
1542418124,797,797
1542420118,791,791
1542421963,777,777
1542423888,766,766
1542425833,752,752
1542427715,740,740
1542429631,718,718
1542431552,702,702
1542433488,676,676
1542435400,642,642
1542437310,616,616
1542439236,603,603
1542441148,603,603
1542443083,598,598
1542445003,596,596
1542446905,606,606
1542448913,637,637
1542450769,665,665
1542452686,670,670
1542454602,664,664
1542456512,669,669
1542458437,686,686
1542460360,2383,2383
1542462282,3607,3607
1542464202,3624,3624
1542466111,3639,3639
1542468028,3657,3657
1542469948,3674,3674
1542471885,3694,3694
1542473948,3714,3714
1542475957,3731,3731
1542477911,3746,3746
1542479793,3752,3752
1542481732,3760,3760
1542483631,4203,4203
1542485550,5327,5327
1542487474,5335,5335
1542489647,5343,5343
1542491574,5347,5347
1542493498,5346,5346
1542495405,5347,5347
1542497580,5343,5343
1542499481,5369,5369
1542501382,5370,5370
1542503335,5368,5368
1542505242,5365,5365
1542507166,5363,5363
1542509083,5361,5361
1542511017,5364,5364
1542512924,5366,5366
1542514847,5372,5372
1542516768,5375,5375
1542518681,5376,5376
1542520917,5376,5376
1542523014,5378,5378
1542524954,5381,5381
1542526848,5386,5386
1542528767,5387,5387
1542530677,5389,5389
1542532613,5396,5396
1542534510,5388,5388
1542536439,5378,5378
1542538377,5380,5380
1542540266,5375,5375
1542542206,5378,5378
1542544104,5372,5372
1542546111,4495,4495
1542547972,3076,3076
1542549876,2901,2901
1542551783,2894,2894
1542553755,2943,2943
1542555643,2976,2976
1542557619,3017,3017
1542559483,3073,3073
1542561560,3091,3091
1542563539,3090,3090
1542565478,3097,3097
1542567709,3100,3100
1542569547,3104,3104
1542571466,3112,3112
1542573388,3112,3112
1542575331,3111,3111
1542577233,3113,3113
1542579399,2898,2898
1542581320,2887,2887
1542583224,2893,2893
1542585171,2873,2873
1542587122,2874,2874
1542588997,1175,1175
1542590904,1171,1171
1542592894,1178,1178
1542594761,1182,1182
1542596670,1186,1186
1542598613,1188,1188
1542600537,1181,1181
1542602439,1179,1179
1542604365,1168,1168
1542606269,1165,1165
1542608199,1169,1169
1542610121,1166,1166
1542612036,1158,1158
1542613964,1154,1154
1542615862,1155,1155
1542617778,1176,1176
1542619714,1170,1170
1542621701,1168,1168
1542623547,1167,1167
1542625477,1164,1164
1542627636,1161,1161
1542629577,1160,1160
1542631472,1160,1160
1542633420,1160,1160
1542635306,1151,1151
1542637250,1154,1154
1542639160,1152,1152
1542641078,1118,1118
1542642988,1089,1089
1542644926,1006,1006
1542646919,917,917
1542648926,910,910
1542650927,896,896
1542653087,872,872
1542655005,860,860
1542656909,847,847
1542658854,838,838
1542660748,2485,2485
1542662679,2483,2483
1542664612,2475,2475
1542666591,2465,2465
1542668579,2448,2448
1542670467,2431,2431
1542672315,2426,2426
1542674229,2414,2414
1542676148,2413,2413
1542678059,2408,2408
1542679949,2394,2394
1542681879,2383,2383
1542683797,2367,2367
1542685722,2365,2365
1542687640,2356,2356
1542689571,2347,2347
1542691469,2340,2340
1542693405,2327,2327
1542695308,2321,2321
1542697314,2311,2311
1542699198,2295,2295
1542701208,2423,2423
1542703292,2516,2516
1542705206,2580,2580
1542707077,2636,2636
1542708993,2702,2702
1542710901,2748,2748
1542712833,2806,2806
1542714758,2864,2864
1542716690,2905,2905
1542718594,2894,2894
1542720512,2884,2884
1542722488,2884,2884
1542724368,2877,2877
1542726274,2876,2876
1542728186,2890,2890
1542730189,2915,2915
1542732029,2993,2993
1542733965,3046,3046
1542735872,3089,3089
1542738025,3160,3160
1542739971,3195,3195
1542741870,3229,3229
1542743805,3267,3267
1542745709,2857,2857
1542747695,1688,1688
1542749557,1719,1719
1542751495,1746,1746
1542753389,1764,1764
1542755364,1780,1780
1542757238,1795,1795
1542759175,1806,1806
1542761096,1812,1812
1542763021,1830,1830
1542764923,2014,2014
1542766830,2018,2018
1542768760,2029,2029
1542770914,2034,2034
1542772904,2042,2042
1542774772,2050,2050
1542776684,2053,2053
1542778622,2056,2056
1542780540,2052,2052
1542782449,2050,2050
1542784374,2049,2049
1542786396,2048,2048
1542788245,2037,2037
1542790167,2028,2028
1542792043,2020,2020
1542793960,2002,2002
1542795868,1982,1982
1542797804,1985,1985
1542799724,1975,1975
1542801708,1965,1965
1542803566,1942,1942
1542805494,1941,1941
1542807407,1934,1934
1542809332,1934,1934
1542811241,1933,1933
1542813151,1937,1937
1542815061,1940,1940
1542817007,1937,1937
1542819066,1926,1926
1542821051,1919,1919
1542822988,1910,1910
1542824891,1887,1887
1542826897,1918,1918
1542828759,1947,1947
1542830665,1945,1945
1542832587,1978,1978
1542834754,1984,1984
1542836715,1984,1984
1542838594,1976,1976
1542840519,1975,1975
1542842447,1973,1973
1542844405,1978,1978
1542846517,1972,1972
1542848508,1978,1978
1542850357,1996,1996
1542852265,1800,1800
1542854205,1797,1797
1542856137,1789,1789
1542858038,1784,1784
1542859946,1771,1771
1542861877,1762,1762
1542863797,1757,1757
1542865704,1757,1757
1542867614,1751,1751
1542869549,1743,1743
1542871716,1767,1767
1542873695,1753,1753
1542875578,1736,1736
1542877473,1729,1729
1542879414,1723,1723
1542881314,1710,1710
1542883225,1697,1697
1542885167,1680,1680
1542887055,1661,1661
1542889006,1642,1642
1542890896,1624,1624
1542893090,1571,1571
1542894992,1538,1538
1542896897,1507,1507
1542898892,1455,1455
1542900759,1406,1406
1542902572,1339,1339
1542904608,1336,1336
1542906763,1362,1362
1542908664,1408,1408
1542910589,1425,1425
1542912761,1406,1406
1542914676,1405,1405
1542916581,1407,1407
1542918514,1414,1414
1542920512,1410,1410
1542922376,1417,1417
1542924266,1418,1418
1542926215,1443,1443
1542928115,1441,1441
1542930034,1436,1436
1542932071,1426,1426
1542934362,1416,1416
1542936266,1404,1404
1542938203,1394,1394
1542940102,1413,1413
1542942102,1435,1435
1542944199,1437,1437
1542946113,1438,1438
1542948022,1440,1440
1542949946,1439,1439
1542951878,1438,1438
1542953790,1440,1440
1542955703,1436,1436
1542957658,1415,1415
1542959544,1421,1421
1542961476,1452,1452
1542963378,1446,1446
1542965301,1451,1451
1542967319,1460,1460
1542969150,1477,1477
1542971074,1480,1480
1542972992,1488,1488
1542974906,1480,1480
1542976832,1500,1500
1542978748,1513,1513
1542980671,1517,1517
1542982610,1518,1518
1542984500,1517,1517
1542986710,1519,1519
1542988599,1510,1510
1542990518,1510,1510
1542992514,1519,1519
1542994373,1526,1526
1542996412,1537,1537
1542998831,1541,1541
1543000831,1514,1514
1543002986,1508,1508
1543004900,1500,1500
1543006915,1510,1510
1543008748,1507,1507
1543010671,1514,1514
1543012717,1520,1520
1543014554,1531,1531
1543016417,1521,1521
1543018584,1519,1519
1543020778,1521,1521
1543022682,1519,1519
1543024596,1506,1506
1543026533,1487,1487
1543028545,1467,1467
1543030382,1473,1473
1543032289,1472,1472
1543034185,1482,1482
1543036123,1493,1493
1543038036,1501,1501
1543039946,1500,1500
1543041880,1516,1516
1543043805,1521,1521
1543045699,1516,1516
1543047630,1507,1507
1543049559,1505,1505
1543051480,1500,1500
1543053397,1496,1496
1543055307,1492,1492
