DateTime,AddedIPs,RemovedIPs
1542080240,32,2
1542082146,14,7
1542084055,11,2
1542085975,12,1
1542087895,5,2
1542089837,4,5
1542091953,7,5
1542093885,7,3
1542096093,9,2
1542097961,7,4
1542099877,8,0
1542101798,6,4
1542103730,4,2
1542105637,12,1
1542107568,8,4
1542109471,8,3
1542111418,6,6
1542113559,3,2
1542115492,1,3
1542117407,4,4
1542119316,5,5
1542121299,4,1
1542123151,3,6
1542125090,6,8
1542127252,8,0
1542129159,5,6
1542131075,5,3
1542133016,6,7
1542135142,9,2
1542137083,3,3
1542139013,5,7
1542140929,0,1
1542142892,2,1
1542144773,8,5
1542146681,4,5
1542148612,9,1
1542150551,3,7
1542152513,3,4
1542154387,7,9
1542156273,5,1
1542158208,6,5
1542160343,8,5
1542162298,3,9
1542164508,3,5
1542166367,4,10
1542168300,5,33
1542170188,3,9
1542172133,4,11
1542174050,6,6
1542175966,0,2
1542177872,4,7
1542179801,6,7
1542181711,5,9
1542183902,5,7
1542185779,3,10
1542187985,2,7
1542189863,6,4
1542191809,4,11
1542193725,2,9
1542195873,3,10
1542197814,3,3
1542199706,4,3
1542201641,6,1
1542203559,3,3
1542205469,7,5
1542207394,3,5
1542209308,4,3
1542211295,4,6
1542213413,4,5
1542215357,5,8
1542217493,8,5
1542219412,6,4
1542221568,5,11
1542223478,4,4
1542225394,7,4
1542227566,5,1
1542229505,1,3
1542231426,7,6
1542233345,6,6
1542235479,5,11
1542237671,3,2
1542239806,8,4
1542241709,2,3
1542243651,1,6
1542245561,2,5
1542247494,8,3
1542249630,6,1
1542251568,3,4
1542253502,1,4
1542255630,8,6
1542257586,6,4
1542259486,7,9
1542261389,1,2
1542263333,4,2
1542265284,3,2
1542267165,7,5
1542269108,2,7
1542271237,1,4
1542273160,4,3
1542275075,3,4
1542277050,2,9
1542278920,4,2
1542280837,2,3
1542282746,3,2
1542284684,1,3
1542286583,6,5
1542288527,8,3
1542290488,2,3
1542292378,3,8
1542294547,5,2
1542296468,2,3
1542298666,5,5
1542300794,3,3
1542302903,6,7
1542305092,9,8
1542306992,9,5
1542308962,4,3
1542310866,5,6
1542312773,11,6
1542314687,1,2
1542316863,8,6
1542318781,7,7
1542320910,1,8
1542323096,2,6
1542325000,6,8
1542326928,4,4
1542328853,29,2
1542330781,4,4
1542332668,5,6
1542334599,5,5
1542336526,2,7
1542338448,5,2
1542340351,4,2
1542342271,4,10
1542344188,2,4
1542346368,2,7
1542348297,4,1
1542350187,3,6
1542352231,1,6
1542354050,3,4
1542355969,4,2
1542357778,1,1
1542359810,2,4
1542361712,4,4
1542363655,2,2
1542365561,1,3
1542367469,4,2
1542369403,1,3
1542371308,5,4
1542373294,1,5
1542375182,1,5
1542377072,0,3
1542378996,3,2
1542380947,5,6
1542382830,2,2
1542385139,5,7
1542387406,3,4
1542389303,5,4
1542391307,2,7
1542393174,0,12
1542395089,1,2
1542396986,1,7
1542398938,2,12
1542400851,0,1
1542402759,3,7
1542404708,1,5
1542406676,1,2
1542408512,2,3
1542410445,2,6
1542412389,1,4
1542414269,0,4
1542416198,0,30
1542418124,3,5
1542420118,6,2
1542421964,0,4
1542423889,2,3
1542425834,1,5
1542427717,4,1
1542429631,1,8
1542431553,3,2
1542433488,1,4
1542435400,1,2
1542437311,29,3
1542439237,1,2
1542441149,5,5
1542443084,1,1
1542445003,2,1
1542446906,0,4
1542448913,6,1
1542450770,3,2
1542452687,4,2
1542454603,0,3
1542456513,0,2
1542458437,5,3
1542460360,0,1
1542462282,3,1
1542464203,2,1
1542466112,7,4
1542468028,9,4
1542469949,2,3
1542471885,8,3
1542473949,3,3
1542475957,5,4
1542477912,7,2
1542479794,2,1
1542481733,5,2
1542483632,4,3
1542485551,6,2
1542487475,5,2
1542489648,6,4
1542491574,2,1
1542493499,2,1
1542495415,0,2
1542497580,4,2
1542499481,1,0
1542501383,7,0
1542503350,1,3
1542505242,5,1
1542507167,3,6
1542509084,2,0
1542511018,3,0
1542512924,1,2
1542514849,1,3
1542516769,3,0
1542518682,5,2
1542520918,2,3
1542523015,4,29
1542524955,2,1
1542526849,3,3
1542528767,2,2
1542530677,4,2
1542532613,0,1
1542534511,1,2
1542536439,5,5
1542538377,3,4
1542540266,5,1
1542542207,2,1
1542544105,4,3
1542546112,3,2
1542547972,1,1
1542549877,2,2
1542551784,3,5
1542553756,3,10
1542555644,2,3
1542557619,3,9
1542559483,0,4
1542561561,5,3
1542563540,1,8
1542565479,3,4
1542567710,12,3
1542569547,12,5
1542571467,7,8
1542573389,4,4
1542575331,7,6
1542577234,5,4
1542579399,7,1
1542581320,4,1
1542583225,3,3
1542585172,2,1
1542587123,7,7
1542588997,3,1
1542590904,2,2
1542592895,4,6
1542594762,0,1
1542596671,2,2
1542598613,3,2
1542600538,5,1
1542602439,4,3
1542604365,5,2
1542606270,2,4
1542608200,3,5
1542610122,1,2
1542612036,0,1
1542613965,7,4
1542615863,7,1
1542617779,5,3
1542619715,4,0
1542621701,1,5
1542623547,2,2
1542625478,3,3
1542627637,5,6
1542629578,2,5
1542631473,3,2
1542633421,4,2
1542635307,2,2
1542637251,4,2
1542639160,0,3
1542641079,0,1
1542642989,4,3
1542644927,0,2
1542646920,1,3
1542648927,0,3
1542650927,1,1
1542653088,0,5
1542655005,0,13
1542656910,0,12
1542658854,0,2
1542660749,2,7
1542662680,1,7
1542664613,3,5
1542666592,2,4
1542668580,2,4
1542670468,1,3
1542672316,1,3
1542674229,0,6
1542676149,2,1
1542678060,1,3
1542679950,0,3
1542681880,1,1
1542683797,0,2
1542685723,0,3
1542687641,1,5
1542689571,12,5
1542691469,1,3
1542693405,0,2
1542695309,1,3
1542697315,1,1
1542699198,1,2
1542701212,9,9
1542703293,19,6
1542705207,4,6
1542707078,18,0
1542708993,3,1
1542710901,13,2
1542712834,13,3
1542714759,11,7
1542716691,5,2
1542718594,1,3
1542720512,2,4
1542722489,1,2
1542724368,1,2
1542728186,5,1
1542730192,5,3
1542732030,11,0
1542733966,14,1
1542735873,12,0
1542738026,16,1
1542739972,16,0
1542741871,9,0
1542743806,13,0
1542745710,12,0
1542747696,15,2
1542749558,9,2
1542751496,10,3
1542753389,11,2
1542755365,15,2
1542757238,11,2
1542759176,14,0
1542761097,12,0
1542763022,15,3
1542764924,17,1
1542766830,6,0
1542768761,10,1
1542770926,10,0
1542772905,16,0
1542774773,7,2
1542776685,9,12
1542778623,11,1
1542780541,8,1
1542782449,9,1
1542784375,7,0
1542786397,7,0
1542788246,16,12
1542790167,6,15
1542792044,7,8
1542793960,4,10
1542795868,9,4
1542797804,8,11
1542799724,34,8
1542801709,9,9
1542803566,9,3
1542805494,11,1
1542807408,9,1
1542809333,31,3
1542811242,5,1
1542813151,14,1
1542815061,9,5
1542817008,5,6
1542819067,2,7
1542821052,2,16
1542822988,0,16
1542824892,1,14
1542826898,3,11
1542828760,2,10
1542830666,2,14
1542832588,3,12
1542834754,1,15
1542836715,1,9
1542838595,2,12
1542840521,3,11
1542842448,2,12
1542844405,3,13
1542846518,2,10
1542848509,5,13
1542850358,4,20
1542852266,3,8
1542854207,3,10
1542856137,3,8
1542858039,1,15
1542859946,1,7
1542861877,1,10
1542863798,2,12
1542865705,1,10
1542867614,2,13
1542869550,2,12
1542871716,3,8
1542873696,2,7
1542875579,1,12
1542877473,7,6
1542879415,3,7
1542881316,1,8
1542883226,3,11
1542885167,3,34
1542887056,3,9
1542889007,2,10
1542890897,3,14
1542893090,4,11
1542894992,2,34
1542896898,5,6
