DateTime,Entries,UniqueIPs
1541944987,79,79
1541946994,80,80
1541948951,81,81
1541950838,82,82
1541953025,81,81
1541955160,82,82
1541957315,81,81
1541959299,89,89
1541961181,94,94
1541963087,97,97
1541965013,99,99
1541966929,100,100
1541968840,101,101
1541970817,90,90
1541972930,93,93
1541974820,93,93
1541976984,90,90
1541979155,91,91
1541981068,90,90
1541983278,87,87
1541985177,88,88
1541987069,86,86
1541989004,84,84
1541993088,81,81
1541995012,80,80
1541996936,81,81
1541998908,79,79
1542000763,79,79
1542002683,78,78
1542004613,79,79
1542006519,76,76
1542008435,78,78
1542010410,77,77
1542012282,77,77
1542014206,74,74
1542016113,73,73
1542018042,72,72
1542019952,71,71
1542021893,69,69
1542023796,70,70
1542025715,79,79
1542027697,80,80
1542029564,74,74
1542031505,73,73
1542033397,76,76
1542035322,78,78
1542037237,76,76
1542039175,81,81
1542041100,79,79
1542042998,78,78
1542044931,75,75
1542046832,69,69
1542048767,67,67
1542050730,63,63
1542052600,61,61
1542055050,60,60
1542056942,59,59
1542058849,58,58
1542060794,57,57
1542062693,60,60
1542064873,61,61
1542066767,62,62
1542068691,66,66
1542070617,69,69
1542072564,69,69
1542074518,71,71
1542076372,73,73
1542078272,74,74
1542080240,76,76
1542082146,77,77
1542084055,78,78
1542087895,78,78
1542089838,83,83
1542091954,82,82
1542093885,86,86
1542096094,80,80
1542097962,82,82
1542099877,85,85
1542101798,86,86
1542105637,86,86
1542107568,89,89
1542109471,89,89
1542111418,86,86
1542113560,80,80
1542115492,81,81
1542117407,82,82
1542119316,79,79
1542121299,79,79
1542123152,83,83
1542125090,82,82
1542127252,80,80
1542129159,80,80
1542131076,80,80
1542133017,81,81
1542135142,85,85
1542137083,84,84
1542139013,83,83
1542140930,83,83
1542142892,88,88
1542144774,88,88
1542146681,89,89
1542148612,87,87
1542150552,88,88
1542152513,91,91
1542154388,89,89
1542156274,89,89
1542158209,85,85
1542160343,84,84
1542162298,82,82
1542164508,81,81
1542166367,81,81
1542168300,83,83
1542170189,83,83
1542174050,83,83
1542175966,79,79
1542177872,80,80
1542179801,77,77
1542181711,78,78
1542183902,77,77
1542185779,74,74
1542187986,73,73
1542189863,74,74
1542191809,75,75
1542193725,76,76
1542195874,77,77
1542197814,77,77
1542199706,78,78
1542201642,78,78
1542203559,79,79
1542205469,79,79
1542207395,80,80
