DateTime,AddedIPs,RemovedIPs
1542392072,8,8
1542393747,9,6
1542394595,3,0
1542395740,7,7
1542397346,6,13
1542399266,13,17
1542400464,4,12
1542402579,4,6
1542404558,3,5
1542405392,4,1
1542406542,7,5
1542408031,13,5
1542410080,27,8
1542411348,14,5
1542412590,6,2
1542413680,5,6
1542414520,5,1
1542415828,4,4
1542417044,3,4
1542418849,3,6
1542420869,8,6
1542422444,2,8
1542424236,5,5
1542424475,2,0
1542426159,4,6
1542427547,1,2
1542428918,5,0
1542430093,2,8
1542431714,4,6
1542432519,4,2
1542433360,5,8
1542434737,2,9
1542436530,5,2
1542436947,1,0
1542438883,4,5
1542439719,2,1
1542440550,2,11
1542441942,2,6
1542443321,6,1
1542444167,3,8
1542446080,6,4
1542447450,7,9
1542449669,10,7
1542451347,8,12
1542452194,6,3
1542453274,5,3
1542454836,8,5
1542456865,13,12
1542459328,14,12
1542460466,4,6
1542461312,1,1
1542462146,4,7
1542464065,7,8
1542464917,2,1
1542467682,15,35
1542469364,8,20
1542470203,4,1
1542471268,9,22
1542472110,7,3
1542472946,7,16
1542473792,5,2
1542474876,11,8
1542475711,5,2
1542476548,3,10
1542478473,12,7
1542480037,3,10
1542480993,10,2
1542482143,12,13
1542483653,13,15
1542485666,11,8
1542486897,6,8
1542489038,12,11
1542490251,8,8
1542492314,6,3
1542492878,0,3
1542494426,5,8
1542496482,10,1
1542497316,1,1
1542498976,10,7
1542500133,3,14
1542500917,4,1
1542501764,2,13
1542502602,2,5
1542503743,4,12
1542504510,1,0
1542505826,4,8
1542506991,8,8
1542508113,12,0
1542509795,14,9
1542510955,3,15
1542512449,8,12
1542513408,3,6
1542514555,7,6
1542515740,2,14
1542518079,4,18
1542519758,7,12
1542521141,7,10
1542522517,4,0
1542523827,6,11
1542525277,3,9
1542526548,4,14
1542528338,2,12
1542530550,13,14
1542532474,4,12
1542533314,2,0
1542534987,5,22
1542536132,5,10
1542536913,8,1
1542539354,28,26
1542541360,24,6
1542542738,8,9
1542544233,17,15
1542546000,14,13
1542547714,22,2
1542548565,14,14
1542550478,12,7
1542552146,12,8
1542552986,0,1
1542554070,3,3
1542555760,5,11
1542557678,8,19
1542558505,3,1
1542561047,25,17
1542562239,44,12
1542563635,71,3
1542564939,59,8
1542566143,61,12
1542566547,39,1
1542568476,142,12
1542569650,26,8
1542571171,96,8
1542572071,97,0
1542572918,173,1
1542574533,210,23
1542575673,226,8
1542577354,757,15
1542578737,328,21
1542580836,194,26
1542582866,40,21
1542584548,60,14
1542586481,17,6
1542588161,11,5
1542590069,292,4
1542591773,242,4
1542592956,99,3
1542594524,67,1
1542595371,21,1
1542596204,16,0
1542597348,2,4
1542598538,25,8
1542599700,22,5
1542600943,2,3
1542601728,21,1
1542603391,12,5
1542604477,2,9
1542606031,16,3
1542606990,4,2
1542608146,4,1
1542609651,10,8
1542611447,6,6
1542613360,12,9
1542614193,5,1
1542615289,2,6
1542616956,5,2
1542618646,10,9
1542620558,19,7
1542621389,7,3
1542622527,2,7
1542624159,16,7
1542626090,16,14
1542627756,15,9
1542628598,14,1
1542629734,20,5
1542630938,13,10
1542632137,11,3
1542633343,14,2
1542634121,5,0
1542635613,6,11
1542636873,8,4
1542638447,13,7
1542640191,11,14
1542641460,6,20
1542642946,13,6
1542644074,14,8
1542644914,6,1
1542646598,16,12
1542647665,9,9
1542648514,13,2
1542649346,12,10
1542651278,30,14
1542652112,7,0
1542653797,8,26
1542654868,2,15
1542656096,10,0
1542656548,2,0
1542657932,10,7
1542659730,10,8
1542660995,9,3
1542662143,6,5
1542662907,3,1
1542664598,12,11
1542665742,8,5
1542666509,3,0
1542667354,2,7
1542669045,3,12
1542670958,46,7
1542672338,36,10
1542673500,29,0
1542674786,27,7
1542676468,11,6
1542678162,7,19
1542680074,12,13
1542681757,33,11
1542683688,32,7
1542685071,19,8
1542686595,8,12
1542687268,9,1
1542688120,3,0
1542689731,4,4
1542690943,1,8
1542692549,1,6
1542693938,4,10
1542695317,6,0
1542696460,2,6
1542697747,2,7
1542698922,5,2
1542700591,5,13
1542701740,3,3
1542702925,4,3
1542704203,6,4
1542705343,7,2
1542706106,3,1
1542707428,6,14
1542708637,7,19
1542709717,7,1
1542712238,8,36
1542714149,7,22
1542714996,5,0
1542716079,6,15
1542718597,16,34
1542719685,13,12
1542721350,23,12
1542722753,18,10
1542723948,7,1
1542725796,9,4
1542726869,3,9
1542728555,13,7
1542730479,7,21
1542731319,6,0
1542732162,6,32
1542732985,2,0
1542734148,7,52
1542735336,10,73
1542736546,11,39
1542737742,13,13
1542739248,12,96
1542740186,9,96
1542741337,5,1
1542742954,15,210
1542744333,18,182
1542746135,9,398
1542747393,14,213
1542748544,7,432
1542749646,7,130
1542750984,3,0
1542752086,2,89
1542753752,5,38
1542754588,3,18
1542755741,10,17
1542757253,6,13
1542759273,5,4
1542760118,1,0
1542760946,0,814
1542762873,5,191
1542764548,8,92
1542765393,7,18
1542766483,10,30
1542767315,16,0
1542768989,14,42
1542770149,5,21
1542770907,4,0
1542771771,6,26
1542773680,6,14
1542774535,8,0
1542775986,13,18
1542777270,8,11
1542778108,3,0
1542778965,4,11
1542780872,3,10
1542782446,4,11
1542784253,4,6
1542785310,6,0
1542786529,4,10
1542787696,2,7
1542789346,2,20
1542790534,2,4
1542791676,1,10
1542792980,2,8
1542794131,4,2
1542795269,1,9
1542796117,2,0
1542797799,1,24
1542798890,1,10
1542799718,3,1
1542801399,6,29
1542802468,2,12
1542803318,3,0
1542804992,3,15
1542806084,4,8
1542807990,3,22
1542809136,1,5
1542810509,2,0
1542811835,2,10
1542813271,6,22
1542814454,4,14
1542815801,11,9
1542816877,4,11
1542818438,3,15
1542820242,4,24
1542821427,2,18
1542822637,2,5
1542823838,2,8
1542825616,7,4
1542826604,1,6
1542827686,3,10
1542828858,4,9
1542830741,2,13
1542832106,3,1
1542833793,4,5
1542834867,6,7
1542836135,2,2
1542837389,1,0
1542838478,8,4
1542839727,4,25
1542842102,11,53
1542842918,5,0
1542843749,3,43
1542844597,3,13
1542845744,3,13
1542846930,2,3
1542848137,3,0
1542849341,2,9
1542850948,5,23
1542852343,2,33
1542854558,0,22
1542855749,5,9
1542857464,12,11
1542858160,6,0
1542860068,8,2
1542861749,3,4
1542863679,2,5
1542865252,6,7
1542866746,5,5
1542868116,3,0
1542869800,16,8
1542870955,4,2
1542871712,1,0
1542873030,2,5
1542874496,2,8
1542875312,1,0
1542876171,1,8
1542877014,4,1
1542878079,1,7
1542879761,2,10
1542881143,3,9
1542882516,14,0
1542883362,8,2
1542884232,7,8
1542885340,11,6
1542886114,8,0
1542887730,4,11
1542888948,10,15
1542890558,8,14
1542892468,9,23
1542893648,9,12
1542894780,13,6
1542896068,6,6
1542896916,6,0
1542897756,3,4
1542899671,17,7
1542900515,4,0
1542901724,12,14
1542903280,6,6
1542904954,11,9
1542906866,6,16
1542907713,3,0
1542909328,13,19
1542910491,9,20
1542912155,19,9
1542912994,10,2
1542914144,8,15
1542915328,10,4
1542917739,16,14
1542919240,10,12
1542921275,11,5
1542922114,1,0
1542922950,5,2
1542924335,5,9
1542925714,1,0
1542927011,4,17
1542928546,5,4
1542929310,1,0
1542931009,9,3
1542932075,6,2
1542933634,8,5
1542934589,7,0
1542936511,26,11
1542937360,13,17
1542938746,15,16
1542940119,10,0
1542942328,15,27
1542943901,12,8
1542945232,7,0
1542946548,8,9
1542947314,3,0
1542948170,4,9
1542948991,6,3
1542950087,1,1
1542951261,2,1
1542952548,6,1
1542954534,9,4
1542956149,5,8
1542957351,3,4
1542958668,1,6
1542959789,0,5
1542960948,2,2
1542962172,9,2
1542963334,3,1
1542964493,2,2
1542965742,3,3
1542966987,3,0
1542968143,3,5
1542969303,3,5
1542970538,5,2
1542971682,4,0
1542973349,1,4
1542974710,8,5
1542975928,4,0
1542977819,3,4
1542978869,3,2
1542979718,4,0
1542980555,8,4
1542981933,36,5
1542984148,33,6
1542985848,35,16
1542987048,21,3
1542987748,11,0
1542988596,17,0
1542989740,21,4
1542990930,11,6
1542991362,6,0
1542993279,21,7
1542994947,16,6
1542995801,9,0
1542996936,4,2
1542998566,11,3
1543000466,6,5
1543001920,2,7
1543003534,6,3
1543004905,8,0
1543006593,5,6
1543007739,1,3
1543008506,1,0
1543009826,2,8
1543011036,2,5
1543012437,2,9
1543012954,1,0
1543013787,3,1
1543014940,1,5
1543016894,4,2
1543018493,1,4
1543019728,5,3
1543020927,5,1
1543022139,1,4
1543022910,3,0
1543023755,4,6
1543025150,3,11
1543026329,5,0
1543027580,1,10
1543029055,2,9
1543030119,5,0
1543031810,7,5
1543032887,3,3
1543034452,8,2
1543036468,3,8
1543037327,3,0
1543038628,6,4
1543039797,7,16
1543043447,11,6
1543044649,3,4
1543045828,3,0
1543047048,2,6
1543048123,3,0
1543049730,5,6
1543050870,2,3
1543052550,3,7
1543053400,2,5
1543054479,0,9
1543056643,2,11
1543058073,3,6
