DateTime,Entries,UniqueIPs
1542392072,9382,9382
1542393747,9385,9385
1542394595,9388,9388
1542395740,9388,9388
1542397346,9381,9381
1542399266,9377,9377
1542400464,9369,9369
1542402579,9367,9367
1542404558,9365,9365
1542405392,9368,9368
1542406542,9370,9370
1542408031,9378,9378
1542410080,9397,9397
1542411348,9406,9406
1542412590,9410,9410
1542413680,9409,9409
1542414520,9413,9413
1542415828,9413,9413
1542417044,9412,9412
1542418849,9409,9409
1542420869,9411,9411
1542422444,9405,9405
1542424236,9405,9405
1542424475,9407,9407
1542426159,9405,9405
1542427547,9404,9404
1542428918,9409,9409
1542430093,9403,9403
1542431714,9401,9401
1542432519,9403,9403
1542433360,9400,9400
1542434737,9393,9393
1542436530,9396,9396
1542436947,9397,9397
1542438883,9396,9396
1542439719,9397,9397
1542440550,9388,9388
1542441942,9384,9384
1542443321,9389,9389
1542444167,9384,9384
1542446080,9386,9386
1542447450,9384,9384
1542449669,9387,9387
1542451347,9383,9383
1542452194,9386,9386
1542453274,9388,9388
1542454836,9391,9391
1542456865,9392,9392
1542459328,9394,9394
1542460466,9392,9392
1542461312,9392,9392
1542462146,9389,9389
1542464065,9388,9388
1542464917,9389,9389
1542467682,9369,9369
1542469364,9357,9357
1542470203,9360,9360
1542471268,9347,9347
1542472110,9351,9351
1542472946,9342,9342
1542473792,9345,9345
1542474876,9348,9348
1542475711,9351,9351
1542476548,9344,9344
1542478473,9349,9349
1542480037,9342,9342
1542480993,9350,9350
1542482143,9349,9349
1542483653,9347,9347
1542485666,9350,9350
1542486897,9348,9348
1542489038,9349,9349
1542490251,9349,9349
1542492314,9352,9352
1542492878,9349,9349
1542494426,9346,9346
1542496482,9355,9355
1542497316,9355,9355
1542498976,9358,9358
1542500133,9347,9347
1542500917,9350,9350
1542501764,9339,9339
1542502602,9336,9336
1542503743,9328,9328
1542504510,9329,9329
1542505826,9325,9325
1542506991,9325,9325
1542508113,9337,9337
1542509795,9342,9342
1542510955,9330,9330
1542512449,9326,9326
1542513408,9323,9323
1542514555,9324,9324
1542515740,9312,9312
1542518079,9298,9298
1542519758,9293,9293
1542521141,9290,9290
1542522517,9294,9294
1542523827,9289,9289
1542525277,9283,9283
1542526548,9273,9273
1542528338,9263,9263
1542530550,9262,9262
1542532474,9254,9254
1542533314,9256,9256
1542534987,9239,9239
1542536132,9234,9234
1542536913,9241,9241
1542539354,9243,9243
1542541360,9261,9261
1542542738,9260,9260
1542544233,9262,9262
1542546000,9263,9263
1542547714,9283,9283
1542548565,9283,9283
1542550478,9288,9288
1542552146,9292,9292
1542552986,9291,9291
1542554070,9291,9291
1542555760,9285,9285
1542557678,9274,9274
1542558505,9276,9276
1542561047,9284,9284
1542562239,9316,9316
1542563635,9384,9384
1542564939,9435,9435
1542566143,9484,9484
1542566547,9522,9522
1542568476,9652,9652
1542569650,9670,9670
1542571171,9758,9758
1542572071,9855,9855
1542572918,10027,10027
1542574533,10214,10214
1542575673,10432,10432
1542577354,11174,11174
1542578737,11481,11481
1542580836,11649,11649
1542582866,11668,11668
