DateTime,AddedIPs,RemovedIPs
1541808872,1,0
1541812248,0,2
1541814057,0,1
1541816087,0,1
1541818612,0,9
1541819690,3,0
1541821358,1,0
1541826878,2,0
1541828569,1,1
1541829410,1,0
1541830555,6,1
1541831329,2,0
1541832157,0,1
1541833319,7,0
1541834919,1,0
1541836758,4,0
1541840199,2,0
1541842963,1,1
1541846137,1,0
1541848473,1,0
1541849692,1,1
1541853767,1,0
1541854594,1,0
1541855672,2,0
1541859281,0,1
1541864568,0,5
1541865404,1,0
1541866480,0,6
1541867329,3,0
1541868993,1,0
1541870074,1,2
1541873678,1,5
1541875363,0,1
1541876566,1,1
1541878114,1,0
1541879802,2,0
1541884250,0,2
1541885745,0,2
1541888146,0,3
1541888910,1,0
1541891684,5,5
1541897436,1,0
1541898659,0,1
1541899716,2,0
1541903757,0,1
1541906082,4,0
1541906934,1,0
1541908245,1,0
1541909457,1,0
1541917716,0,1
1541919338,0,1
1541920552,2,0
1541924088,3,0
1541924919,1,0
1541925766,0,2
1541927746,2,3
1541929362,0,1
1541936136,1,2
1541936554,1,0
1541937395,1,0
1541939996,1,0
1541943063,2,0
1541946937,1,0
1541949280,1,0
1541950857,0,13
1541954560,1,4
1541957858,0,3
1541959553,2,0
1541961942,3,0
1541963441,2,1
1541965984,0,1
1541967343,0,1
1541968851,1,0
1541970872,1,2
1541971715,2,0
1541973393,0,1
1541974555,0,2
1541976058,0,1
1541978093,1,0
1541990452,0,1
1541998543,0,2
1541999686,1,3
1542001255,0,9
1542003355,0,7
1542006892,3,3
1542007730,1,0
1542009775,1,2
1542011332,1,0
1542014091,5,1
1542017164,0,1
1542023798,0,1
1542024875,0,1
1542026571,0,1
1542033779,1,0
1542037620,2,4
1542038755,1,0
1542041447,8,3
1542042654,0,1
1542048155,0,1
1542050146,0,1
1542055365,3,0
1542057287,1,0
1542058954,0,3
1542060326,1,4
1542061836,0,2
1542063018,1,0
1542064255,3,0
1542066173,1,1
1542068996,2,2
1542070611,1,0
1542071743,0,3
1542072528,1,0
1542075291,1,0
1542076965,0,4
1542077811,0,1
1542078995,0,1
1542079719,1,0
1542082478,8,0
1542083327,8,0
1542084940,8,0
1542086079,3,0
1542087653,5,0
1542088602,2,0
1542089684,5,0
1542091378,4,1
1542092738,9,1
1542094297,1,1
1542095453,1,0
1542095821,5,0
1542098601,4,0
1542100484,1,0
1542101316,1,0
1542102561,3,0
1542105363,0,1
1542107756,2,1
1542108534,2,0
1542109859,5,0
1542112882,2,2
1542114874,10,0
1542116547,2,0
1542118476,1,1
1542120056,1,0
1542123754,3,9
1542125675,1,0
1542129044,5,2
1542131795,3,1
1542132936,2,2
1542135400,1,3
1542136551,1,0
1542137799,1,1
1542140147,0,1
1542141589,2,2
1542143686,1,0
1542145353,0,1
1542147344,0,1
1542148840,2,0
1542150885,1,0
1542152452,1,0
1542156170,1,0
1542159755,1,0
1542161160,0,2
1542165050,1,0
1542168900,1,0
1542170558,1,0
1542172489,3,0
1542176076,1,2
1542179440,5,0
1542183353,4,1
1542184131,9,0
1542184965,3,0
1542189348,2,0
1542191329,1,0
1542193020,2,0
1542195340,2,0
1542195756,1,0
1542197677,2,0
1542202993,2,0
1542203809,2,0
1542205716,3,0
1542207037,0,1
1542210164,2,14
1542212084,1,8
1542214100,2,0
1542215690,1,0
1542217354,1,0
1542219278,1,0
1542220553,3,0
1542221975,1,1
1542222873,1,0
1542224568,4,3
1542226481,0,2
1542227743,2,0
1542229840,0,1
1542231770,2,0
1542233751,0,2
1542236193,0,2
1542237297,0,1
1542238953,0,2
1542240876,0,1
1542243397,0,1
1542246158,1,3
1542248075,3,0
1542255278,1,0
1542256972,0,1
1542258903,2,1
1542261403,2,2
1542262495,0,6
1542263322,1,0
1542265479,1,3
1542266917,3,0
1542268551,0,2
1542269754,2,0
1542271535,1,0
1542272878,4,3
1542274550,1,0
1542278557,0,3
1542280490,0,3
1542283007,0,2
1542284150,0,3
1542285774,3,1
1542287446,0,1
1542288524,1,0
1542289669,0,1
1542291295,2,0
1542292957,2,0
1542294133,1,3
1542298484,5,31
1542300046,0,35
1542302071,0,1
1542305673,1,0
1542309277,1,0
1542310954,2,1
1542312348,1,1
1542317735,3,0
1542318160,1,0
1542319544,8,0
1542321763,1,1
1542323688,2,0
1542326752,4,0
1542329743,2,0
1542330890,1,0
1542335316,1,0
1542336169,1,18
1542337005,1,0
1542343259,1,0
1542345277,1,0
1542348653,1,1
1542353496,0,1
1542355008,2,11
1542357776,1,0
1542359683,0,2
1542361371,0,1
1542364960,1,1
1542366956,1,2
1542368159,1,1
1542372173,1,1
1542373007,1,0
1542374155,0,1
1542375756,0,1
1542379356,1,2
1542382964,0,15
1542384878,1,2
1542387401,1,0
