DateTime,AddedIPs,RemovedIPs
1542382971,2,7
1542384885,5,7
1542385720,4,0
1542387409,13,24
1542388568,7,7
1542389749,5,8
1542390955,9,1
1542392085,8,7
1542393761,8,5
1542394608,2,0
1542395753,6,7
1542397359,6,12
1542399280,12,16
1542400484,4,9
1542402593,0,5
1542404572,1,3
1542405406,0,1
1542406557,6,4
1542408049,13,5
1542410095,25,6
1542411364,13,5
1542412604,7,1
1542413695,4,6
1542414535,5,1
1542415843,1,2
1542417059,2,4
1542418880,1,6
1542419821,3,0
1542420884,3,5
1542422459,1,7
1542424252,5,3
1542424489,1,0
1542426173,3,5
1542427580,1,2
1542428934,4,0
1542430145,0,6
1542431743,3,3
1542432535,2,1
1542433374,2,6
1542434757,1,8
1542436545,4,1
1542436962,1,0
1542438902,3,3
1542439739,2,0
1542440565,1,11
1542441958,2,5
1542443336,3,1
1542444182,3,7
1542446094,4,4
1542447465,4,7
1542449684,7,5
1542451361,7,12
1542452208,5,2
1542453288,3,2
1542454850,7,5
1542456879,11,9
1542459342,12,11
1542460481,3,6
1542461326,1,0
1542462161,3,5
1542464078,6,6
1542464930,2,1
1542467698,13,34
1542469377,6,18
1542470216,4,1
1542471282,9,21
1542472124,6,3
1542472960,7,13
1542473805,3,2
1542474888,7,7
1542475725,5,1
1542476563,3,8
1542478486,10,7
1542480054,2,8
1542481006,10,2
1542482158,12,12
1542483691,10,14
1542485679,9,8
1542486933,5,5
1542489051,9,9
1542490265,5,6
1542492335,5,2
1542492892,0,2
1542494456,5,8
1542496498,6,0
1542497331,1,0
1542498992,8,5
1542500150,3,11
1542500931,1,0
1542501779,1,10
1542502618,2,4
1542503758,3,10
1542504526,1,0
1542505841,4,6
1542507022,7,7
1542508128,11,0
1542509811,12,9
1542511000,3,13
1542512473,5,11
1542513425,3,5
1542514585,4,6
1542516181,1,14
1542518095,4,15
1542519773,7,12
1542521157,6,8
1542522532,4,0
1542523848,6,10
1542525293,3,8
1542526585,3,14
1542528355,1,12
1542530565,11,12
1542532487,3,7
1542533327,2,0
1542535001,5,22
1542536148,4,9
1542536928,7,1
1542539379,27,24
1542541373,22,6
1542542753,8,8
1542544262,18,14
1542546620,18,12
1542547734,18,2
1542548580,12,14
1542550493,9,6
1542552160,12,6
1542552999,0,1
1542554096,1,2
1542555774,2,8
1542557691,4,18
1542558519,3,1
1542561061,5,16
1542562275,3,11
1542563650,5,2
1542564953,2,7
1542566157,2,10
1542566561,1,1
1542568490,7,11
1542569680,1,6
1542571185,3,5
1542572932,1,1
1542574552,8,9
1542575688,7,3
1542577368,6,15
1542578751,2,18
1542580851,1,21
1542582883,1,20
1542584563,0,11
1542586497,3,2
1542588175,0,5
1542590085,4,2
1542591859,7,3
1542593006,1,2
1542594540,2,0
1542595400,4,1
1542596218,1,0
1542597373,1,2
1542598561,0,6
1542599719,0,3
1542601807,4,4
1542603406,2,0
1542604493,1,4
1542606061,4,2
1542607005,2,1
1542608170,2,1
1542609676,2,6
1542611484,4,3
1542613375,6,3
1542615316,1,4
1542616972,2,0
1542618661,7,7
1542620573,9,7
1542621405,3,1
1542622564,0,5
1542624174,11,6
1542626105,10,10
1542627770,11,6
1542628613,12,0
1542629751,19,3
1542630957,12,8
1542632158,9,3
1542634136,12,3
1542635635,2,9
1542636896,7,4
1542638483,5,6
1542640220,10,13
1542641503,3,16
1542642961,5,5
1542644094,14,7
1542644929,3,1
1542646613,5,11
1542647680,8,8
1542648528,13,1
1542649360,7,9
1542651293,26,12
1542652127,3,0
1542653810,3,25
1542654887,0,14
1542656123,5,0
1542656562,2,0
1542657945,2,6
1542659744,6,6
1542661008,2,2
1542662922,8,5
1542664613,11,9
1542665758,5,4
1542666526,3,0
1542667367,0,7
1542669303,2,8
1542670973,45,4
1542672354,36,9
1542673518,29,0
1542674807,29,6
1542676483,8,6
1542678177,7,19
1542680089,12,13
1542681772,32,8
1542683704,32,6
1542685097,19,7
1542686639,8,11
1542687286,7,0
1542688135,3,0
1542689748,3,3
1542690960,1,8
1542692564,1,5
1542693954,3,9
1542695332,5,0
1542696477,2,3
1542697792,2,7
1542698939,4,1
1542700608,4,10
1542701765,2,2
1542703001,3,4
1542704220,5,3
1542705358,7,2
1542706121,2,0
1542707443,4,13
1542708658,6,18
1542709733,6,0
1542712254,6,33
1542714165,7,19
1542715011,4,0
1542716095,3,15
1542718612,16,34
1542719702,13,10
1542721365,24,9
1542722777,17,9
1542723963,7,1
1542725812,8,4
1542726886,2,6
1542728570,13,5
1542730494,7,9
1542731335,5,0
1542732176,6,7
1542733000,2,0
1542734188,7,6
1542735351,10,2
1542736560,11,0
1542737757,12,1
1542739264,14,7
1542740200,7,4
1542741356,5,1
1542742967,14,3
1542744348,18,5
1542746151,9,7
1542747407,13,2
1542748559,7,1
1542749664,7,2
1542750999,3,0
1542752101,3,6
1542753765,4,0
1542754602,4,0
1542755758,8,0
1542757267,6,2
1542758762,4,3
1542759288,1,0
1542760134,1,0
1542762888,5,3
1542764562,8,4
1542765407,6,3
1542766501,11,3
1542767331,15,0
1542769004,14,3
1542770176,6,0
1542770921,3,0
1542771787,7,4
1542773696,5,2
1542774602,8,2
1542776003,12,1
1542777287,8,0
1542778122,3,0
1542778980,4,0
1542780887,3,1
1542782462,4,2
1542784294,4,2
1542785326,6,0
1542786576,5,5
1542787725,1,4
1542789368,3,11
1542790553,2,2
1542791691,1,5
1542793016,2,1
1542794145,4,0
1542795284,1,3
1542796133,1,0
1542797849,1,15
1542798923,0,10
1542799734,3,1
1542801416,5,25
1542802484,2,10
1542803334,2,0
1542805009,4,9
1542806099,3,5
1542808005,3,12
1542809155,1,5
1542810526,2,0
1542811851,1,5
1542813286,6,11
1542814497,4,11
1542815816,11,3
1542816898,3,6
1542818456,3,13
1542820257,4,16
1542821461,0,15
1542822651,2,2
1542823853,2,2
1542825632,7,3
1542826617,2,1
1542827700,2,5
1542828881,4,7
1542830756,1,4
1542831296,1,0
1542832121,1,1
1542833808,3,5
1542834882,4,5
1542836149,1,2
1542837404,1,0
1542838493,8,2
1542839743,4,24
1542842152,10,50
1542842935,5,0
1542843765,3,43
1542844614,4,13
1542845761,2,11
1542846947,2,1
1542848153,3,0
1542849357,1,8
1542850964,4,21
1542852358,2,31
1542854573,0,22
1542855807,5,9
1542857515,12,9
1542858176,5,0
1542860084,8,1
1542861763,2,4
1542863697,2,3
1542865271,6,4
1542867282,5,3
1542868131,3,0
1542869818,3,6
1542871010,3,2
1542871730,1,0
1542873053,2,4
1542874512,2,6
1542876189,1,5
1542877031,2,0
1542878096,1,5
1542879776,2,7
1542881161,3,5
1542882531,13,0
1542883376,8,0
1542884246,8,5
1542885356,10,3
1542886130,8,0
1542887746,4,4
1542888970,9,12
1542890573,8,14
1542892484,8,23
1542893679,8,11
1542894820,12,6
1542896098,6,4
1542896932,5,0
1542897772,3,4
1542899686,16,7
1542900530,4,0
1542901771,11,14
1542903294,6,6
1542904971,11,8
1542906879,6,16
1542907729,4,0
1542909343,11,19
1542910521,9,20
1542912169,19,8
1542913006,10,2
1542914160,8,15
1542915342,9,4
1542917753,16,14
1542919255,10,12
1542921290,11,5
1542922129,1,0
1542922964,5,2
1542924354,5,8
1542925729,1,0
1542927026,4,16
1542928562,4,4
1542929326,1,0
1542931026,9,3
1542932090,5,2
1542933649,9,4
1542934604,6,0
1542936526,26,11
1542937374,13,17
1542938762,15,16
1542940135,11,0
1542942345,14,27
1542943959,13,7
1542945250,7,0
1542947331,9,8
1542948204,5,9
1542949008,5,3
1542950103,1,1
1542951314,3,1
1542952564,4,1
1542954601,8,12
1542956166,5,0
1542957377,2,4
1542958699,1,6
1542959806,0,5
1542960966,3,2
1542962216,8,2
1542963352,3,1
1542964520,2,2
1542965759,3,3
1542967003,3,0
1542968162,3,4
1542969332,3,4
1542971697,9,1
1542973364,1,3
1542974749,8,6
1542975945,4,0
1542977856,3,4
1542978884,3,2
1542979734,4,0
1542980571,9,4
1542981949,34,4
1542984165,34,6
1542985863,34,16
1542987102,21,2
1542987762,11,0
1542988611,16,0
1542989756,21,4
1542990944,11,4
1542991377,6,0
1542993293,21,7
1542994961,14,6
1542995817,9,0
1542996951,4,2
1542998130,8,3
1542998580,3,0
1543000479,6,4
1543001934,2,6
1543003553,6,1
1543004919,8,0
1543006608,5,4
1543008520,2,3
1543009840,2,8
1543011052,1,5
1543012454,2,9
1543012968,1,0
1543013802,3,1
1543015729,1,5
1543016933,3,2
1543018508,1,3
1543019743,4,1
1543020943,3,1
1543022925,4,4
1543023770,2,6
1543025165,3,10
1543026344,4,0
1543027596,1,11
1543029072,2,9
1543030134,4,0
1543031826,7,4
1543032909,3,3
1543034468,8,2
1543036486,3,8
1543037342,3,0
1543038642,6,3
1543039820,5,3
1543043462,9,6
1543044680,4,3
1543045844,2,0
1543047320,3,5
1543048139,2,0
