DateTime,AddedIPs,RemovedIPs
1542404556,181,45
1542405390,66,11
1542406539,62,57
1542408026,120,55
1542410077,155,57
1542411346,89,41
1542412587,78,10
1542413678,72,33
1542414512,62,1
1542415825,81,58
1542417041,73,31
1542418842,146,44
1542420867,168,54
1542422441,112,60
1542424233,138,64
1542424473,17,0
1542426157,117,41
1542427544,93,62
1542428916,88,1
1542430096,88,80
1542431708,87,58
1542432517,40,0
1542433357,37,97
1542434735,134,88
1542436527,113,72
1542436944,42,0
1542438881,129,98
1542439714,50,0
1542440547,45,76
1542441940,73,85
1542443318,76,2
1542444158,77,103
1542446070,146,69
1542447448,95,68
1542449663,91,82
1542451345,79,133
1542452192,36,17
1542453272,59,72
1542454834,54,92
1542456863,103,84
1542459325,139,98
1542460465,73,54
1542461305,53,0
1542462144,54,60
1542464062,132,61
1542464914,46,1
1542467680,100,151
1542469361,101,76
1542470200,26,0
1542471266,44,79
1542472103,22,1
1542472944,31,83
1542473790,32,28
1542474874,28,71
1542475708,49,6
1542476546,92,82
1542478469,122,117
1542480033,117,89
1542480990,415,26
1542482141,416,69
1542483648,590,79
1542485664,59,74
1542486894,63,78
1542489034,82,73
1542490249,49,76
1542492303,151,106
1542492875,38,1
1542494429,69,41
1542496479,84,71
1542497313,28,1
1542498973,43,96
1542500128,144,87
1542500914,24,3
1542501762,49,54
1542502594,55,18
1542503741,52,28
1542504502,23,0
1542505824,54,111
1542506988,44,46
1542508106,56,1
1542509793,92,70
1542510947,75,88
1542512446,65,101
1542513405,56,25
1542514546,57,55
1542515737,33,76
1542516162,17,0
1542518076,57,73
1542519756,71,62
1542521139,47,52
1542522514,51,2
1542523821,46,115
1542525275,63,34
1542526546,67,56
1542528335,45,83
1542530547,143,74
1542532471,207,95
1542533311,68,0
1542534984,299,90
1542536126,133,52
1542536911,124,2
1542539345,424,140
1542541357,379,73
1542542736,287,66
1542544229,216,51
1542545997,343,94
1542547711,293,13
1542548558,129,76
1542550476,318,78
1542552144,277,82
1542552983,205,38
1542554067,166,57
1542555758,393,81
1542557675,371,84
1542558503,147,2
1542561041,441,217
1542562235,269,84
1542563632,251,31
1542564936,313,90
1542566139,90,54
1542566545,13,2
1542568474,63,66
1542569647,68,73
1542571168,103,101
1542572069,52,7
1542572915,49,1
1542574531,59,95
1542575671,65,50
1542577352,76,46
1542578732,56,60
1542580834,70,46
1542582864,104,48
1542584545,45,54
1542586479,69,49
1542588158,67,74
1542590067,44,82
1542591763,46,96
1542592950,36,134
1542594517,59,4
1542595362,13,59
1542596196,30,2
1542597343,28,76
1542598530,47,98
1542599698,41,35
1542600938,39,55
1542601725,31,0
1542603388,101,69
1542604475,30,113
1542606034,35,100
1542606987,22,32
1542608139,20,62
1542609648,60,89
1542611439,80,69
1542613357,93,81
1542614190,51,2
1542615287,53,153
1542616954,71,82
1542618643,89,74
1542620555,59,48
1542621386,25,16
1542622520,51,44
1542624156,44,69
1542626082,72,84
