DateTime,AddedIPs,RemovedIPs
1542096877,0,1
1542097727,2,1
1542098592,0,2
1542102552,0,3
1542107755,1,2
1542109858,1,3
1542111275,1,0
1542112872,2,0
1542114873,0,1
1542116544,2,2
1542117394,0,1
1542120055,0,2
1542121171,0,1
1542123753,1,0
1542125674,0,1
1542129043,0,1
1542131794,1,1
1542135399,0,1
1542136550,1,0
1542139008,0,2
1542141588,1,0
1542143685,1,0
1542145352,2,0
1542146190,1,1
1542147343,0,1
1542148839,0,3
1542150884,4,2
1542152452,0,1
1542156169,0,1
1542158931,0,1
1542161160,1,0
1542165049,0,3
1542166295,2,0
1542166957,1,1
1542167812,1,0
1542170558,0,1
1542172489,1,1
1542173689,1,1
1542179439,3,2
1542181359,1,0
1542183352,0,2
1542185809,1,0
1542187717,0,1
1542190500,0,1
1542193019,1,0
1542194089,1,0
1542197676,1,1
1542198941,0,1
1542202983,0,1
1542205715,2,0
1542208256,2,0
1542210163,0,1
1542212083,4,0
1542212922,1,0
1542214091,2,0
1542215689,0,2
1542217353,1,0
1542220552,1,1
1542221975,0,1
1542222872,0,1
1542224567,1,1
1542226480,2,1
1542227742,1,3
1542229839,0,3
1542230922,1,0
1542231769,1,1
1542232606,1,0
1542233751,1,0
1542236192,0,3
1542238952,2,1
1542239803,1,0
1542243397,1,1
1542249648,1,0
1542253372,1,0
1542254198,1,0
1542259716,2,1
1542261402,1,1
1542263321,2,0
1542265477,0,3
1542269753,0,1
1542271532,0,1
1542272877,0,1
1542274549,1,0
1542275741,1,0
1542278556,2,1
1542280489,0,1
1542281329,1,1
1542283007,1,1
1542284149,1,0
1542285774,0,1
1542287445,0,1
1542288523,1,0
1542291294,1,0
1542292956,1,1
1542294123,0,1
1542298484,1,1
1542300045,0,1
1542302071,1,0
1542303761,1,0
1542305673,1,0
1542306518,1,0
1542308201,1,2
1542309277,1,0
1542312346,1,1
1542314560,2,0
1542315402,0,1
1542319543,1,0
1542321762,2,2
1542322609,2,0
1542326751,1,1
1542328252,1,0
1542329742,1,0
1542332150,0,1
1542335315,3,0
1542336169,0,1
1542337004,0,1
1542338086,0,1
1542341760,1,0
1542343258,0,1
1542348651,2,1
1542351860,0,1
1542353489,0,1
1542356157,0,1
1542364959,0,1
1542366956,0,1
1542368158,0,1
1542372172,2,0
1542373006,0,1
1542375755,0,2
1542377190,1,0
1542379355,1,0
1542381272,1,1
1542384878,1,1
1542385712,3,0
1542387401,3,2
1542389741,0,1
1542393753,0,1
1542394601,0,1
1542395746,0,1
1542399273,0,1
1542400476,1,1
1542402586,1,0
1542404565,0,1
1542405399,1,0
1542410087,1,1
1542415835,0,1
1542417051,1,0
1542418857,1,0
1542424244,0,2
1542426166,1,0
1542427556,1,0
1542428926,2,1
1542430116,0,1
1542436537,0,1
1542449677,1,2
1542451354,1,2
1542452201,0,1
1542454843,0,1
1542459335,2,1
1542460473,1,1
1542461319,1,0
1542464071,0,1
1542469370,0,2
1542471275,0,1
1542472954,0,2
1542474882,1,0
1542476555,1,1
1542480047,0,2
1542483670,0,1
1542485672,0,1
1542486913,2,0
1542490258,0,1
1542492328,0,2
1542494443,1,0
1542496489,1,0
1542497323,0,1
1542498983,0,1
1542500142,1,1
1542501771,1,0
1542503750,0,1
1542504518,1,0
1542505834,2,2
1542506999,1,1
1542508120,0,1
1542509803,1,0
1542510963,1,0
1542512457,1,1
1542518086,0,1
1542519765,0,1
1542523841,1,0
1542525285,1,0
1542526557,1,0
1542528346,0,1
1542530557,1,1
1542532480,0,1
1542536140,0,1
1542541366,1,0
1542542745,0,4
1542544249,0,1
1542546602,1,0
1542547727,0,1
1542548573,0,1
1542550485,0,1
1542552153,2,1
1542555768,1,3
1542557684,0,1
1542561054,1,0
1542562249,0,1
1542563642,1,0
1542564946,2,1
1542566149,1,1
1542568482,1,0
1542569672,2,0
1542571178,0,2
1542572078,1,0
1542574540,1,1
1542575681,0,2
1542577361,1,1
1542578744,1,1
1542580843,2,0
1542582874,1,0
1542584555,2,0
1542586489,0,1
1542588168,1,2
1542590077,0,2
1542595386,0,1
1542598552,0,1
1542600952,0,1
1542609658,0,1
1542611456,1,0
1542613367,1,0
1542616964,1,0
1542624165,1,0
1542626098,1,0
1542627762,2,0
1542629744,0,1
1542630948,1,1
1542632149,1,0
1542633351,1,0
1542634128,1,0
1542647672,0,1
1542648521,1,0
1542653803,1,0
1542654874,5,0
1542656103,0,1
1542657938,0,1
1542659736,2,0
1542661001,1,0
1542664605,1,1
1542665749,1,0
1542666519,2,0
1542667360,0,1
1542669053,1,3
1542670965,6,0
1542672345,0,1
1542673508,1,0
1542674799,0,2
1542676475,0,1
1542678170,1,0
1542680082,1,0
1542683696,0,2
1542700599,1,2
1542702986,0,1
1542704211,0,1
1542707435,1,0
1542708644,1,1
1542709724,0,1
1542712246,1,0
1542714158,2,2
1542716086,0,1
1542719693,1,0
1542722760,0,2
1542726877,1,0
1542728563,1,1
1542730486,2,2
1542732168,1,0
1542732992,2,0
1542734162,0,1
1542735343,1,1
1542739257,0,2
1542742961,1,1
1542744341,1,0
1542746143,2,2
1542747400,2,1
1542748550,0,1
1542749653,5,2
1542750991,0,2
1542752093,1,1
1542753758,3,1
1542754594,1,1
1542759280,0,2
1542760127,0,1
1542762880,1,0
1542765400,1,0
1542766491,1,2
1542767323,1,0
1542768996,1,0
1542770158,2,1
1542770913,0,1
1542771778,1,0
1542773688,0,1
1542777279,1,0
1542778973,1,0
1542780880,0,2
1542782454,0,1
1542784261,2,0
1542785318,1,1
1542786547,0,1
1542789355,1,1
1542793008,1,0
1542794138,0,1
1542797842,3,0
1542798897,2,0
1542799726,1,0
1542801408,3,0
1542803326,1,0
1542805000,1,1
1542806091,0,2
1542807996,0,1
1542809142,1,0
1542810517,1,0
1542811842,1,1
1542814486,0,2
1542825624,0,3
1542826610,1,0
1542827692,1,0
1542828872,1,1
1542830748,1,1
1542832113,1,1
1542833801,4,0
1542834875,1,1
1542836142,3,2
1542837396,4,1
1542838485,1,1
1542839735,1,3
1542842125,3,2
1542842926,0,1
1542843756,0,1
1542844605,3,0
1542845751,3,1
1542846938,2,1
1542848145,4,2
1542849348,3,1
1542850956,4,4
1542852350,2,2
1542854566,3,4
1542855774,0,1
1542858168,2,0
1542860076,5,3
1542861755,0,2
1542863688,0,1
1542865260,1,0
1542866759,2,0
1542868123,2,0
1542869809,2,3
1542870983,3,3
1542871722,1,2
1542873044,2,3
1542874505,2,2
1542875319,1,0
1542877022,1,2
1542879767,1,1
1542881150,1,2
1542882523,0,2
1542883369,4,1
1542884238,0,2
1542885347,2,0
1542886122,2,1
1542887737,0,2
1542888956,1,0
1542890565,5,2
1542892476,58,0
1542893669,2,8
1542894806,1,6
1542896079,0,5
1542896923,0,2
1542897764,2,4
1542899678,4,8
1542900522,0,2
1542901742,4,2
1542903287,5,6
1542904963,6,2
1542906873,2,9
1542907721,0,1
1542909335,3,2
1542910497,6,0
1542912161,3,13
1542913000,2,2
1542914152,2,2
1542915335,3,3
1542917745,5,7
1542919247,8,6
1542921282,1,6
1542922121,3,0
1542922956,0,3
1542924347,3,1
1542925722,0,2
1542927018,3,3
1542927393,2,1
1542928554,3,3
1542929318,0,2
1542931018,2,1
1542932082,3,1
1542933641,6,3
1542934596,3,3
1542936519,3,3
1542937366,0,3
1542938753,2,2
1542940127,6,4
1542942335,2,5
1542943924,3,4
1542945240,2,0
1542947322,2,4
1542948178,2,3
1542948998,5,2
1542950095,3,4
1542951289,7,4
1542952556,2,3
1542954541,4,2
1542956157,3,2
1542957359,1,3
1542958684,1,4
1542959798,1,2
1542960957,1,4
1542962201,0,2
1542963343,1,1
1542964503,1,2
1542965750,2,1
1542966994,6,3
1542968153,1,2
1542969324,1,1
1542970546,2,2
1542971690,0,4
1542973356,1,1
1542974734,2,0
1542975936,1,2
1542977843,1,2
1542978876,3,2
1542979726,3,3
1542980562,4,3
1542981941,6,6
1542984157,4,3
1542985855,5,3
1542987065,1,3
1542987755,1,1
1542988603,1,1
1542989747,4,0
1542990937,2,1
1542991370,1,0
1542993286,2,6
1542994953,6,2
1542995809,1,4
1542996943,1,0
1542998573,7,1
1543000472,2,3
1543001927,2,3
1543003546,4,5
1543004912,3,1
1543006601,3,5
1543007745,2,4
1543008513,1,4
1543009833,2,2
1543011043,1,2
1543011282,1,0
1543012445,2,4
1543012960,1,1
1543013794,1,0
1543014949,3,2
1543015721,3,1
1543016924,4,4
1543018501,1,4
1543019735,4,5
1543020935,1,4
1543022146,2,1
1543022917,1,2
1543023762,2,0
1543025157,2,2
1543026336,1,1
1543027588,4,2
1543029064,4,3
1543030126,4,0
1543031818,2,1
1543032901,4,2
1543034460,1,3
1543036476,1,1
1543037334,1,1
1543038635,2,3
1543043454,5,3
1543044659,2,0
1543045836,0,2
1543047056,3,1
1543048131,2,2
1543049738,5,5
1543050877,2,4
1543052557,3,4
1543053408,2,2
1543054486,2,7
1543055327,2,0
1543056651,2,1
1543058080,7,1
