DateTime,AddedIPs,RemovedIPs
1542405378,4,10
1542406525,8,20
1542408020,13,23
1542410064,15,17
1542411332,9,15
1542412582,11,6
1542413667,14,22
1542414497,6,0
1542415819,7,41
1542417030,12,12
1542418827,19,27
1542420860,18,30
1542422426,17,21
1542424222,16,25
1542426143,9,10
1542427529,10,15
1542428901,7,0
1542430078,6,30
1542431457,11,19
1542433352,12,26
1542434723,10,17
1542436521,13,23
1542436939,5,0
1542438864,7,32
1542439701,10,1
1542440541,10,28
1542441929,15,27
1542443306,10,0
1542444143,8,26
1542446063,24,18
1542447435,29,27
1542449657,33,39
1542451339,18,45
1542452181,3,9
1542453260,9,30
1542454820,17,29
1542456857,19,66
1542459319,119,52
1542460459,42,30
1542461300,30,2
1542462139,29,37
1542464057,57,54
1542464904,41,2
1542467666,90,67
1542469356,42,26
1542470191,26,1
1542471260,17,18
1542472098,14,0
1542472938,18,16
1542473780,9,5
1542474865,12,13
1542475699,17,0
1542476540,11,12
1542478460,29,15
1542480021,19,23
1542480979,23,7
1542482126,29,10
1542483638,44,13
1542485658,28,20
1542486888,20,14
1542489024,32,20
1542490241,10,16
1542492298,29,7
1542492861,6,3
1542494416,16,26
1542496473,24,32
1542497302,7,1
1542498967,15,32
1542500122,24,21
1542500902,8,0
1542501750,10,13
1542502580,13,14
1542503726,12,16
1542504497,3,3
1542505819,12,24
1542506977,6,14
1542508101,8,2
1542509783,16,31
1542510933,8,18
1542512435,13,16
1542513400,10,7
1542514531,13,14
1542515731,15,22
1542516149,1,0
1542518064,8,20
1542519751,27,27
1542521124,10,34
1542522502,9,0
1542523806,7,31
1542525263,16,13
1542526530,37,16
1542528321,35,16
1542530541,37,14
1542532462,27,18
1542533301,17,1
1542534979,29,59
1542536121,33,15
1542536900,6,0
1542539333,138,26
1542540983,12,24
1542541347,6,1
1542542731,17,18
1542544223,10,18
1542545991,24,17
1542547700,21,3
1542548545,7,19
1542550468,23,13
1542552139,20,21
1542552978,12,9
1542554060,16,12
1542555746,31,27
1542557665,21,17
1542558497,27,1
1542561028,27,31
1542562229,18,17
1542563627,30,8
1542564923,22,17
1542566126,21,15
1542566539,8,0
1542568468,34,20
1542569637,28,13
1542571163,15,13
1542572060,9,2
1542572901,16,1
1542574521,17,23
1542575659,22,8
1542576948,38,11
1542577342,1,0
1542578720,13,22
1542580820,23,16
1542582858,28,19
1542584540,24,23
1542586468,26,17
1542588148,23,19
1542590061,14,21
1542591747,12,9
1542592923,42,18
1542594503,18,2
1542595351,7,15
1542596183,7,2
1542597335,13,12
1542598523,12,16
1542599692,9,4
1542600922,11,9
1542601709,7,0
1542603382,39,13
1542604461,6,17
1542606018,11,5
1542606981,5,2
1542608123,7,10
1542609631,14,10
1542611423,15,24
1542613345,27,14
1542614184,16,2
1542615272,11,15
1542616944,14,24
1542618628,16,26
1542620541,14,43
1542621380,8,13
1542622513,23,15
1542624144,14,20
1542626068,23,10
1542627743,18,31
1542628585,10,29
1542629714,20,30
1542630915,10,23
1542632123,13,12
1542633322,8,24
1542634102,8,3
1542635594,11,22
1542636860,11,13
1542638432,14,23
1542640173,18,18
1542641445,14,13
1542642922,19,7
1542644061,13,10
1542644906,7,0
