DateTime,AddedIPs,RemovedIPs
1542025693,18,43
1542027615,13,0
1542029542,23,40
1542031475,5,19
1542033374,10,0
1542035295,10,12
1542039133,17,36
1542042972,10,39
1542044896,20,32
1542046808,15,0
1542048734,21,39
1542050688,17,22
1542052571,21,0
1542054491,25,20
1542056420,5,24
1542058338,18,10
1542060267,16,32
1542062189,12,0
1542064353,11,41
1542066273,13,24
1542068182,24,0
1542070092,9,26
1542072015,13,34
1542073935,13,25
1542075854,9,18
1542077785,13,25
1542079692,16,39
1542081616,19,0
1542083541,27,48
1542085463,10,0
1542087378,15,34
1542089297,17,0
1542091211,10,22
1542093135,16,25
1542095067,22,45
1542096984,17,0
1542098891,12,22
1542100816,11,21
1542102733,10,29
1542104674,1,26
1542106568,6,7
1542108489,14,13
1542110467,19,20
1542112356,19,22
1542114252,20,21
1542118338,18,43
1542120253,16,27
1542122180,18,19
1542124244,9,22
1542126264,23,18
1542128168,19,28
1542130095,27,20
1542132014,18,29
1542133951,15,14
1542135859,12,17
1542137772,25,11
1542139956,34,22
1542141874,12,30
1542143783,16,15
1542145696,21,20
1542147633,15,16
1542149563,21,12
1542151453,44,0
1542153447,32,16
1542155532,29,17
1542157467,10,16
1542159367,22,13
1542161305,10,19
1542163455,16,20
1542165376,21,18
1542167292,24,22
1542169208,12,21
1542171160,16,15
1542173052,18,20
1542174973,17,22
1542176890,24,19
1542178817,19,22
1542180750,19,0
1542182917,19,29
1542185057,27,21
1542186985,15,13
1542189132,16,28
1542191067,9,12
1542192987,24,15
1542194888,19,14
1542196850,17,17
1542198766,15,20
1542200653,18,14
1542202569,18,20
1542204493,18,0
1542206413,28,21
1542208341,16,14
1542210254,19,15
1542212434,28,20
1542214369,23,17
1542216507,27,18
1542218438,19,19
1542220337,21,22
1542222273,12,14
1542224192,15,13
1542226118,16,16
1542228029,12,14
1542229940,20,9
1542233785,21,34
1542235971,12,16
1542238356,13,30
1542240261,20,12
1542242198,12,12
1542244117,20,23
1542246027,17,25
1542247939,17,15
1542250112,21,22
1542252030,15,16
1542254192,9,16
1542256105,16,0
1542258038,17,14
1542259943,17,25
1542261877,9,13
1542263783,15,28
1542265718,16,24
1542269542,17,51
1542271713,19,19
1542273634,11,24
1542275546,18,13
1542277451,8,19
1542279414,20,6
1542281288,28,0
1542283271,16,20
1542285140,16,6
1542287073,16,14
1542288970,24,0
1542291151,16,19
1542293066,20,12
1542294983,14,0
1542296920,11,39
1542299230,26,18
1542301251,22,12
1542303398,11,19
1542305539,19,17
1542307491,17,5
1542309382,19,18
1542311298,23,9
1542313208,20,19
1542315148,9,8
1542317049,25,24
1542318983,19,25
1542320896,25,16
1542323074,24,13
1542324980,21,21
1542326911,19,15
1542328827,21,25
1542330756,18,14
1542334584,20,29
1542336512,28,18
1542338433,27,13
1542340336,16,19
1542342256,20,15
1542344174,18,18
1542346355,19,19
1542348280,17,18
1542350173,18,25
1542352182,14,27
1542354035,19,25
1542355942,24,32
1542358097,26,35
1542360271,18,24
1542362188,18,9
1542364112,12,7
1542366036,7,5
1542367954,18,21
1542369880,6,24
1542371787,7,8
1542373714,16,25
1542375612,16,18
1542377555,17,15
1542379473,16,22
1542381382,20,18
1542383534,17,13
1542385470,18,15
1542387389,17,22
1542389289,13,16
1542391241,19,23
1542393159,18,16
1542395072,21,16
1542396971,24,0
1542400836,21,46
1542402741,26,17
1542404677,20,19
1542406660,24,19
1542408495,21,19
1542410429,15,24
1542412841,20,17
1542414780,25,28
1542416681,15,16
1542418587,19,13
1542420517,16,29
1542422439,24,0
1542424343,15,19
1542426258,12,22
1542428199,14,18
1542430107,12,17
1542432029,22,22
1542433938,18,17
1542437795,20,37
1542439711,23,15
1542441619,17,14
1542443552,19,23
1542445464,16,20
1542447370,15,6
1542449306,12,6
1542451213,7,8
1542453159,25,19
1542455071,24,14
1542457003,14,22
1542458911,31,0
1542460832,24,14
1542462782,17,28
1542464670,23,19
1542466592,16,14
1542468492,22,13
1542470429,21,23
1542472348,17,24
1542474524,28,20
1542476440,27,20
1542478338,19,22
1542480273,22,22
1542482182,20,17
1542484116,24,25
1542486010,20,19
1542487958,18,24
1542490119,17,14
1542492053,17,29
1542493936,17,15
1542498012,28,50
1542499944,17,21
1542501872,15,23
1542503773,26,24
1542505692,16,0
1542507624,30,18
1542509531,24,22
1542511474,19,27
1542513370,17,26
1542515294,27,18
1542517232,22,10
1542519206,10,21
1542521075,19,12
1542522999,19,13
1542524917,26,20
1542526833,13,24
1542528754,17,17
1542530660,23,0
1542532598,12,23
1542534495,11,6
1542536424,9,0
1542538361,10,8
1542540251,29,0
1542542189,20,31
1542544090,22,0
1542546034,18,19
1542547957,30,11
1542549863,24,20
1542551770,29,16
1542553724,14,11
