DateTime,AddedIPs,RemovedIPs
1542025693,56,54
1542027615,51,48
1542029542,55,51
1542031475,38,55
1542033374,29,37
1542035295,32,29
1542039133,48,32
1542042972,41,47
1542044896,46,41
1542046808,41,51
1542048734,44,39
1542050688,45,47
1542052571,52,45
1542054491,53,49
1542056420,24,58
1542058338,43,24
1542060267,43,38
1542062189,50,44
1542064353,30,53
1542066273,38,26
1542068182,44,43
1542070092,48,44
1542072015,38,49
1542073935,46,36
1542075854,54,43
1542077785,40,53
1542079692,46,42
1542081616,49,49
1542083541,56,48
1542085463,39,43
1542087378,44,50
1542089297,35,43
1542091211,33,37
1542093135,42,32
1542095067,51,43
1542096984,37,42
1542098891,30,47
1542100816,28,28
1542102733,28,32
1542104674,14,29
1542106568,22,15
1542108489,44,23
1542110467,56,38
1542112356,40,50
1542114252,39,45
1542118338,46,43
1542120253,49,43
1542122180,33,52
1542124244,37,31
1542126264,51,36
1542128168,47,51
1542130095,56,47
1542132014,45,54
1542133951,43,46
1542135859,41,42
1542137772,55,41
1542139956,55,59
1542141874,42,53
1542143783,42,39
1542145696,44,43
1542147633,47,42
1542149563,45,54
1542151453,68,45
1542153447,61,69
1542155532,56,57
1542157467,38,54
1542159367,48,33
1542161305,36,52
1542163455,38,39
1542165376,44,39
1542167292,52,44
1542169208,40,51
1542171160,33,38
1542173052,46,34
1542174973,48,47
1542176890,50,51
1542178817,50,47
1542180750,45,46
1542182917,45,44
1542185057,54,49
1542186985,31,57
1542189132,47,28
1542191067,18,50
1542192987,57,18
1542194888,53,55
1542196850,53,55
1542198766,44,49
1542200653,45,43
1542202569,42,51
1542204493,41,36
1542206413,48,42
1542208341,31,47
1542210254,47,30
1542212434,48,47
1542214369,48,52
1542216507,58,49
1542218438,38,59
1542220337,44,35
1542222273,35,41
1542224192,39,35
1542226118,30,39
1542228029,35,30
1542229940,45,37
1542233785,44,47
1542235971,40,40
1542238356,47,42
1542240261,45,45
1542242198,35,51
1542244117,32,35
1542246027,51,31
1542247939,40,48
1542250112,46,40
1542252030,49,46
1542254192,38,49
1542256105,39,36
1542258038,44,42
1542259943,41,43
1542261877,36,40
1542263783,44,39
1542265718,41,45
1542269542,42,43
1542271713,48,38
1542273634,24,51
1542275546,44,22
1542277451,18,46
1542279414,39,18
1542281288,51,40
1542283271,40,52
1542285140,41,35
1542287073,42,39
1542288970,51,45
1542291151,43,50
1542293066,46,44
1542294983,44,48
1542296920,33,45
1542299230,59,34
1542301251,49,59
1542303398,42,43
1542305539,45,41
1542307491,43,47
1542309382,51,45
1542311298,55,53
1542313208,45,55
1542315148,43,43
1542317049,57,42
1542318983,42,57
1542320896,52,42
1542323074,53,50
1542324980,51,53
1542326911,44,53
1542328827,50,38
1542330756,43,53
1542334584,53,46
1542336512,56,53
1542338433,49,56
1542340336,44,49
1542342256,52,43
1542344174,43,50
1542346355,54,46
1542348280,34,47
1542350173,46,40
1542352182,32,42
1542354035,44,29
1542355942,41,50
