DateTime,AddedIPs,RemovedIPs
1542570733,31,2
1542571699,31,29
1542572652,42,22
1542573611,40,21
1542574586,38,64
1542575535,36,4
1542576493,37,41
1542577453,36,23
1542578443,37,51
1542579383,41,27
1542580375,44,24
1542581294,28,24
1542582275,28,4
1542583209,28,32
1542584171,27,31
1542585140,30,29
1542586095,37,28
1542587558,41,66
1542588501,32,38
1542589470,39,21
1542590410,40,31
1542591388,39,30
1542592338,30,30
1542593312,37,28
1542594253,38,32
1542595212,36,30
1542596192,29,34
1542597135,40,34
1542598109,51,26
1542599071,39,30
1542600020,42,25
1542600985,43,26
1542601943,48,21
1542602893,46,31
1542603884,43,31
1542604814,65,36
1542605790,54,27
1542606757,43,29
1542607723,51,39
1542608669,71,27
1542609613,50,38
1542610572,43,31
1542611560,60,36
1542612493,55,29
1542613465,49,26
1542614431,66,27
1542615378,69,34
1542616341,51,23
1542617298,46,41
1542618273,48,37
1542619217,56,25
1542620171,57,32
1542621132,45,32
1542622111,52,40
1542623094,57,42
1542624012,35,34
1542624972,55,24
1542625953,50,37
1542627155,42,28
1542628100,53,35
1542629057,54,35
1542630010,56,22
1542630995,46,38
1542631957,54,29
1542632896,43,25
1542633855,44,34
1542634834,41,27
1542635774,43,27
1542636748,38,29
1542637691,52,33
1542638662,47,33
1542639628,52,34
1542640584,57,31
1542641536,48,30
1542642499,37,29
1542643479,38,35
1542644432,46,37
1542645400,40,22
1542646354,41,27
1542647298,44,33
1542648254,39,33
1542649213,41,40
1542650189,44,31
1542651137,42,30
1542652089,56,34
1542653073,36,36
1542654024,41,34
1542654976,64,632
1542655941,46,47
1542656894,56,28
1542657861,44,54
1542658822,49,39
1542659775,43,32
1542660734,58,40
1542661723,34,49
1542662653,36,34
1542663615,40,51
1542664586,49,21
1542666048,62,84
1542666984,42,35
1542667949,42,38
1542668902,46,44
1542669866,44,29
1542670815,45,41
1542671772,47,32
1542672740,47,37
1542674206,72,37
1542675133,79,35
1542676101,78,27
1542677057,67,35
1542678021,83,41
1542678973,77,33
1542679938,83,30
1542680890,63,42
1542681860,72,43
1542682819,73,27
1542683786,75,35
1542684737,81,33
1542685704,61,31
1542686659,78,44
1542687623,49,32
1542688572,63,38
1542689557,55,34
1542690493,54,40
1542691457,74,32
1542692412,73,34
1542693394,65,35
1542694333,55,51
1542695293,77,37
1542696254,73,50
1542697234,87,40
1542698181,74,39
1542699187,67,46
1542700093,58,45
1542701173,71,45
1542702253,91,54
1542703279,67,40
1542704430,63,47
1542705616,69,31
1542706586,49,48
1542707530,60,32
1542708513,45,39
1542709497,51,32
1542710411,56,54
1542711384,44,32
1542712352,45,41
1542713290,53,40
1542714255,42,41
1542715253,50,53
1542716185,51,51
1542717154,41,34
1542718094,47,47
1542719063,31,49
1542720008,48,35
1542720987,51,42
1542721932,41,35
1542722911,31,41
1542723856,38,51
1542724826,57,33
1542725788,43,47
1542726734,42,35
1542727698,41,44
1542728667,48,43
1542729615,47,51
1542730584,52,38
1542731538,40,6
1542732520,63,49
1542733455,44,47
1542734410,33,32
1542735386,44,65
1542736575,58,52
1542737556,49,82
1542738491,38,4
1542739960,63,77
1542740898,32,44
1542741857,43,51
1542742811,32,42
1542743793,48,25
1542744735,35,35
1542745698,45,34
1542746655,40,43
1542747630,55,30
1542748583,38,45
1542749540,40,35
1542750496,31,36
1542751480,39,34
1542752428,32,40
1542753374,45,25
1542754332,58,35
1542755327,44,38
1542756271,47,49
1542757214,38,50
1542758683,50,91
1542759615,28,3
1542760587,53,104
1542761531,39,1
1542762496,27,64
1542763469,35,97
1542764414,29,4
1542765370,10,45
1542766356,9,86
1542767289,5,3
1542768319,14,93
1542769224,4,1
1542770429,8,73
1542771397,25,54
1542772331,93,50
1542773313,77,43
1542774275,58,50
1542775212,66,47
1542776186,55,44
1542777157,74,50
1542778090,46,48
1542779057,59,87
1542780042,57,63
1542780979,47,49
1542781938,41,61
1542782893,49,67
1542783873,58,63
1542784829,44,40
1542785771,59,63
1542786736,53,56
1542787712,58,56
1542788671,44,74
1542789613,79,73
1542790569,65,98
1542791537,39,4
1542792492,40,47
1542793469,56,38
1542794413,51,39
1542795372,59,54
1542796353,67,41
1542797291,62,49
1542798257,68,42
1542799216,43,50
1542800181,48,44
1542801142,69,39
1542802098,49,40
1542803062,49,41
1542804028,33,43
1542804974,63,32
1542805940,46,55
1542806893,29,44
1542807868,38,33
1542808820,41,57
1542809780,49,33
1542810743,52,36
1542811692,38,39
1542812673,66,29
1542813610,45,41
1542814572,44,37
1542815549,47,37
1542816537,42,40
1542817471,50,38
1542818417,46,27
1542819372,47,47
1542820343,49,28
1542821291,45,37
1542822272,47,44
1542823219,48,38
1542824187,49,43
1542825136,48,58
1542826095,36,34
1542827057,62,39
1542828027,50,44
1542828970,37,33
1542829933,46,33
1542830915,42,41
1542831871,37,41
1542832811,47,33
1542833772,50,22
1542834744,33,37
1542835695,35,47
1542836697,54,42
1542837622,91,51
1542838585,57,43
1542839537,30,51
1542840496,51,32
1542841456,98,79
1542842437,49,43
1542843382,39,51
1542844936,57,53
1542846037,62,112
1542846970,48,0
1542847938,62,103
1542848897,53,1
1542849860,55,80
1542850811,50,48
1542851789,42,5
1542852735,75,78
1542853697,61,52
1542854658,64,68
1542855648,58,56
