DateTime,Entries,UniqueIPs
1542570733,3066,3066
1542571699,3052,3052
1542572652,3048,3048
1542573611,3057,3057
1542574586,3038,3038
1542575535,3033,3033
1542576493,3049,3049
1542577453,3019,3019
1542578443,3019,3019
1542579383,3024,3024
1542580375,3029,3029
1542581294,3011,3011
1542582275,2996,2996
1542583209,2983,2983
1542584171,2976,2976
1542585140,2961,2961
1542586095,2933,2933
1542587558,2931,2931
1542588501,2890,2890
1542589470,2880,2880
1542590410,2861,2861
1542591388,2865,2865
1542592338,2866,2866
1542593312,2863,2863
1542594253,2849,2849
1542595212,2843,2843
1542596192,2832,2832
1542597135,2836,2836
1542598109,2829,2829
1542599071,2836,2836
1542600020,2815,2815
1542600985,2822,2822
1542601943,2831,2831
1542602893,2812,2812
1542603884,2818,2818
1542604814,2822,2822
1542605790,2841,2841
1542606757,2845,2845
1542607723,2849,2849
1542608669,2860,2860
1542609613,2879,2879
1542610572,2874,2874
1542611560,2877,2877
1542612493,2904,2904
1542613465,2886,2886
1542614431,2873,2873
1542615378,2876,2876
1542616341,2877,2877
1542617298,2961,2961
1542618273,2973,2973
1542619217,2968,2968
1542620171,2975,2975
1542621132,2985,2985
1542622111,3002,3002
1542623094,3009,3009
1542624012,3000,3000
1542624972,2987,2987
1542625953,2988,2988
1542627155,3021,3021
1542628100,3029,3029
1542629057,3011,3011
1542630010,3033,3033
1542630995,3042,3042
1542631957,3041,3041
1542632896,3048,3048
1542633855,3043,3043
1542634834,3050,3050
1542635774,3049,3049
1542636748,3051,3051
1542637691,3055,3055
1542638662,3059,3059
1542639628,3060,3060
1542640584,3072,3072
1542641536,3082,3082
1542642499,3089,3089
1542643479,3087,3087
1542644432,3085,3085
1542645400,3077,3077
1542646354,3102,3102
1542647298,3096,3096
1542648254,3090,3090
1542649213,3113,3113
1542650189,3106,3106
1542651137,3128,3128
1542652089,3125,3125
1542653073,3126,3126
1542654024,3129,3129
1542654976,3128,3128
1542655941,3129,3129
1542656894,3138,3138
1542657861,3138,3138
1542658822,3153,3153
1542659775,3160,3160
1542660734,3169,3169
1542661723,3164,3164
1542662653,3169,3169
1542663615,3181,3181
1542664586,3188,3188
1542666048,3184,3184
1542666984,3176,3176
1542667949,3181,3181
1542668902,3178,3178
1542669866,3165,3165
1542670815,3178,3178
1542671772,3177,3177
1542672740,3165,3165
1542674206,3145,3145
1542675133,3155,3155
1542676101,3137,3137
1542677057,3158,3158
1542678021,3168,3168
1542678973,3120,3120
1542679938,3157,3157
1542680890,3140,3140
1542681860,3128,3128
1542682819,3139,3139
1542683786,3133,3133
1542684737,3141,3141
1542685704,3131,3131
1542686659,3135,3135
1542687623,3133,3133
1542688572,3130,3130
1542689557,3122,3122
1542690493,3118,3118
1542691457,3103,3103
1542692412,3090,3090
1542693394,3085,3085
1542694333,3067,3067
1542695293,3071,3071
1542696254,3076,3076
1542697234,3013,3013
1542698181,3007,3007
1542699187,3075,3075
1542700093,3084,3084
1542701173,3067,3067
1542702253,3081,3081
1542703279,3068,3068
1542704430,3077,3077
1542705616,3092,3092
1542706586,3097,3097
1542707530,3100,3100
1542708513,3102,3102
1542709497,3089,3089
1542710411,3114,3114
1542711384,3102,3102
1542712352,3111,3111
1542713290,3120,3120
1542714255,3107,3107
1542715253,3101,3101
1542716185,3104,3104
1542717154,3122,3122
1542718094,3118,3118
1542719063,3101,3101
1542720008,3120,3120
1542720987,3116,3116
1542721932,3111,3111
1542722911,3103,3103
1542723856,3105,3105
1542724826,3095,3095
1542725788,3116,3116
1542726734,3127,3127
1542727698,3112,3112
1542728667,3125,3125
1542729615,3128,3128
1542730584,3144,3144
1542731538,3154,3154
1542732520,3167,3167
1542733455,3165,3165
1542734410,3153,3153
1542735386,3158,3158
1542736575,3157,3157
1542737556,3175,3175
1542738491,3157,3157
1542739960,3179,3179
1542740898,3172,3172
1542741857,3160,3160
1542742811,3164,3164
1542743793,3154,3154
1542744735,3159,3159
1542745698,3171,3171
1542746655,3152,3152
1542747630,3153,3153
1542748583,3145,3145
1542749540,3148,3148
1542750496,3148,3148
1542751480,3138,3138
1542752428,3142,3142
1542753374,3140,3140
1542754332,3139,3139
1542755327,3142,3142
1542756271,3150,3150
1542757214,3138,3138
1542758683,3141,3141
1542759615,3113,3113
1542760587,3122,3122
1542761531,3134,3134
1542762496,3122,3122
1542763469,3077,3077
1542764414,3080,3080
1542765370,3071,3071
1542766356,3058,3058
1542767289,3045,3045
1542768319,3022,3022
1542769224,3014,3014
1542770429,2993,2993
1542771397,2973,2973
1542772331,2936,2936
1542773313,2974,2974
1542774275,2967,2967
1542775212,2993,2993
1542776186,3011,3011
1542777157,3032,3032
1542778090,3044,3044
1542779057,3004,3004
1542780042,3006,3006
1542780979,3006,3006
1542781938,2990,2990
1542782893,2972,2972
1542783873,2977,2977
1542784829,2955,2955
1542785771,2951,2951
1542786736,2955,2955
1542787712,2967,2967
1542788671,2964,2964
1542789613,2958,2958
1542790569,2971,2971
1542791537,2972,2972
1542792492,2966,2966
1542793469,2983,2983
1542794413,2979,2979
1542795372,2984,2984
1542796353,3001,3001
1542797291,2975,2975
1542798257,3017,3017
1542799216,3036,3036
1542800181,3020,3020
1542801142,3046,3046
1542802098,3049,3049
1542803062,3043,3043
1542804028,3037,3037
1542804974,3044,3044
1542805940,3050,3050
1542806893,3040,3040
1542807868,3053,3053
1542808820,3056,3056
1542809780,3075,3075
1542810743,3050,3050
1542811692,3057,3057
1542812673,3058,3058
1542813610,3054,3054
1542814572,3064,3064
1542815549,3077,3077
1542816537,3070,3070
1542817471,3095,3095
1542818417,3072,3072
1542819372,3093,3093
1542820343,3065,3065
1542821291,3098,3098
1542822272,3088,3088
1542823219,3079,3079
1542824187,3082,3082
1542825136,3101,3101
1542826095,3092,3092
1542827057,3119,3119
1542828027,3102,3102
1542828970,3104,3104
1542829933,3085,3085
1542830915,3094,3094
1542831871,3121,3121
1542832811,3096,3096
1542833772,3111,3111
1542834744,3096,3096
1542835695,3109,3109
1542836697,3102,3102
1542837622,3116,3116
1542838585,3105,3105
1542839537,3101,3101
1542840496,3112,3112
1542841456,3109,3109
1542842437,3121,3121
1542843382,3116,3116
1542844936,3110,3110
1542846037,3112,3112
1542846970,3102,3102
1542847938,3123,3123
1542848897,3126,3126
1542849860,3118,3118
1542850811,3126,3126
1542851789,3135,3135
1542852735,3176,3176
1542853697,3178,3178
1542854658,3225,3225
1542855648,3251,3251
1542856582,3257,3257
1542857541,3294,3294
1542858493,3286,3286
1542859476,3237,3237
1542860432,3234,3234
1542861387,3228,3228
1542862361,3215,3215
1542863302,3214,3214
1542864253,3200,3200
1542865321,3214,3214
1542866411,3214,3214
1542867370,3210,3210
1542868342,3224,3224
1542869291,3238,3238
1542870274,3250,3250
1542871248,3248,3248
1542872666,3251,3251
1542873621,3251,3251
1542874576,3256,3256
1542875558,3258,3258
1542876492,3260,3260
1542877463,3252,3252
1542878426,3254,3254
1542879396,3255,3255
1542880354,3283,3283
1542881297,3277,3277
1542882252,3286,3286
1542883215,3272,3272
1542884187,3285,3285
1542885156,3262,3262
1542886340,3258,3258
1542887292,3252,3252
1542888271,3255,3255
1542889221,3240,3240
1542890171,3238,3238
1542891147,3232,3232
1542892093,3216,3216
1542893068,3227,3227
1542894011,3232,3232
1542894971,3238,3238
1542895938,3231,3231
1542896888,3227,3227
1542897873,3232,3232
1542898823,3237,3237
1542900057,3212,3212
1542900971,3197,3197
1542901931,3177,3177
1542902962,3193,3193
1542903916,3182,3182
1542905139,3172,3172
1542906255,3186,3186
1542907219,3178,3178
1542908193,3161,3161
1542909132,3165,3165
1542910112,3168,3168
1542911211,3159,3159
1542912255,3164,3164
1542913225,3168,3168
1542914184,3162,3162
1542915137,3161,3161
1542916094,3169,3169
1542917073,3150,3150
1542918010,3163,3163
1542918971,3147,3147
1542919953,3147,3147
1542920897,3128,3128
1542921872,3127,3127
1542922829,3127,3127
1542923769,3115,3115
1542924755,3119,3119
1542925694,3119,3119
1542926658,3130,3130
1542927616,3120,3120
1542928591,3116,3116
1542929575,3128,3128
1542930493,3114,3114
1542931457,3126,3126
1542932414,3105,3105
1542933386,3097,3097
1542934353,3068,3068
1542935293,3058,3058
1542936253,3062,3062
1542937213,3065,3065
1542938192,3049,3049
1542939135,3067,3067
1542940090,3070,3070
1542941070,3083,3083
1542942012,3075,3075
1542943233,3089,3089
1542944191,3072,3072
1542945135,3075,3075
1542946100,3062,3062
1542947057,3074,3074
1542948011,3090,3090
1542948983,3086,3086
1542949933,3070,3070
1542950888,3097,3097
1542951870,3089,3089
1542952839,3099,3099
1542953782,3100,3100
1542954743,3091,3091
1542955694,3097,3097
1542956673,3119,3119
1542957633,3133,3133
1542958571,3119,3119
1542959535,3158,3158
1542960513,3164,3164
1542961468,3156,3156
1542962410,3154,3154
1542963371,3162,3162
1542964352,3168,3168
1542965293,3153,3153
1542966253,3163,3163
1542967238,3140,3140
1542968175,3142,3142
1542969143,3148,3148
1542970095,3139,3139
1542971059,3151,3151
1542972017,3145,3145
1542972984,3149,3149
1542973931,3151,3151
1542974896,3152,3152
1542975877,3159,3159
1542976823,3157,3157
1542977789,3160,3160
1542978734,3161,3161
1542979695,3161,3161
1542980663,3174,3174
1542981633,3170,3170
1542982588,3178,3178
1542983782,3189,3189
1542984734,3194,3194
1542985714,3196,3196
1542986692,3208,3208
1542987612,3187,3187
1542988573,3188,3188
1542989580,3188,3188
1542990498,3181,3181
1542991457,3178,3178
1542992433,3176,3176
1542993380,3193,3193
1542994357,3182,3182
1542995297,3203,3203
1542996259,3180,3180
1542997208,3180,3180
1542998175,3166,3166
1542999136,3169,3169
1543000114,3170,3170
1543001052,3170,3170
1543002015,3180,3180
1543002978,3189,3189
1543003946,3198,3198
1543004891,3207,3207
1543005872,3219,3219
1543006834,3226,3226
1543007787,3217,3217
1543008739,3233,3233
1543009695,3246,3246
1543010659,3235,3235
1543011623,3230,3230
1543012709,3226,3226
1543013860,3233,3233
1543014994,3200,3200
1543015963,3211,3211
1543017142,3211,3211
1543018109,3206,3206
1543019171,3180,3180
1543020254,3176,3176
1543021223,3159,3159
1543022185,3151,3151
1543023141,3152,3152
1543024098,3156,3156
1543025058,3166,3166
1543026020,3180,3180
1543026981,3171,3171
1543027937,3144,3144
1543028900,3139,3139
1543029856,3148,3148
1543030814,3132,3132
1543031772,3123,3123
1543032743,3131,3131
1543033710,3132,3132
1543034653,3115,3115
1543035623,3151,3151
1543036585,3138,3138
1543037540,3128,3128
1543038491,3134,3134
1543039475,3135,3135
1543040413,3148,3148
1543041373,3150,3150
1543042331,3116,3116
1543043311,3140,3140
1543044256,3123,3123
1543045213,3113,3113
1543046186,3102,3102
1543047160,3120,3120
1543048094,3101,3101
1543049057,3140,3140
1543050017,3140,3140
1543050990,3121,3121
1543051958,3116,3116
1543052895,3126,3126
1543053858,3147,3147
1543054814,3142,3142
1543055796,3129,3129
1543056884,3130,3130
1543057942,3116,3116
