DateTime,Entries,UniqueIPs
1542570731,3787,3828
1542571697,3772,3811
1542572651,3755,3792
1542573609,3739,3775
1542574584,3723,3759
1542575532,3702,3736
1542576490,3709,3743
1542577450,3697,3730
1542578441,3682,3715
1542579381,3608,3635
1542580373,3567,3592
1542581292,3576,3601
1542582273,3524,3546
1542583208,3462,3482
1542584170,3421,3441
1542585138,3380,3398
1542586093,3346,3363
1542587556,3255,3271
1542588499,3202,3216
1542589468,3164,3176
1542590409,3125,3136
1542591387,3104,3115
1542592336,3067,3073
1542593310,3046,3052
1542594251,3025,3030
1542595210,2990,2995
1542596190,2972,2977
1542597133,2947,2952
1542598108,2923,2927
1542599069,2907,2910
1542600018,2876,2878
1542600984,2870,2872
1542601941,2851,2853
1542602892,2837,2839
1542603882,2812,2814
1542604812,2816,2818
1542605787,2800,2802
1542606755,2801,2803
1542607721,2796,2798
1542608667,2808,2810
1542609610,2826,2828
1542610570,2806,2808
1542611559,2804,2808
1542612491,2797,2801
1542613463,2783,2787
1542614429,2777,2781
1542615377,2803,2808
1542616340,2794,2799
1542617296,2788,2793
1542618271,2769,2774
1542619215,2778,2783
1542620170,2770,2775
1542621130,2754,2759
1542622110,2744,2749
1542623092,2743,2748
1542624010,2728,2733
1542624970,2731,2736
1542625950,2724,2729
1542627153,2689,2694
1542628097,2686,2692
1542629056,2696,2702
1542630008,2695,2701
1542630994,2668,2675
1542631955,2657,2664
1542632894,2676,2683
1542633853,2646,2653
1542634832,2635,2642
1542635772,2648,2656
1542636745,2631,2639
1542637689,2618,2626
1542638659,2639,2647
1542639627,2600,2610
1542640583,2615,2625
1542641535,2639,2649
1542642497,2634,2644
1542643476,2619,2629
1542644430,2617,2627
1542645399,2614,2625
1542646353,2610,2621
1542647296,2624,2636
1542648252,2622,2634
1542649212,2596,2608
1542650188,2593,2606
1542651135,2612,2625
1542652088,2605,2617
1542653072,2608,2621
1542654023,2601,2615
1542654973,2594,2609
1542655939,2581,2596
1542656892,2568,2583
