DateTime,AddedIPs,RemovedIPs
1542568807,12,12
1542569785,16,22
1542570731,5,0
1542571697,10,12
1542572651,10,10
1542573609,10,8
1542574584,8,25
1542575532,15,0
1542576490,7,17
1542577450,10,2
1542578441,8,24
1542579381,16,8
1542580373,13,12
1542581292,9,16
1542582273,4,0
1542583208,10,15
1542584170,8,20
1542585138,10,16
1542586093,11,22
1542587556,15,36
1542588499,8,32
1542589468,13,21
1542590409,17,22
1542591387,20,28
1542592336,12,15
1542593310,13,18
1542594251,16,9
1542595210,15,13
1542596190,8,22
1542597133,16,16
1542598108,14,18
1542599069,14,19
1542600018,13,15
1542600984,15,18
1542601941,22,5
1542602892,15,15
1542603882,9,14
1542604812,42,10
1542605787,25,14
1542606755,18,17
1542607721,12,16
1542608667,34,19
1542609610,18,15
1542610570,14,15
1542611559,33,9
1542612491,21,20
1542613463,16,14
1542614429,20,12
1542615377,60,18
1542616340,27,14
1542617296,22,19
1542618271,19,12
1542619215,33,8
1542620170,25,13
1542621130,21,18
1542622110,19,11
1542623092,15,13
1542624010,14,10
1542624970,28,7
1542625950,23,11
1542627153,21,16
1542628097,14,8
1542629056,10,11
1542630008,23,12
1542630994,22,11
1542631955,19,11
1542632894,19,8
1542633853,9,19
1542634832,14,15
1542635772,14,14
1542636745,13,11
1542637689,9,9
1542638659,21,15
1542639627,13,27
1542640583,31,9
1542641535,24,12
1542642497,19,18
1542643476,9,25
1542644430,18,13
1542645399,18,9
1542646353,11,19
1542647296,15,23
1542648252,11,20
1542649212,16,16
1542650188,15,20
1542651135,19,13
1542652088,17,17
1542653072,14,19
1542654023,8,16
1542654973,16,15
1542655939,10,13
1542656892,14,16
1542657859,8,6
1542658820,25,14
1542659774,16,18
1542660732,20,18
1542661721,14,11
1542662651,10,8
1542663613,15,15
1542664585,22,23
1542666047,19,34
1542666982,12,7
1542667947,14,12
1542668899,13,19
1542669864,4,19
1542670813,18,23
1542671770,16,28
1542672738,17,37
1542674204,20,32
1542675130,26,30
1542676099,14,22
1542677054,17,13
1542678019,27,21
1542678971,23,24
1542679935,32,10
1542680887,13,17
1542681858,20,23
1542682816,17,17
1542683784,24,22
1542684735,12,12
1542685702,21,7
1542686657,22,11
1542687622,14,18
1542688570,6,18
1542689554,13,18
1542690491,13,14
1542691455,16,11
1542692411,14,8
1542693392,26,16
1542694332,12,20
1542695290,24,3
1542696251,27,34
