DateTime,AddedIPs,RemovedIPs
1542570731,5,27
1542571697,10,19
1542572651,10,16
1542573609,10,11
1542574584,8,20
1542575532,15,16
1542576490,7,13
1542577450,10,18
1542578441,8,12
1542579381,16,13
1542580373,13,13
1542581292,9,20
1542582273,4,17
1542583208,10,24
1542584170,8,20
1542585138,10,24
1542586093,11,28
1542587556,15,31
1542588499,8,43
1542589468,13,27
1542590409,17,24
1542591387,20,22
1542592336,12,14
1542593310,13,16
1542594251,16,27
1542595210,15,19
1542596190,8,26
1542597133,16,13
1542598108,14,16
1542599069,14,13
1542600018,13,27
1542600984,15,10
1542601941,22,17
1542602892,15,22
1542603882,9,9
1542604812,42,21
1542605787,25,11
1542606755,18,10
1542607721,12,13
1542608667,34,19
1542609610,18,8
1542610570,14,17
1542611559,33,17
1542612491,21,10
1542613463,16,18
1542614429,20,16
1542615377,60,20
1542616340,27,13
1542617296,22,17
1542618271,19,9
1542619215,33,25
1542620170,25,17
1542621130,21,16
1542622110,19,12
1542623092,15,7
1542624010,14,14
1542624970,28,24
1542625950,23,20
1542627153,21,13
1542628097,14,10
1542629056,10,14
1542630008,23,11
1542630994,22,14
1542631955,19,14
1542632894,19,15
1542633853,9,12
1542634832,14,15
1542635772,14,10
1542636745,13,9
1542637689,9,6
1542638659,21,21
1542639627,13,9
1542640583,31,18
1542641535,24,18
1542642497,19,11
1542643476,9,14
1542644430,18,12
1542645399,18,11
1542646353,11,8
1542647296,15,18
1542648252,11,10
1542649212,16,5
1542650188,15,14
1542651135,19,8
1542652088,17,11
1542653072,14,15
1542654023,8,12
1542654973,16,11
1542655939,10,7
1542656892,14,7
1542657859,8,12
1542658820,25,6
1542659774,16,14
1542660732,20,6
1542661721,14,12
1542662651,10,6
1542663613,15,8
1542664585,22,14
1542666047,19,25
1542666982,12,13
1542667947,14,13
1542668899,13,18
1542669864,4,8
1542670813,18,16
1542671770,16,16
1542672738,17,18
1542674204,20,43
1542675130,26,21
1542676099,14,20
1542677054,17,9
1542678019,27,21
1542678971,23,41
1542679935,32,21
1542680887,13,24
1542681858,20,22
1542682816,17,20
1542683784,24,25
1542684735,12,17
1542685702,21,22
1542686657,22,15
