DateTime,Entries,UniqueIPs
1542570731,1104,1104
1542571697,1095,1095
1542572651,1089,1089
1542573609,1088,1088
1542574584,1076,1076
1542575532,1075,1075
1542576490,1069,1069
1542577450,1061,1061
1542578441,1057,1057
1542579381,1060,1060
1542580373,1060,1060
1542581292,1049,1049
1542582273,1036,1036
1542583208,1022,1022
1542584170,1010,1010
1542585138,996,996
1542586093,979,979
1542587556,963,963
1542588499,928,928
1542589468,914,914
1542590409,907,907
1542591387,905,905
1542592336,903,903
1542593310,900,900
1542594251,889,889
1542595210,885,885
1542596190,867,867
1542597133,870,870
1542598108,868,868
1542599069,869,869
1542600018,855,855
1542600984,860,860
1542601941,865,865
1542602892,858,858
1542603882,858,858
1542604812,879,879
1542605787,893,893
1542606755,901,901
1542607721,900,900
1542608667,915,915
1542609610,925,925
1542610570,922,922
1542611559,938,938
1542612491,949,949
1542613463,947,947
1542614429,951,951
1542615377,991,991
1542616340,1005,1005
1542617296,1010,1010
1542618271,1020,1020
1542619215,1028,1028
1542620170,1036,1036
1542621130,1041,1041
1542622110,1048,1048
1542623092,1056,1056
1542624010,1056,1056
1542624970,1060,1060
1542625950,1063,1063
1542627153,1071,1071
1542628097,1075,1075
1542629056,1071,1071
1542630008,1083,1083
1542630994,1091,1091
1542631955,1096,1096
1542632894,1100,1100
1542633853,1097,1097
1542634832,1096,1096
1542635772,1100,1100
1542636745,1104,1104
1542637689,1107,1107
1542638659,1107,1107
1542639627,1111,1111
1542640583,1124,1124
1542641535,1130,1130
1542642497,1138,1138
1542643476,1133,1133
1542644430,1139,1139
1542645399,1146,1146
1542646353,1149,1149
1542647296,1146,1146
1542648252,1147,1147
1542649212,1158,1158
1542650188,1159,1159
1542651135,1170,1170
1542652088,1176,1176
1542653072,1175,1175
1542654023,1171,1171
1542654973,1176,1176
1542655939,1179,1179
1542656892,1186,1186
1542657859,1182,1182
1542658820,1201,1201
1542659774,1203,1203
1542660732,1217,1217
1542661721,1219,1219
1542662651,1223,1223
1542663613,1230,1230
1542664585,1238,1238
1542666047,1232,1232
1542666982,1231,1231
1542667947,1232,1232
1542668899,1227,1227
1542669864,1223,1223
1542670813,1225,1225
1542671770,1225,1225
1542672738,1224,1224
1542674204,1201,1201
1542675130,1206,1206
1542676099,1200,1200
1542677054,1208,1208
1542678019,1214,1214
1542678971,1196,1196
1542679935,1207,1207
1542680887,1196,1196
1542681858,1194,1194
1542682816,1191,1191
1542683784,1190,1190
1542684735,1185,1185
1542685702,1184,1184
1542686657,1191,1191
1542687622,1189,1189
1542688570,1175,1175
1542689554,1177,1177
1542690491,1172,1172
1542691455,1157,1157
1542692411,1145,1145
1542693392,1145,1145
1542694332,1130,1130
1542695290,1129,1129
1542696251,1127,1127
1542697232,1141,1141
1542698179,1139,1139
1542699185,1147,1147
1542700091,1146,1146
1542701171,1137,1137
1542702251,1134,1134
1542703277,1135,1135
1542704428,1134,1134
1542705614,1140,1140
1542706585,1141,1141
1542707529,1155,1155
1542708511,1155,1155
1542709495,1154,1154
1542710409,1164,1164
1542711382,1160,1160
1542712350,1169,1169
1542713288,1164,1164
1542714254,1157,1157
1542715251,1155,1155
1542716183,1159,1159
1542717152,1164,1164
1542718091,1161,1161
1542719062,1160,1160
1542720007,1168,1168
1542720985,1171,1171
1542721930,1179,1179
1542722910,1166,1166
1542723853,1165,1165
1542724823,1167,1167
1542725786,1179,1179
1542726733,1184,1184
1542727696,1184,1184
1542728665,1192,1192
1542729611,1195,1195
1542730582,1211,1211
1542731537,1210,1210
1542732519,1212,1212
1542733454,1217,1217
1542734408,1217,1217
1542735385,1222,1222
1542736574,1224,1224
1542737555,1228,1228
1542738490,1236,1236
1542739959,1243,1243
1542740896,1239,1239
1542741856,1235,1235
1542742809,1230,1230
1542743791,1227,1227
1542744732,1229,1229
1542745696,1227,1227
1542746654,1225,1225
1542747628,1226,1226
1542748581,1224,1224
1542749539,1220,1220
1542750493,1215,1215
1542751478,1208,1208
1542752427,1210,1210
1542753372,1205,1205
1542754331,1211,1211
1542755325,1218,1218
1542756268,1214,1214
1542757212,1216,1216
1542758682,1212,1212
1542759614,1197,1197
1542760585,1195,1195
1542761529,1190,1190
1542762495,1170,1170
1542763468,1153,1153
1542764411,1131,1131
1542765368,1107,1107
1542766353,1085,1085
1542767288,1068,1068
1542768316,1041,1041
1542769223,1030,1030
1542770428,1011,1011
1542771396,990,990
1542772330,1001,1001
1542773311,1022,1022
1542774273,1045,1045
1542775210,1071,1071
1542776184,1076,1076
1542777154,1098,1098
1542778089,1100,1100
1542779055,1088,1088
1542780040,1073,1073
1542780977,1073,1073
1542781935,1053,1053
1542782892,1042,1042
1542783871,1032,1032
1542784826,1022,1022
1542785769,1020,1020
1542786734,1027,1027
1542787710,1026,1026
1542788669,1021,1021
1542789610,1031,1031
1542790568,1046,1046
1542791535,1049,1049
1542792491,1050,1050
1542793468,1053,1053
1542794411,1058,1058
1542795370,1069,1069
1542796351,1091,1091
1542797289,1103,1103
1542798254,1105,1105
1542799214,1120,1120
1542800179,1116,1116
1542801140,1120,1120
1542802096,1129,1129
1542803061,1122,1122
1542804026,1118,1118
1542804972,1125,1125
1542805938,1135,1135
1542806891,1129,1129
1542807866,1122,1122
1542808817,1124,1124
1542809778,1129,1129
1542810741,1122,1122
1542811689,1124,1124
1542812671,1129,1129
1542813608,1139,1139
1542814571,1139,1139
1542815547,1144,1144
1542816535,1143,1143
1542817469,1145,1145
1542818414,1145,1145
1542819371,1154,1154
1542820340,1148,1148
1542821289,1158,1158
1542822270,1154,1154
1542823217,1159,1159
1542824185,1159,1159
1542825134,1167,1167
1542826092,1165,1165
1542827056,1160,1160
1542828025,1165,1165
1542828968,1164,1164
1542829931,1167,1167
1542830913,1171,1171
1542831869,1177,1177
1542832809,1165,1165
1542833769,1172,1172
1542834742,1172,1172
1542835694,1172,1172
1542836696,1167,1167
1542837620,1170,1170
1542838583,1163,1163
1542839535,1158,1158
1542840493,1163,1163
1542841454,1168,1168
1542842435,1174,1174
1542843380,1173,1173
1542844934,1172,1172
1542846035,1162,1162
1542846969,1162,1162
1542847935,1165,1165
1542848895,1177,1177
1542849858,1175,1175
1542850810,1177,1177
1542851788,1195,1195
1542852732,1227,1227
1542853695,1250,1250
1542854656,1278,1278
1542855647,1309,1309
1542856580,1320,1320
1542857539,1339,1339
1542858492,1330,1330
1542859475,1291,1291
1542860430,1281,1281
1542861385,1279,1279
1542862359,1263,1263
1542863299,1259,1259
1542864252,1254,1254
1542865320,1266,1266
1542866408,1273,1273
1542867368,1289,1289
1542868340,1288,1288
1542869289,1293,1293
1542870271,1296,1296
1542871246,1295,1295
1542872664,1313,1313
1542873618,1317,1317
1542874575,1318,1318
1542875556,1319,1319
1542876489,1318,1318
1542877461,1320,1320
1542878424,1322,1322
1542879394,1333,1333
1542880352,1348,1348
1542881295,1350,1350
1542882251,1349,1349
1542883213,1344,1344
1542884185,1337,1337
1542885155,1318,1318
1542886339,1315,1315
1542887289,1306,1306
1542888270,1298,1298
1542889219,1288,1288
1542890169,1294,1294
1542891145,1289,1289
1542892091,1294,1294
1542893067,1297,1297
1542894009,1297,1297
1542894969,1292,1292
1542895935,1293,1293
1542896886,1292,1292
1542897872,1293,1293
1542898822,1279,1279
1542900056,1265,1265
1542900970,1252,1252
1542901929,1251,1251
1542902960,1249,1249
1542903915,1238,1238
1542905138,1238,1238
1542906253,1231,1231
1542907217,1230,1230
1542908192,1224,1224
1542909130,1224,1224
1542910111,1218,1218
1542911209,1213,1213
1542912252,1212,1212
1542913224,1220,1220
1542914182,1218,1218
1542915136,1214,1214
1542916092,1207,1207
1542917071,1203,1203
1542918008,1207,1207
1542918970,1198,1198
1542919951,1197,1197
1542920895,1195,1195
1542921870,1191,1191
1542922827,1193,1193
1542923767,1187,1187
1542924752,1192,1192
1542925692,1194,1194
1542926656,1195,1195
1542927613,1198,1198
1542928589,1197,1197
1542929573,1199,1199
1542930491,1189,1189
1542931455,1188,1188
1542932413,1175,1175
1542933385,1162,1162
1542934351,1147,1147
1542935292,1138,1138
1542936251,1136,1136
1542937211,1131,1131
1542938191,1130,1130
1542939132,1127,1127
1542940088,1124,1124
1542941068,1132,1132
1542942011,1137,1137
1542943230,1144,1144
1542944189,1135,1135
1542945134,1137,1137
1542946098,1139,1139
1542947055,1141,1141
1542948008,1147,1147
1542948982,1147,1147
1542949931,1148,1148
1542950887,1151,1151
1542951867,1168,1168
1542952836,1182,1182
1542953780,1185,1185
1542954741,1179,1179
1542955693,1193,1193
1542956672,1201,1201
1542957632,1203,1203
1542958569,1213,1213
1542959534,1225,1225
1542960510,1222,1222
1542961466,1228,1228
1542962409,1230,1230
1542963369,1225,1225
1542964351,1227,1227
1542965291,1220,1220
1542966251,1213,1213
1542967236,1209,1209
1542968173,1210,1210
1542969140,1208,1208
1542970092,1206,1206
1542971057,1205,1205
1542972015,1197,1197
1542972982,1201,1201
1542973930,1217,1217
1542974893,1219,1219
1542975875,1222,1222
1542976822,1233,1233
1542977787,1235,1235
1542978731,1241,1241
1542979693,1244,1244
1542980660,1248,1248
1542981631,1244,1244
1542982586,1254,1254
1542983781,1257,1257
1542984732,1260,1260
1542985712,1262,1262
1542986691,1268,1268
1542987610,1262,1262
1542988572,1259,1259
1542989577,1259,1259
1542990496,1254,1254
1542991454,1249,1249
1542992431,1253,1253
1542993379,1259,1259
1542994355,1260,1260
1542995295,1257,1257
1542996257,1250,1250
1542997205,1254,1254
1542998173,1251,1251
1542999134,1249,1249
1543000113,1255,1255
1543001051,1248,1248
1543002012,1262,1262
1543002976,1273,1273
1543003943,1279,1279
1543004890,1284,1284
1543005870,1295,1295
1543006832,1301,1301
1543007785,1304,1304
1543008738,1312,1312
1543009692,1316,1316
1543010657,1311,1311
1543011622,1314,1314
1543012707,1303,1303
1543013859,1293,1293
1543014992,1276,1276
1543015961,1278,1278
1543017140,1285,1285
1543018107,1277,1277
1543019170,1263,1263
1543020251,1253,1253
1543021221,1243,1243
1543022183,1235,1235
1543023139,1233,1233
1543024096,1230,1230
1543025057,1234,1234
1543026017,1240,1240
1543026979,1225,1225
1543027934,1213,1213
1543028898,1206,1206
1543029854,1200,1200
1543030812,1186,1186
1543031771,1190,1190
1543032742,1184,1184
1543033709,1189,1189
1543034650,1189,1189
1543035621,1200,1200
1543036584,1198,1198
1543037538,1220,1220
1543038490,1222,1222
1543039474,1216,1216
1543040411,1224,1224
1543041371,1218,1218
1543042329,1200,1200
1543043310,1198,1198
1543044254,1198,1198
1543045211,1192,1192
1543046184,1184,1184
1543047158,1182,1182
1543048093,1194,1194
1543049054,1209,1209
1543050014,1209,1209
1543050989,1202,1202
1543051956,1212,1212
1543052892,1214,1214
1543053857,1218,1218
1543054808,1215,1215
1543055794,1209,1209
1543056882,1200,1200
1543057939,1187,1187
