DateTime,AddedIPs,RemovedIPs
1542570733,268,236
1542571699,277,199
1542572652,256,221
1542573611,259,244
1542574586,239,226
1542575535,219,239
1542576493,243,0
1542577453,220,187
1542578443,272,237
1542579383,237,455
1542580375,234,228
1542581294,226,0
1542582275,268,277
1542583209,256,216
1542584171,202,220
1542585140,245,255
1542586095,242,216
1542587558,260,478
1542588501,224,260
1542589470,245,204
1542590410,230,210
1542591388,224,218
1542592338,235,246
1542593312,236,236
1542594253,260,215
1542595212,240,220
1542596192,242,257
1542597135,261,240
1542598109,231,261
1542599071,238,253
1542600020,230,224
1542600985,228,242
1542601943,258,227
1542602893,269,232
1542603884,237,226
1542604814,273,257
1542605790,270,253
1542606757,271,264
1542607723,311,254
1542608669,341,259
1542609613,337,0
1542610572,254,239
1542611560,255,272
1542612493,272,243
1542613465,292,278
1542614431,297,236
1542615378,305,266
1542616341,253,254
1542617298,304,271
1542618273,307,308
1542619217,288,282
1542620171,279,284
1542621132,238,235
1542622111,280,277
1542623094,297,262
1542624012,243,304
1542624972,328,228
1542625953,290,273
1542627155,279,517
1542628100,288,255
1542629057,328,0
1542630010,281,279
1542630995,336,542
1542631957,319,261
1542632896,310,0
1542633855,276,459
1542634834,292,267
1542635774,322,0
1542636748,312,511
1542637691,319,249
1542638662,274,0
1542639628,267,524
1542640584,272,281
1542641536,283,0
1542642499,286,516
1542643479,293,270
1542644432,265,252
1542645400,319,257
1542646354,250,254
1542647298,289,0
1542648254,242,269
1542649213,309,506
1542650189,283,270
1542651137,294,0
1542652089,290,286
1542653073,265,252
1542654024,314,263
1542654976,288,527
1542655941,296,247
1542656894,274,264
1542657861,289,256
1542658822,291,284
1542659775,295,256
1542660734,310,239
1542661723,256,253
1542662653,267,198
1542663615,255,227
1542664586,301,229
1542666048,301,502
1542666984,251,227
1542667949,244,258
1542668902,267,256
1542669866,280,273
1542670815,277,213
1542671772,250,249
1542672740,286,265
1542674206,317,254
1542675133,313,224
1542676101,332,231
1542677057,320,241
1542678021,332,237
1542678973,311,227
1542679938,308,271
1542680890,314,244
1542681860,296,193
1542682819,312,241
1542683786,299,243
1542684737,310,273
1542685704,310,230
1542686659,346,225
1542687623,293,220
1542688572,282,245
1542689557,288,240
1542690493,250,241
1542691457,322,266
1542692412,303,273
1542693394,301,252
1542694333,393,280
1542695293,332,303
1542696254,310,313
1542697234,308,280
1542698181,283,258
1542699187,324,300
1542700093,304,303
1542701173,305,249
1542702253,334,271
1542703279,308,367
1542704430,329,264
1542705616,294,291
1542706586,271,549
1542707530,293,0
1542708513,231,566
1542709497,291,328
1542710411,304,0
1542711384,317,546
1542712352,291,0
1542713290,273,285
1542714255,300,285
1542715253,263,310
1542716185,279,303
1542717154,230,266
1542718094,255,313
1542719063,258,307
1542720008,246,286
1542720987,251,315
1542721932,247,258
1542722911,246,296
1542723856,256,294
1542724826,246,317
1542725788,240,280
1542726734,207,276
1542727698,242,291
1542728667,241,287
1542729615,243,308
1542730584,252,309
1542731538,263,274
1542732520,261,313
1542733455,292,261
1542734410,272,282
1542735386,262,277
1542736575,259,268
1542737556,265,591
1542738491,266,280
1542739960,262,265
1542740898,243,311
1542741857,221,299
1542742811,178,287
1542743793,217,260
1542744735,225,298
1542745698,246,259
1542746655,228,265
1542747630,227,285
1542748583,236,273
1542749540,217,290
1542750496,221,272
1542751480,206,310
1542752428,259,0
1542753374,288,309
1542754332,260,270
1542755327,234,516
1542756271,293,283
1542757214,242,0
1542758683,240,608
1542759615,215,295
1542760587,247,0
1542761531,239,330
1542762496,237,303
1542763469,262,614
1542764414,219,0
1542765370,25,308
1542766356,27,617
1542767289,48,0
1542768319,31,693
1542769224,30,297
1542770429,30,304
1542771397,51,320
1542772331,423,352
1542773313,425,337
1542774275,360,322
1542775212,264,332
1542776186,266,357
1542777157,329,332
1542778090,308,373
1542779057,277,353
1542780042,305,355
1542780979,281,427
1542781938,293,396
1542782893,293,383
1542783873,321,338
1542784829,234,332
1542785771,287,393
1542786736,281,400
1542787712,281,410
1542788671,276,414
1542789613,297,0
1542790569,255,368
1542791537,243,357
1542792492,287,386
1542793469,269,340
1542794413,271,348
1542795372,367,323
1542796353,328,342
1542797291,312,362
1542798257,347,379
1542799216,302,301
1542800181,299,327
1542801142,339,312
1542802098,331,338
1542803062,362,341
1542804028,312,303
1542804974,316,312
1542805940,247,305
1542806893,276,302
1542807868,269,321
1542808820,301,306
1542809780,298,335
1542810743,286,319
1542811692,257,315
1542812673,362,309
1542813610,309,265
1542814572,276,309
1542815549,269,299
1542816537,233,283
1542817471,324,284
1542818417,265,360
1542819372,281,280
1542820343,268,312
1542821291,288,310
1542822272,302,296
1542823219,300,324
1542824187,328,281
1542825136,289,292
1542826095,302,0
1542827057,935,294
1542828027,286,255
1542828970,298,234
1542829933,301,247
1542830915,292,237
1542831871,300,211
1542832811,279,260
1542833772,311,225
1542834744,285,235
1542835695,266,277
1542836697,289,238
1542837622,275,232
1542838585,269,213
1542839537,287,261
1542840496,288,241
1542841456,264,243
1542842437,280,225
1542843382,303,269
1542844936,254,247
1542846037,322,508
1542846970,355,0
1542847938,273,559
1542848897,296,248
1542849860,317,0
1542850811,261,248
1542851789,271,127
1542852735,256,0
1542853697,282,82
1542854658,314,0
1542855648,338,64
1542856582,273,0
1542857541,297,26
1542858493,286,239
1542859476,310,398
1542860432,253,399
1542861387,318,338
1542862361,260,307
1542863302,289,281
1542864253,294,301
1542865321,249,311
1542866411,281,293
1542867370,304,310
1542868342,332,638
1542869291,289,0
1542870274,289,578
1542871248,273,259
1542872666,342,280
1542873621,276,233
1542874576,283,303
1542875558,313,287
1542876492,281,297
1542877463,298,275
1542878426,317,235
1542879396,332,273
1542880354,301,255
1542881297,293,277
1542882252,239,347
1542883215,288,304
1542884187,263,268
1542885156,322,298
1542886340,308,266
1542887292,302,274
1542888271,262,326
1542889221,310,284
1542890171,302,278
1542891147,289,247
1542892093,299,285
1542893068,247,234
1542894011,281,249
1542894971,288,244
1542895938,286,236
1542896888,257,261
1542897873,264,226
1542898823,261,226
1542900057,291,645
1542900971,266,0
1542901931,332,283
1542902962,272,400
1542903916,271,269
1542905139,286,257
1542906255,274,285
1542907219,251,244
1542908193,289,263
1542909132,269,281
1542910112,272,270
1542911211,284,260
1542912255,263,234
1542913225,270,274
1542914184,263,918
1542915137,251,217
1542916094,239,265
1542917073,272,246
1542918010,256,213
1542918971,278,263
1542919953,259,227
1542920897,258,237
1542921872,231,241
1542922829,276,253
1542923769,267,247
1542924755,274,237
1542925694,289,244
1542926658,243,273
1542927616,262,233
1542928591,301,260
1542929575,233,232
1542930493,265,246
1542931457,324,230
1542932414,230,0
1542933386,298,638
1542934353,269,250
1542935293,264,0
1542936253,291,286
1542937213,273,558
1542938192,307,242
1542939135,290,0
1542940090,320,244
1542941070,293,553
1542942012,298,0
1542943233,278,584
1542944191,270,319
1542945135,244,313
1542946100,278,300
1542947057,278,224
1542948011,257,313
1542948983,258,295
1542949933,275,271
1542950888,237,286
1542951870,265,253
1542952839,247,255
1542953782,262,292
1542954743,273,302
1542955694,252,308
1542956673,288,0
1542957633,264,290
1542958571,268,273
1542959535,249,275
1542960513,235,280
1542961468,258,298
1542962410,255,317
1542963371,227,315
1542964352,248,326
1542965293,275,299
1542966253,261,322
1542967238,294,338
1542968175,277,330
1542969143,241,279
1542970095,258,343
1542971059,242,245
1542972017,266,321
1542972984,282,290
1542973931,281,289
1542974896,271,296
1542975877,280,315
1542976823,253,266
1542977789,244,290
1542978734,279,306
1542979695,225,271
1542980663,272,283
1542981633,310,300
1542982588,281,256
1542983782,284,255
1542984734,284,261
1542985714,269,256
1542986692,285,289
1542987612,303,251
1542988573,283,319
1542989580,251,261
1542990498,262,248
1542991457,279,0
1542992433,265,258
1542993380,273,257
