DateTime,Entries,UniqueIPs
1542570733,41876,44108
1542571699,41961,44186
1542572652,42002,44221
1542573611,42012,44236
1542574586,42016,44249
1542575535,42003,44229
1542576493,42227,44472
1542577453,42255,44505
1542578443,42290,44540
1542579383,42098,44322
1542580375,42094,44328
1542581294,42313,44554
1542582275,42292,44545
1542583209,42330,44585
1542584171,42306,44567
1542585140,42308,44557
1542586095,42343,44583
1542587558,42171,44365
1542588501,42133,44329
1542589470,42180,44370
1542590410,42200,44390
1542591388,42211,44396
1542592338,42199,44385
1542593312,42193,44385
1542594253,42237,44430
1542595212,42259,44450
1542596192,42256,44435
1542597135,42279,44456
1542598109,42256,44426
1542599071,42234,44411
1542600020,42248,44417
1542600985,42243,44403
1542601943,42286,44434
1542602893,42326,44471
1542603884,42339,44482
1542604814,42348,44498
1542605790,42362,44515
1542606757,42372,44522
1542607723,42423,44579
1542608669,42499,44661
1542609613,42812,44998
1542610572,42828,45013
1542611560,42813,44996
1542612493,42848,45025
1542613465,42870,45039
1542614431,42927,45100
1542615378,42954,45139
1542616341,42962,45138
1542617298,42990,45171
1542618273,43007,45170
1542619217,43011,45176
1542620171,43001,45171
1542621132,42996,45174
1542622111,42996,45177
1542623094,43048,45212
1542624012,43006,45151
1542624972,43092,45251
1542625953,43103,45268
1542627155,42904,45030
1542628100,42934,45063
1542629057,43240,45391
1542630010,43242,45393
1542630995,43051,45187
1542631957,43106,45245
1542632896,43387,45555
1542633855,43212,45372
1542634834,43243,45397
1542635774,43531,45719
1542636748,43341,45520
1542637691,43402,45590
1542638662,43652,45864
1542639628,43405,45607
1542640584,43395,45598
1542641536,43658,45881
1542642499,43453,45651
1542643479,43482,45674
1542644432,43509,45687
1542645400,43571,45749
1542646354,43571,45745
1542647298,43834,46034
1542648254,43806,46007
1542649213,43640,45810
1542650189,43650,45823
1542651137,43927,46117
1542652089,43933,46121
1542653073,43946,46134
1542654024,44000,46185
1542654976,43764,45946
1542655941,43811,45995
1542656894,43836,46005
1542657861,43864,46038
1542658822,43870,46045
1542659775,43901,46084
1542660734,43962,46155
1542661723,43962,46158
1542662653,44028,46227
1542663615,44057,46255
1542664586,44123,46327
1542666048,43936,46126
1542666984,43967,46150
1542667949,43949,46136
1542668902,43963,46147
1542669866,43973,46154
1542670815,44037,46218
1542671772,44033,46219
1542672740,44069,46240
1542674206,44132,46303
1542675133,44212,46392
1542676101,44302,46493
1542677057,44372,46572
1542678021,44445,46667
1542678973,44528,46751
1542679938,44572,46788
1542680890,44630,46858
1542681860,44728,46961
1542682819,44793,47032
1542683786,44840,47088
1542684737,44878,47125
1542685704,44940,47205
1542686659,45061,47326
1542687623,45130,47399
1542688572,45171,47436
1542689557,45209,47484
1542690493,45230,47493
1542691457,45280,47549
1542692412,45308,47579
1542693394,45363,47628
1542694333,45455,47741
1542695293,45493,47770
1542696254,45492,47767
1542697234,45524,47795
1542698181,45553,47820
1542699187,45587,47844
1542700093,45605,47845
1542701173,45663,47901
1542702253,45723,47964
1542703279,45667,47905
1542704430,45737,47970
1542705616,45735,47973
1542706586,45480,47695
1542707530,45750,47988
1542708513,45440,47653
1542709497,45396,47616
1542710411,45682,47920
1542711384,45463,47691
1542712352,45731,47982
1542713290,45725,47970
1542714255,45751,47985
1542715253,45715,47938
1542716185,45692,47914
1542717154,45652,47878
1542718094,45597,47820
1542719063,45549,47771
1542720008,45512,47731
1542720987,45453,47667
1542721932,45439,47656
1542722911,45406,47606
1542723856,45378,47568
1542724826,45324,47497
1542725788,45303,47457
1542726734,45244,47388
1542727698,45183,47339
1542728667,45142,47293
1542729615,45086,47228
1542730584,45029,47171
1542731538,45023,47160
1542732520,44977,47108
1542733455,45013,47139
1542734410,44996,47129
1542735386,44982,47114
1542736575,44963,47105
1542737556,44671,46779
1542738491,44662,46765
1542739960,44659,46762
1542740898,44585,46694
1542741857,44506,46616
1542742811,44413,46507
1542743793,44368,46464
1542744735,44290,46391
1542745698,44284,46378
1542746655,44257,46341
1542747630,44210,46283
1542748583,44181,46246
1542749540,44119,46173
1542750496,44065,46122
1542751480,43978,46018
1542752428,44219,46277
1542753374,44192,46256
1542754332,44174,46246
1542755327,43917,45964
1542756271,43920,45974
1542757214,44137,46216
1542758683,43804,45848
1542759615,43744,45768
1542760587,43973,46015
1542761531,43880,45924
1542762496,43814,45858
1542763469,43489,45506
1542764414,43685,45725
1542765370,43432,45442
1542766356,42876,44852
1542767289,42919,44900
1542768319,42288,44238
1542769224,42042,43971
1542770429,41783,43697
1542771397,41526,43428
1542772331,41595,43499
1542773313,41679,43587
1542774275,41715,43625
1542775212,41643,43557
1542776186,41563,43466
1542777157,41567,43463
1542778090,41519,43398
1542779057,41442,43322
1542780042,41390,43272
1542780979,41271,43126
1542781938,41176,43023
1542782893,41081,42933
1542783873,41062,42916
1542784829,40952,42818
1542785771,40857,42712
1542786736,40729,42593
1542787712,40606,42464
1542788671,40472,42326
1542789613,40758,42623
1542790569,40653,42510
1542791537,40546,42396
1542792492,40457,42297
1542793469,40385,42226
1542794413,40301,42149
1542795372,40344,42193
1542796353,40348,42179
1542797291,40299,42129
1542798257,40267,42097
1542799216,40266,42098
1542800181,40241,42070
1542801142,40260,42097
1542802098,40252,42090
1542803062,40279,42111
1542804028,40287,42120
1542804974,40298,42124
1542805940,40251,42066
1542806893,40224,42040
1542807868,40182,41988
1542808820,40185,41983
1542809780,40148,41946
1542810743,40121,41913
1542811692,40062,41855
1542812673,40112,41908
1542813610,40145,41952
1542814572,40110,41919
1542815549,40088,41889
1542816537,40044,41839
1542817471,40088,41879
