DateTime,AddedIPs,RemovedIPs
1540886437,1,2
1540890042,2,1
1540893642,2,0
1540897237,0,3
1540900837,1,0
1540911629,1,0
1540915235,0,2
1540918835,0,3
1540922429,0,1
1540926040,5,1
1540929634,2,2
1540933238,0,2
1540936833,1,1
1540940436,0,4
1540944031,0,2
1540947634,1,2
1540951231,0,1
1540954835,1,2
1540962040,3,1
1540965638,0,3
1540969241,0,2
1540972838,0,3
1540976441,1,1
1540980028,2,0
1540983640,1,0
1540990828,1,3
1540994438,0,1
1540998030,2,0
1541001631,2,31
1541005229,1,3
1541008829,1,0
1541016026,0,1
1541019626,0,1
1541023231,0,2
1541026828,1,1
1541030430,2,2
1541034035,0,1
1541037630,0,2
1541041230,2,1
1541044839,5,0
1541048430,0,1
1541052039,2,1
1541062833,2,3
1541066433,3,0
1541077239,1,3
1541084432,1,0
1541088041,2,2
1541091635,4,3
1541095234,0,1
1541098836,1,1
1541106034,0,5
1541109636,1,8
1541113235,1,5
1541116840,1,4
1541120443,2,4
1541124032,0,1
1541127642,0,2
1541131233,1,2
1541134837,1,1
1541138441,0,2
1541142033,0,3
1541145632,0,4
1541149238,1,3
1541152835,1,5
1541156441,27,1
1541160039,1,7
1541163637,0,1
1541167238,0,6
1541170840,1,5
1541174436,0,8
1541178036,0,1
1541181634,1,1
1541185233,0,3
1541188840,0,3
1541192434,2,1
1541196040,3,0
1541199637,0,1
1541210435,0,1
1541214037,3,0
1541224832,1,0
1541232036,1,1
1541235626,0,1
1541239234,0,1
1541242826,1,1
1541246441,0,1
1541260823,1,1
1541264428,2,0
1541271633,1,1
1541275231,0,1
1541278840,1,1
1541282432,0,1
1541286035,2,0
1541293232,16,2
1541296833,5,0
1541300432,0,1
1541304033,4,1
1541307636,1,1
1541311234,1,0
1541314842,2,0
1541322035,1,0
1541325633,2,0
1541329235,0,1
1541332837,1,3
1541336438,0,1
1541340031,3,0
1541343636,3,1
1541347231,1,1
1541350842,2,1
1541354438,2,0
1541358035,2,4
1541361634,2,2
1541365237,47,3
1541368840,16,4
1541372437,13,1
1541376040,2,0
1541379640,1,1
1541394040,1,1
1541397639,1,14
1541401235,2,12
1541404835,1,0
1541412033,0,1
1541419239,1,2
1541422843,2,1
1541433641,42,3
1541437242,1,0
1541440843,3,0
1541444441,3,0
1541448043,9,0
1541451645,5,0
1541455241,4,0
1541458844,3,1
1541462441,1,0
1541473243,0,1
1541476849,1,2
1541480446,0,1
1541487642,1,1
1541491235,0,1
1541494837,1,1
1541498436,0,1
1541502045,1,0
1541512844,2,1
1541516435,0,1
1541520045,2,0
1541527245,2,0
1541530839,2,2
1541534442,1,2
1541538040,0,1
1541541644,2,2
1541545241,6,0
1541548843,7,1
1541552439,0,1
1541556041,2,0
1541559644,2,0
1541563242,0,1
1541566842,0,1
1541570443,3,1
1541574040,1,0
1541577646,2,2
1541581241,2,0
1541584841,0,2
1541588443,3,1
1541599245,0,2
1541602848,0,1
1541610042,10,1
1541613648,0,1
1541617243,2,0
1541620839,1,2
1541624442,1,2
1541631644,0,1
1541635241,1,1
1541649643,3,2
1541653245,2,0
1541656838,1,0
1541660446,18,0
1541664039,3,1
1541667642,3,0
1541671238,0,1
1541674848,1,0
1541678443,1,1
1541682047,2,2
1541685650,0,1
1541689245,0,1
1541692848,2,1
1541696449,2,4
1541700048,2,1
1541703643,3,3
1541707242,0,3
1541710843,1,1
1541714445,2,2
1541718041,2,4
1541721648,5,1
1541725240,3,0
1541728849,2,0
1541732445,1,0
1541736043,2,0
1541743256,0,1
1541750444,0,1
1541754044,1,2
1541757644,0,1
1541761247,0,20
1541764843,0,1
1541775646,2,1
1541779235,2,1
1541782847,2,0
1541786434,0,1
1541790043,0,2
1541793636,1,0
1541797246,0,1
1541800839,0,4
1541804442,1,0
1541808038,2,0
1541811647,1,0
1541818835,0,1
1541826044,4,1
1541829641,1,0
1541833249,5,0
1541836845,0,1
1541840444,2,0
1541844044,0,2
1541847644,1,1
1541851246,0,1
1541854839,0,1
1541858437,1,0
1541869260,0,2
1541872840,0,1
1541880044,1,1
1541887250,0,2
1541890841,0,1
1541898047,1,15
1541901640,1,8
1541905236,0,2
1541912442,3,0
1541916044,1,1
1541919650,4,1
1541923250,2,0
1541926838,3,1
1541930434,2,2
1541934042,3,3
1541937634,2,1
1541944836,0,1
1541948439,0,1
1541952039,0,3
1541955645,2,3
1541959238,1,3
1541962837,2,2
1541966440,0,4
1541970035,0,45
1541973638,0,13
1541977239,1,22
1541980831,0,6
1541984433,0,1
1541988029,0,1
1541991634,1,1
1541995233,0,1
1541998837,1,1
1542002441,0,1
1542006041,0,1
1542009643,0,1
1542013240,3,2
1542016840,0,1
1542027642,1,0
1542031236,1,2
1542038436,0,41
1542042033,0,1
1542045632,3,2
1542049235,1,5
1542052835,0,2
1542056433,0,1
1542060031,0,5
1542063638,2,10
1542067235,2,7
1542078035,0,1
1542081631,0,4
1542085236,1,1
1542092435,0,3
1542096033,5,2
1542099631,0,2
1542106833,0,1
1542110437,0,1
1542117631,0,3
1542124829,1,5
1542132027,0,3
1542135634,1,2
1542139230,1,0
1542142834,2,1
1542146424,1,1
1542150035,1,4
1542153627,2,6
1542160827,1,1
1542164436,32,1
1542168027,4,0
1542175229,1,2
1542178826,0,1
1542182430,2,2
1542193228,1,5
1542196824,0,1
1542214827,2,10
1542218423,0,1
1542222024,1,1
1542225637,3,1
1542229224,0,1
1542232824,2,3
1542236429,2,1
1542243624,1,0
1542247223,1,0
1542250824,2,0
1542254428,3,0
1542258025,6,0
1542261630,4,0
1542265240,2,24
1542268823,4,9
1542272425,1,2
1542276026,0,1
1542279633,3,0
1542283230,1,0
1542286825,0,1
1542290433,4,2
1542294026,1,0
1542297636,1,1
1542304831,4,0
1542308433,2,3
1542312030,3,2
1542315628,3,1
1542319223,1,0
1542322830,1,1
1542326426,4,3
1542330030,0,4
1542333633,3,1
1542337225,1,0
1542340833,1,2
1542344430,4,2
1542351629,1,1
1542355226,5,3
1542358835,1,1
1542362438,0,8
1542366036,1,1
1542369633,2,4
1542373225,0,1
1542376824,2,0
1542380424,1,2
1542384022,1,2
1542387624,0,1
1542391235,0,3
1542394823,1,4
1542398423,1,2
1542402033,1,2
1542405625,1,0
1542409229,0,2
1542412827,1,2
1542416441,0,1
1542420026,1,0
1542423634,10,0
1542427237,13,0
1542430837,0,3
1542434427,2,1
1542438040,3,7
1542441636,0,1
1542445225,1,5
1542452436,1,0
1542463228,2,1
1542470429,1,3
1542474032,1,0
1542477635,1,0
1542484835,1,0
1542488426,8,1
1542492028,4,0
1542495626,1,1
1542499229,1,0
1542502835,0,1
1542506427,1,0
1542510023,1,1
1542513625,7,0
1542517229,3,2
1542520831,2,0
1542524426,1,1
1542528036,1,0
1542531648,0,1
1542535230,0,1
1542538835,4,2
1542546037,0,1
1542556839,1,0
1542560425,6,0
1542564025,0,2
1542567624,3,4
1542571230,0,4
1542574825,4,1
1542578435,0,3
1542582029,5,3
1542585633,3,0
1542589230,0,2
1542592841,1,0
1542596425,7,1
1542603631,1,0
1542607229,2,0
1542614427,2,0
1542618026,0,3
1542625233,2,0
1542628831,0,1
1542636028,0,1
1542639634,4,0
1542646836,1,1
1542650433,0,2
1542654028,3,1
1542661238,2,0
1542664834,1,0
1542668432,1,2
1542672038,2,1
1542675644,2,1
1542679239,1,0
1542682837,2,0
1542686429,25,0
1542690027,1,2
1542693630,2,0
1542697226,0,2
1542700829,0,4
1542704429,1,0
1542708028,1,0
1542711629,1,2
1542715234,2,0
1542718828,1,0
1542722427,1,0
1542726027,2,0
1542729627,2,0
1542733232,0,2
1542736835,0,1
1542740437,1,1
1542747636,1,0
1542751235,2,1
1542754838,2,1
1542758441,5,0
1542762035,12,3
1542765636,6,3
1542769234,5,21
1542772841,6,7
1542776445,3,2
1542780039,5,1
1542783636,2,0
1542787243,1,0
1542790831,1,0
1542798034,1,1
1542801634,1,0
1542805228,4,0
1542808836,1,0
1542816036,1,0
1542819637,0,3
1542826834,3,2
1542830427,1,3
1542834035,1,0
1542837631,2,1
1542841243,0,2
1542848433,0,3
1542852036,1,0
1542855632,5,1
1542859244,5,0
1542862835,3,1
1542866435,3,0
1542873640,3,0
1542884439,0,1
1542888035,2,0
1542891633,0,1
1542895230,1,3
1542898831,1,0
1542902440,1,0
1542906033,0,2
1542909642,4,4
1542913230,2,1
1542916827,0,4
1542920429,6,0
1542924038,3,5
1542927631,0,3
1542931242,4,3
1542934834,2,1
1542938437,2,1
1542942035,0,1
1542945645,24,0
1542949237,0,1
1542956435,1,0
1542960036,0,4
1542963642,0,1
1542967241,2,2
1542970842,0,2
1542974444,0,1
1542978038,7,0
1542981644,3,2
1542985235,1,2
1542992451,0,1
1542996035,1,2
1542999628,1,1
1543003240,0,1
1543010441,1,0
1543014039,1,5
1543017636,1,2
1543024841,0,2
1543028440,3,6
1543032036,5,16
1543039236,0,3
1543042839,1,2
1543046434,0,1
1543050035,0,4
1543053635,1,0
