DateTime,AddedIPs,RemovedIPs
1541030659,0,3
1541034246,3,4
1541037815,1,3
1541041462,0,1
1541045057,2,0
1541052257,0,2
1541055859,1,1
1541059482,1,1
1541063035,0,2
1541073871,1,0
1541077470,1,0
1541081076,0,2
1541084654,79,4
1541088231,2,2
1541095448,1,2
1541099057,0,2
1541102663,5,1
1541106281,1,2
1541109845,1,2
1541113471,0,2
1541117067,4,2
1541120677,1,0
1541124268,1,2
1541127860,1,1
1541131449,0,3
1541135059,0,1
1541138657,1,0
1541142263,1,3
1541145845,0,1
1541149472,0,3
1541153063,1,7
1541156656,1,2
1541160259,1,5
1541163849,1,3
1541167456,0,3
1541174664,2,1
1541178268,1,1
1541181851,1,2
1541185452,3,2
1541189072,4,3
1541192644,4,0
1541196257,1,4
1541199836,1,1
1541207071,0,3
1541210654,2,2
1541214267,1,1
1541225063,1,2
1541232263,0,1
1541235822,0,5
1541239473,0,1
1541243016,0,1
1541246684,1,2
1541250210,3,1
1541253836,1,1
1541257411,2,3
1541261053,2,2
1541264652,0,5
1541268283,3,4
1541271864,0,1
1541275472,2,3
1541279065,0,4
1541282655,3,3
1541286257,1,3
1541289883,4,3
1541293454,7,2
1541297095,38,1
1541300660,3,0
1541304234,1,3
1541307850,0,2
1541311467,1,1
1541318654,1,0
1541322261,1,0
1541325859,0,1
1541329461,1,2
1541333042,2,0
1541336654,2,0
1541343847,0,1
1541347429,2,0
1541351033,2,2
1541354653,2,3
1541358230,2,1
1541361887,1,0
1541365459,0,1
1541369065,1,1
1541372662,1,2
1541376284,0,1
1541379834,0,2
1541383450,1,1
1541390635,1,2
1541394258,0,2
1541397869,1,3
1541401439,0,1
1541405050,2,1
1541408673,2,1
1541412255,1,0
1541415854,1,1
1541419471,16,1
1541423061,45,0
1541426683,14,4
1541430250,1,0
1541433866,1,1
1541437474,1,2
1541441068,1,3
1541444682,3,0
1541448248,3,0
1541451859,2,0
1541455483,3,4
1541459045,2,2
1541462693,4,5
1541466270,2,0
1541469856,1,0
1541473459,1,0
1541484223,1,1
1541495085,0,2
1541498633,0,3
1541502279,2,0
1541505856,0,2
1541509461,1,1
1541513052,0,1
1541516672,1,0
1541523860,1,1
1541527471,4,0
1541531086,1,1
1541534689,1,0
1541538272,0,1
1541541889,2,4
1541545475,6,1
1541549077,0,3
1541556265,2,1
1541559866,2,2
1541563461,0,1
1541570687,1,0
1541574258,0,2
1541581450,2,1
1541585061,0,1
1541588651,1,1
1541592247,0,3
1541595860,2,2
1541599458,2,0
1541603085,2,2
1541606669,2,0
1541610264,2,1
1541613870,2,1
1541617455,2,2
1541621074,5,0
1541624662,0,2
1541628286,0,2
1541631850,4,2
1541635480,1,1
1541639058,2,1
1541642682,2,0
1541646272,2,0
1541653441,2,0
1541657058,1,1
1541660660,1,0
1541667891,1,1
1541678659,4,3
1541682267,2,0
1541685871,2,2
1541689490,2,41
1541693108,2,1
1541696690,2,0
1541700276,4,2
1541703855,1,3
1541707481,1,0
1541711080,0,1
1541714657,0,2
1541718244,2,1
1541721880,3,2
1541725475,2,0
1541729092,1,3
1541732685,0,1
1541736270,2,1
1541739902,0,1
1541743474,2,0
1541747085,2,2
1541750652,1,0
1541754294,1,2
1541757910,2,1
1541761496,2,3
1541765064,1,0
1541768613,1,2
1541772241,1,0
1541775847,2,0
1541779472,1,2
1541786620,1,1
