DateTime,AddedIPs,RemovedIPs
1541261216,41,24
1541264814,23,23
1541268419,29,18
1541272013,22,17
1541275618,22,19
1541279221,32,23
1541282820,27,30
1541286412,22,25
1541290018,20,35
1541293616,21,28
1541297217,29,17
1541300824,29,17
1541304414,20,29
1541308013,23,28
1541311619,18,23
1541315215,20,27
1541318817,30,17
1541322419,26,18
1541326023,25,24
1541329621,24,15
1541333217,26,28
1541336811,15,30
1541340421,29,26
1541344021,31,15
1541347676,34,18
1541351272,31,10
1541354865,34,35
1541358422,27,26
1541362023,30,33
1541365628,27,54
1541369226,41,15
1541372828,30,27
1541376434,29,17
1541380036,32,18
1541383633,30,39
1541387228,25,22
1541390827,22,29
1541394417,17,11
1541398023,31,17
1541401640,32,21
1541405227,29,31
1541408828,20,26
1541412428,28,20
1541416037,23,26
1541419645,34,12
1541423223,34,35
1541426828,34,29
1541430425,34,29
1541434028,19,24
1541437629,25,21
1541441225,24,35
1541444831,33,28
1541448429,43,18
1541452028,33,25
1541455639,38,36
1541459222,30,33
1541462827,24,34
1541466444,55,29
1541470034,29,26
1541473632,33,31
1541477232,31,21
1541480819,28,27
1541484433,20,23
1541488025,19,32
1541491624,23,30
1541495234,30,17
1541498832,28,19
1541502430,24,19
1541506030,28,38
1541509629,40,38
1541513228,26,23
1541516826,18,31
1541520437,90,16
1541524034,155,25
1541527637,50,22
1541531234,26,22
1541534841,35,30
1541538448,29,20
1541542044,45,31
1541545645,40,24
1541549241,30,29
1541552845,35,22
1541556440,22,29
1541560034,25,24
1541563647,24,27
1541567245,21,30
1541570841,27,12
1541574444,24,24
1541578045,26,20
1541581644,29,21
1541585252,28,28
1541588839,14,29
1541592444,32,31
1541596042,39,20
1541599643,20,19
1541603237,30,26
1541606840,32,36
1541610447,26,29
1541614049,35,30
1541617649,28,29
1541621250,23,25
1541624846,31,22
1541628445,26,25
1541632058,22,18
1541635651,21,24
1541639262,27,24
1541642843,27,27
1541646451,34,19
1541650049,19,21
1541653654,25,13
1541657240,16,23
1541660850,17,29
1541664452,27,22
1541668049,20,26
1541671650,26,9
1541675254,25,28
1541678859,31,33
1541682445,18,22
1541686048,20,24
1541689645,15,28
1541693251,33,31
1541696852,26,16
1541700455,29,28
1541704043,26,19
1541707652,14,41
1541711256,28,38
1541714856,20,21
1541718444,27,97
1541722049,22,22
1541725645,24,26
1541729245,29,25
1541732853,13,21
1541736448,18,29
1541740046,16,30
1541743648,21,19
1541747250,28,28
1541750854,23,18
1541754443,22,35
1541758049,16,32
1541761650,16,34
1541765240,23,27
1541768835,25,23
1541772434,24,20
1541776039,29,28
1541779641,32,15
1541783245,22,24
1541786836,24,38
1541790436,18,28
1541794036,80,19
1541797639,27,28
1541801245,30,23
1541804840,24,36
1541808440,13,38
1541812044,19,27
1541815640,21,20
1541819241,22,26
1541822840,22,27
1541826436,23,32
1541830041,20,28
1541833642,21,24
1541837229,15,32
1541840833,13,14
1541844443,26,24
1541848032,24,20
1541851633,21,28
1541855229,13,30
1541858828,22,27
1541862427,18,36
1541866034,20,47
1541869634,31,20
1541873222,16,25
1541876851,31,20
1541880438,16,25
1541884042,22,35
1541887636,24,38
1541891212,24,17
1541894841,27,20
1541898480,31,18
1541902095,20,33
1541905672,17,25
1541909295,36,16
1541912880,24,30
1541916466,18,18
1541920028,22,22
1541923623,28,30
1541927217,30,30
1541930824,17,27
1541934431,25,28
1541938033,26,30
1541941640,209,15
1541945253,197,37
1541948854,150,20
1541952459,93,38
1541956066,78,35
1541959668,60,37
1541963267,40,35
1541966861,42,23
1541970467,30,27
1541974064,41,32
1541977669,35,30
1541981280,28,29
