DateTime,AddedIPs,RemovedIPs
1541257671,24,24
1541261288,39,15
1541264884,11,17
1541268491,16,10
1541272091,13,13
1541275690,13,11
1541279294,17,17
1541282892,24,16
1541286494,9,12
1541290089,9,20
1541293690,15,14
1541297295,20,6
1541300891,19,9
1541304490,11,18
1541308085,12,21
1541311687,12,16
1541315283,11,21
1541318894,19,13
1541322485,12,11
1541326092,16,14
1541329690,16,10
1541333289,14,22
1541336883,8,20
1541340491,11,22
1541344092,19,8
1541347776,23,14
1541351385,24,6
1541354969,18,19
1541358499,16,20
1541362100,10,19
1541365703,10,42
1541369297,21,8
1541372904,10,17
1541376507,14,7
1541380101,16,10
1541383708,17,29
1541387299,9,15
1541390898,12,21
1541394478,10,8
1541398097,23,12
1541401687,21,10
1541405295,16,17
1541408901,10,23
1541412494,16,13
1541416123,9,17
1541419716,22,4
1541423302,19,21
1541426908,21,14
1541430479,18,14
1541434095,8,14
1541437696,15,15
1541441294,16,17
1541444916,18,17
1541448503,24,10
1541452107,14,9
1541455710,19,20
1541459297,16,25
1541462898,11,22
1541466502,35,20
1541470098,11,16
1541473693,18,22
1541477295,19,13
1541480885,19,22
1541484496,13,19
1541488091,5,25
1541491690,14,19
1541495305,19,10
1541498900,22,15
1541502491,9,9
1541506086,16,25
1541509686,25,28
1541513281,9,17
1541516882,12,16
1541520505,75,9
1541524100,132,16
1541527706,38,13
1541531301,18,12
1541534903,18,17
1541538525,13,12
1541542115,27,19
1541545703,32,15
1541549301,15,14
1541552904,20,10
1541556500,11,19
1541560099,14,16
1541563709,14,17
1541567310,14,21
1541570901,17,9
1541574506,18,15
1541578106,19,14
1541581709,12,16
1541585308,14,18
1541588896,6,16
1541592499,20,19
1541596101,23,10
1541599693,14,10
1541603289,15,12
1541606901,18,21
1541610509,11,21
1541614111,22,22
1541617709,19,15
1541621311,15,5
1541624911,24,12
1541628522,17,20
1541632109,11,11
1541635708,11,16
1541639321,14,13
1541642903,20,19
1541646508,24,15
1541650114,14,12
1541653711,16,7
1541657290,14,15
1541660912,8,19
1541664506,20,13
1541668116,11,21
1541671712,18,4
1541675317,17,12
1541678939,15,16
1541682505,10,12
1541686101,9,19
1541689708,5,19
1541693323,23,19
1541696927,17,11
1541700516,18,16
1541704109,16,15
1541707720,11,25
1541711326,17,32
1541714924,14,17
1541718515,16,15
1541722125,13,13
1541725711,13,18
1541729317,21,20
1541732925,7,13
1541736515,11,15
1541740119,9,18
1541743729,17,11
1541747333,19,15
1541750926,14,10
1541754523,16,24
1541758137,10,22
1541761720,12,20
1541765310,14,17
1541768903,11,10
1541772497,13,13
1541776091,17,20
1541779704,19,10
1541783302,10,18
1541786900,10,22
1541790498,6,19
1541794100,60,14
1541797703,18,14
1541801309,20,15
1541804911,15,23
1541808511,10,21
1541812107,7,13
1541815707,13,13
1541819307,14,11
1541822905,16,11
1541826505,16,17
1541830104,13,19
1541833705,13,14
1541837294,9,19
1541840902,11,10
1541844507,22,14
1541848101,14,10
1541851697,15,20
1541855298,7,19
1541858890,14,17
1541862491,12,25
1541866099,14,37
1541869702,22,8
1541873298,11,16
1541876928,21,11
1541880511,6,12
1541884121,14,20
1541887719,13,34
1541891322,21,10
1541894921,22,8
1541898601,20,15
1541902219,13,22
1541905790,7,19
1541909405,25,16
1541912992,16,15
1541916572,11,10
1541920089,18,13
1541923687,15,20
1541927292,22,15
1541930899,9,16
1541934499,14,19
1541938097,15,16
1541941704,124,8
1541945313,122,19
1541948900,82,10
1541952515,60,25
1541956127,44,22
1541959727,34,14
