DateTime,Entries,UniqueIPs
1541257671,3330,3330
1541261288,3354,3354
1541264884,3348,3348
1541268491,3354,3354
1541272091,3354,3354
1541275690,3356,3356
1541279294,3356,3356
1541282892,3364,3364
1541286494,3361,3361
1541290089,3350,3350
1541293690,3351,3351
1541297295,3365,3365
1541300891,3375,3375
1541304490,3368,3368
1541308085,3359,3359
1541311687,3355,3355
1541315283,3345,3345
1541318894,3351,3351
1541322485,3352,3352
1541326092,3354,3354
1541329690,3360,3360
1541333289,3352,3352
1541336883,3340,3340
1541340491,3329,3329
1541344092,3340,3340
1541347776,3349,3349
1541351385,3367,3367
1541354969,3366,3366
1541358499,3362,3362
1541362100,3353,3353
1541365703,3321,3321
1541369297,3334,3334
1541372904,3327,3327
1541376507,3334,3334
1541380101,3340,3340
1541383708,3328,3328
1541387299,3322,3322
1541390898,3313,3313
1541394478,3315,3315
1541398097,3326,3326
1541401687,3337,3337
1541405295,3336,3336
1541408901,3323,3323
1541412494,3326,3326
1541416123,3318,3318
1541419716,3336,3336
1541423302,3334,3334
1541426908,3341,3341
1541430479,3345,3345
1541434095,3339,3339
1541437696,3339,3339
1541441294,3338,3338
1541444916,3339,3339
1541448503,3353,3353
1541452107,3358,3358
1541455710,3357,3357
1541459297,3348,3348
1541462898,3337,3337
1541466502,3352,3352
1541470098,3347,3347
1541473693,3343,3343
1541477295,3349,3349
1541480885,3346,3346
1541484496,3340,3340
1541488091,3320,3320
1541491690,3315,3315
1541495305,3324,3324
1541498900,3331,3331
1541502491,3331,3331
1541506086,3322,3322
1541509686,3319,3319
1541513281,3311,3311
1541516882,3307,3307
1541520505,3373,3373
1541524100,3489,3489
1541527706,3514,3514
1541531301,3520,3520
1541534903,3521,3521
1541538525,3522,3522
1541542115,3530,3530
1541545703,3547,3547
1541549301,3548,3548
1541552904,3558,3558
1541556500,3550,3550
1541560099,3548,3548
1541563709,3545,3545
1541567310,3538,3538
1541570901,3546,3546
1541574506,3549,3549
1541578106,3554,3554
1541581709,3550,3550
1541585308,3546,3546
1541588896,3536,3536
1541592499,3537,3537
1541596101,3550,3550
1541599693,3554,3554
1541603289,3557,3557
1541606901,3554,3554
1541610509,3544,3544
1541614111,3544,3544
1541617709,3548,3548
1541621311,3558,3558
1541624911,3570,3570
1541628522,3567,3567
1541632109,3567,3567
1541635708,3562,3562
1541639321,3563,3563
1541642903,3564,3564
1541646508,3573,3573
1541650114,3575,3575
1541653711,3584,3584
1541657290,3583,3583
1541660912,3572,3572
1541664506,3579,3579
1541668116,3569,3569
1541671712,3583,3583
1541675317,3588,3588
1541678939,3587,3587
1541682505,3585,3585
1541686101,3575,3575
1541689708,3561,3561
1541693323,3565,3565
1541696927,3571,3571
1541700516,3573,3573
1541704109,3574,3574
1541707720,3560,3560
1541711326,3545,3545
1541714924,3542,3542
1541718515,3543,3543
1541722125,3543,3543
1541725711,3538,3538
1541729317,3539,3539
1541732925,3533,3533
1541736515,3529,3529
1541740119,3520,3520
1541743729,3526,3526
1541747333,3530,3530
1541750926,3534,3534
1541754523,3526,3526
1541758137,3514,3514
1541761720,3506,3506
1541765310,3503,3503
1541768903,3504,3504
1541772497,3504,3504
1541776091,3501,3501
1541779704,3510,3510
1541783302,3502,3502
1541786900,3490,3490
1541790498,3477,3477
1541794100,3523,3523
1541797703,3527,3527
1541801309,3532,3532
1541804911,3524,3524
1541808511,3513,3513
1541812107,3507,3507
1541815707,3507,3507
1541819307,3510,3510
1541822905,3515,3515
1541826505,3514,3514
1541830104,3508,3508
1541833705,3507,3507
1541837294,3497,3497
1541840902,3498,3498
1541844507,3506,3506
1541848101,3510,3510
1541851697,3505,3505
1541855298,3493,3493
1541858890,3490,3490
1541862491,3477,3477
1541866099,3454,3454
1541869702,3468,3468
1541873298,3463,3463
1541876928,3473,3473
1541880511,3467,3467
1541884121,3461,3461
1541887719,3440,3440
1541891322,3451,3451
1541894921,3465,3465
1541898601,3470,3470
1541902219,3461,3461
1541905790,3449,3449
1541909405,3458,3458
1541912992,3459,3459
1541916572,3460,3460
1541920089,3465,3465
1541923687,3460,3460
1541927292,3467,3467
1541930899,3460,3460
1541934499,3455,3455
1541938097,3454,3454
1541941704,3570,3570
1541945313,3673,3673
1541948900,3745,3745
1541952515,3780,3780
1541956127,3802,3802
1541959727,3822,3822
1541963321,3832,3832
1541966925,3841,3841
1541970532,3842,3842
1541974131,3844,3844
1541977730,3846,3846
1541981334,3837,3837
1541984935,3836,3836
1541988526,3834,3834
1541992122,3844,3844
1541995721,3851,3851
1541999320,3849,3849
1542002918,3836,3836
1542006515,3826,3826
1542010130,3821,3821
1542013726,3825,3825
1542017333,3828,3828
1542020927,3840,3840
1542024518,3833,3833
1542028121,3862,3862
1542031718,3859,3859
