DateTime,AddedIPs,RemovedIPs
1541253959,13,14
1541257567,14,7
1541261169,7,14
1541264776,3,6
1541268368,8,9
1541271972,6,4
1541275569,11,10
1541279166,5,8
1541282764,3,7
1541286367,8,4
1541289967,3,4
1541293568,1,4
1541297175,4,5
1541300767,3,5
1541304395,4,5
1541307966,9,7
1541311561,7,14
1541315165,3,9
1541318782,15,6
1541322371,7,7
1541325968,7,12
1541329563,5,11
1541333166,8,5
1541336762,13,10
1541340369,11,12
1541343964,10,20
1541347622,6,10
1541351227,9,7
1541354816,3,9
1541358372,15,9
1541361969,3,8
1541365569,3,3
1541369173,5,5
1541372776,3,5
1541376366,4,6
1541379975,6,4
1541383585,8,6
1541387165,3,12
1541390772,8,8
1541394364,3,25
1541397960,5,20
1541401560,19,26
1541405158,11,28
1541408767,16,26
1541412360,8,23
1541415981,7,28
1541419574,6,20
1541423168,1,21
1541426765,3,20
1541430356,3,14
1541433968,3,22
1541437553,4,12
1541441159,5,21
1541444762,4,13
1541448356,2,11
1541451965,2,14
1541455572,1,8
1541459161,1,5
1541462755,3,2
1541466360,1,5
1541469957,4,5
1541473557,1,0
1541477155,5,2
1541480746,2,6
1541484361,6,19
1541487957,3,15
1541491552,3,24
1541495159,2,20
1541498747,6,28
1541502352,2,30
1541505941,4,31
1541509543,8,16
1541513137,2,20
1541516743,2,17
1541520353,6,14
1541523936,3,16
1541527540,2,16
1541531139,4,12
1541534737,2,8
1541538358,2,8
1541541940,4,8
1541545547,5,7
1541549141,1,4
1541552737,4,0
1541556333,2,9
1541559936,0,7
1541563537,3,16
1541567145,1,25
1541570729,5,19
1541574342,5,20
1541577928,1,26
1541581540,2,19
1541585128,4,18
1541588731,2,26
1541592329,3,19
1541595920,3,37
1541599523,6,102
1541603118,2,19
1541606724,6,11
1541610320,3,7
1541613931,8,9
1541617526,2,12
1541621135,1,6
1541624744,2,5
1541628348,2,5
1541631922,0,2
1541635533,2,4
1541639133,13,4
1541642719,4,14
1541646321,1,14
1541649933,1,8
1541653517,2,12
1541657107,4,13
1541660736,4,10
1541664321,6,17
1541667925,1,21
1541671524,6,20
1541675125,2,22
1541678732,11,12
1541682313,4,22
1541685914,1,22
1541689520,3,9
1541693142,5,16
1541696736,7,10
1541700323,5,11
1541703916,2,10
1541707520,3,4
1541711126,0,3
1541714734,4,8
1541718320,3,6
1541721927,2,7
1541725515,5,3
1541729120,1,4
1541732731,2,3
1541736326,3,8
1541739924,3,10
1541743534,8,9
1541747134,4,4
1541750733,5,14
1541754339,9,9
1541757931,6,8
1541761528,3,11
1541765116,2,7
1541768711,3,3
1541772309,1,9
1541775909,1,6
1541779518,1,8
1541783113,5,7
1541786712,2,9
1541790305,1,3
1541793918,2,10
1541797508,2,4
1541801112,1,11
1541804715,1,4
1541808318,1,4
1541811921,0,4
1541815513,2,6
1541819117,2,7
1541822721,0,5
1541826305,3,6
1541829907,5,5
1541833513,6,15
1541837102,4,14
1541840708,1,8
1541844322,3,11
1541847905,2,12
1541851500,3,10
1541855107,0,8
1541858699,5,16
1541862301,7,12
1541865912,3,9
1541869510,3,2
1541873100,2,7
1541876720,3,9
1541880311,2,13
1541883923,3,4
1541887523,1,1
1541891108,0,9
1541894730,1,3
1541898365,2,3
1541901979,1,2
1541905558,2,5
1541909170,2,6
1541912764,1,8
1541916355,1,3
1541919898,4,5
1541923550,3,13
1541927094,3,8
1541930700,2,8
1541934295,4,7
1541937897,0,7
1541941504,3,13
1541945104,4,8
1541948690,3,12
1541952304,2,5
1541955908,1,11
1541959504,2,1
1541963106,1,13
1541966701,3,7
1541970308,9,4
1541973908,0,4
1541977509,1,4
1541981109,1,4
1541984700,2,5
1541988312,1,7
1541991898,2,4
1541995506,1,8
1541999104,7,2
1542002694,8,7
1542006297,5,18
1542009904,6,16
1542013496,5,17
1542017108,7,9
1542020704,3,7
1542024299,0,9
1542027900,4,3
1542031497,4,2
1542035117,4,4
1542038704,1,2
1542042303,3,6
1542045895,0,6
1542049499,3,4
1542053110,4,3
1542056716,12,0
1542060313,14,2
1542063907,12,3
1542067508,7,6
1542071106,15,0
1542074710,14,3
1542078300,10,2
1542081907,14,5
1542085502,16,1
1542089119,25,1
1542092718,26,4
1542096320,23,4
1542099927,25,2
1542103530,24,3
1542107119,29,7
1542110712,17,3
1542114314,21,4
1542117921,29,1
1542121514,29,3
1542125122,17,2
1542128726,14,5
1542132339,13,2
1542135927,12,1
1542139526,3,1
1542143133,6,0
1542146718,5,5
1542150324,4,4
1542153926,5,0
1542157510,8,6
1542161114,2,1
1542164717,5,2
1542168322,7,1
1542171918,6,3
1542175510,3,4
1542179124,3,5
1542182778,9,1
1542186321,2,4
1542189907,2,2
1542193515,5,4
1542197117,6,0
1542200711,6,6
1542204311,4,6
1542207913,7,2
1542211518,7,6
1542215116,3,4
1542218723,2,8
1542222321,4,3
1542225926,8,1
1542229516,5,1
1542233123,1,2
1542236724,0,1
1542240327,1,2
1542243925,11,12
1542247527,4,4
1542251126,2,2
1542254723,2,2
1542258327,1,2
1542261922,0,4
1542265528,1,4
1542269138,4,4
1542272724,3,1
1542276327,3,5
1542279925,3,4
1542283519,1,7
1542287126,4,5
1542290722,1,1
1542294324,2,4
1542297930,4,5
1542301530,5,7
1542305125,6,4
1542308720,3,2
1542312329,4,4
1542315924,4,1
1542319515,1,2
1542323113,0,5
1542326719,0,1
1542330324,7,3
1542333929,3,1
1542337567,0,3
1542341173,0,2
1542344777,1,2
1542348367,2,4
1542351949,0,3
1542355549,0,3
1542359130,1,4
1542362731,1,6
1542366335,1,3
1542369958,1,1
1542373524,5,1
1542377118,3,0
1542380712,1,1
1542384327,4,1
1542387929,4,5
1542391510,2,1
1542395122,4,2
1542398725,0,1
1542402318,5,1
1542405920,4,1
1542409506,1,2
1542413113,4,0
1542416735,2,3
1542420317,1,1
1542423911,2,3
1542427522,2,0
1542431123,1,3
1542434727,0,6
1542438340,1,4
1542441934,5,4
1542445522,3,6
1542449128,1,4
1542452733,3,3
1542456320,5,5
1542459914,5,1
1542463530,9,5
1542467117,4,5
1542470709,1,12
1542474319,6,2
1542477927,2,2
1542481517,2,3
1542485117,3,2
1542488730,3,2
1542492320,1,1
1542495924,0,1
1542499529,2,0
1542503120,2,3
1542506722,2,1
1542510324,2,0
1542513926,2,2
1542517522,1,1
1542521123,0,2
1542524725,1,4
1542528314,3,5
1542531927,1,4
