DateTime,AddedIPs,RemovedIPs
1541356265,95,93
1541361813,97,88
1541363547,87,99
1541367066,90,107
1541370673,74,112
1541374305,54,119
1541377864,94,108
1541379673,0,9
1541381477,86,84
1541386865,42,88
1541388672,81,99
1541392275,100,95
1541395865,69,87
1541399500,96,63
1541403064,69,57
1541404873,81,71
1541410265,81,77
1541413889,98,69
1541419271,79,63
1541421079,75,53
1541424704,84,72
1541428282,68,68
1541431882,81,69
1541433673,69,81
1541435473,155,117
1541439087,98,79
1541442733,102,83
1541446290,109,99
1541449865,93,97
1541453464,104,106
1541455425,106,104
1541457080,163,202
1541462474,69,149
1541466103,113,95
1541467873,91,84
1541471472,48,84
1541475065,69,96
1541478686,85,122
1541482295,77,81
1541485903,98,68
1541489468,89,70
1541494885,65,74
1541498502,91,56
1541500353,82,82
1541503895,75,69
1541509296,120,126
1541511077,197,184
1541514684,99,70
1541518282,56,80
1541523672,97,79
1541525492,95,82
1541529093,100,74
1541532760,103,87
1541536321,105,86
1541539864,101,117
1541545307,82,125
1541547067,61,127
1541550668,103,103
1541554313,90,83
1541556149,48,83
1541563339,84,110
1541565067,87,107
1541566869,107,87
1541568676,156,183
1541572267,85,51
1541575906,90,78
1541581277,86,78
1541583084,74,75
1541584875,97,83
1541590271,85,57
1541593912,81,79
1541597465,83,60
1541602902,82,90
1541604667,178,237
1541606477,259,192
1541608271,97,79
1541610072,88,80
1541615476,90,78
1541619093,116,90
1541622668,260,391
1541624465,437,284
1541626283,80,101
1541628194,99,119
1541633475,66,141
1541639020,116,107
1541640676,79,107
1541644279,45,75
1541647872,75,107
1541651490,91,109
1541653280,76,79
1541658693,106,64
1541662302,98,61
1541665863,79,67
1541669469,61,72
1541671271,67,85
1541676748,79,45
1541680277,74,55
1541683889,81,70
1541689287,71,78
1541691066,90,75
1541694743,79,70
1541696563,89,84
1541698264,84,89
1541700139,89,84
1541701867,95,87
1541705470,114,94
1541709070,76,93
1541714480,90,94
1541716279,85,92
1541719865,66,119
1541725273,87,102
1541727085,81,87
1541730665,44,78
1541734289,84,89
1541737873,99,119
1541739675,70,84
1541746873,89,60
1541750475,77,51
1541752273,65,57
1541755868,79,68
1541759486,73,70
1541763069,85,59
1541766687,64,63
1541772143,76,74
1541773967,77,81
1541777468,103,72
1541781067,90,74
1541784665,88,84
1541788267,91,68
1541791864,96,72
1541795468,93,98
1541799142,78,95
1541802672,70,116
1541806295,180,117
1541808064,139,244
1541809964,89,99
1541813475,79,91
1541817111,61,74
1541820688,59,94
1541824281,111,113
1541826065,113,111
1541829664,157,188
1541833271,82,60
1541835070,84,34
1541838671,84,62
1541842273,87,71
1541844106,88,74
1541849495,93,69
1541854865,78,82
1541856752,84,81
1541860276,101,77
1541865691,84,81
1541867534,90,85
1541872879,95,80
1541874746,94,98
1541878279,84,75
1541880064,93,85
1541887282,76,103
1541890947,123,183
1541896266,99,135
1541901690,82,78
1541903481,59,100
1541907140,85,107
1541910685,89,114
1541916111,131,118
1541923292,74,54
1541926871,69,56
1541928680,96,68
1541930476,88,65
1541932271,65,88
1541934074,158,115
1541939480,77,74
1541943068,86,67
1541946670,85,76
1541950292,83,81
1541955667,96,69
1541957468,80,85
1541961112,88,75
1541964683,104,91
1541970082,100,75
1541971864,92,114
1541973673,86,118
1541977286,68,139
1541982669,92,113
1541986272,69,93
1541991708,45,92
1541993475,107,103
1541997132,95,114
1542000675,69,84
1542004273,94,70
1542006076,95,72
1542011483,66,66
1542015073,81,89
1542016872,130,122
1542018670,171,151
1542022267,77,63
1542025907,73,72
1542029474,78,74
1542033065,92,80
1542036678,83,84
1542042095,78,70
1542045667,98,55
1542047525,109,78
1542052868,108,92
1542054720,103,80
1542058268,91,113
1542061880,83,135
1542063701,76,129
1542069068,94,112
1542070876,91,90
1542076270,61,93
1542079911,78,107
1542083481,79,124
1542087129,100,84
1542090670,98,60
1542092516,88,68
1542099670,84,74
1542101467,82,72
1542103274,72,82
1542105081,132,114
1542108683,74,60
1542112268,78,62
1542115907,88,68
1542121280,69,88
1542123086,69,78
1542128471,104,65
1542130275,101,104
1542135700,131,79
1542137482,119,99
1542141098,99,88
1542144679,113,99
1542148296,87,126
1542151898,70,132
1542153683,229,128
1542155506,179,302
1542159073,94,100
1542162668,53,84
1542168078,84,108
1542169887,91,112
1542173467,89,93
1542177151,102,72
1542179154,84,70
1542184343,73,82
1542187880,80,66
1542191472,87,56
1542195086,87,72
1542198690,67,79
1542200473,73,66
1542205865,89,78
1542209483,65,90
1542213071,87,82
1542216685,87,75
1542222077,104,84
1542223865,102,90
1542225676,110,98
1542232877,108,104
1542234675,72,89
1542238286,66,135
1542243698,120,100
1542245468,88,88
1542250889,61,75
1542254465,79,106
1542256277,87,120
1542259872,80,83
1542263473,90,60
1542267105,86,59
1542272475,79,80
1542274303,82,77
1542277864,72,62
1542281468,79,57
1542286908,74,75
1542290472,99,80
1542292273,88,98
1542295868,99,87
1542299467,104,83
1542301400,126,159
1542303087,159,126
1542304906,116,81
1542306685,98,101
1542308486,112,81
1542313876,101,109
1542317492,100,104
1542321080,70,115
1542326474,90,129
1542330069,103,115
1542333675,91,95
1542335465,59,87
1542339065,86,90
1542342668,99,129
1542346276,80,81
1542348137,94,61
1542351668,80,65
1542353471,0,3
1542355354,3,0
1542357069,493,470
1542358879,432,503
1542360665,234,152
1542362578,67,80
1542364285,133,112
1542367886,87,72
1542371470,76,80
1542376869,84,76
1542378668,81,82
1542382275,66,63
1542385876,94,98
1542389470,87,83
1542393071,106,70
1542396664,93,88
1542402126,162,157
1542409291,82,114
1542411066,62,115
1542414671,105,109
1542416466,101,87
1542421917,52,83
1542425501,71,100
1542429066,97,113
1542432692,74,76
1542434473,92,66
1542438075,65,44
1542441730,44,65
1542443479,122,87
1542447068,96,59
1542450693,84,70
1542454270,99,70
1542457867,86,81
1542459669,103,91
1542465091,81,95
1542468685,82,76
1542472276,80,89
1542475871,96,89
1542481309,100,76
1542483065,90,98
1542486669,88,97
1542490276,78,89
1542493888,64,98
1542497483,55,124
1542501067,97,78
1542502875,78,97
1542504669,157,153
1542508355,45,91
1542513700,76,94
1542517295,74,96
1542519081,73,77
1542522674,89,56
1542526266,71,45
1542529879,70,50
1542533481,82,50
1542537073,105,84
1542540671,91,85
1542544279,92,81
1542547971,79,64
1542551466,79,68
1542555076,86,77
1542560468,89,75
1542562290,121,84
1542565893,98,89
1542569473,104,92
1542573084,73,100
1542576677,78,117
1542580286,81,116
1542583885,70,126
1542587486,91,112
1542591077,82,85
1542594681,50,72
1542598264,75,109
1542600079,100,120
1542605469,66,81
1542609088,91,68
1542612845,78,61
1542616266,83,63
1542619871,82,64
1542625270,73,69
1542627065,78,60
1542630704,84,68
1542634281,73,67
1542637870,76,81
1542643283,81,70
1542645080,77,77
1542646880,77,77
1542650472,197,158
1542655936,99,90
1542659475,106,97
