DateTime,AddedIPs,RemovedIPs
1542259829,26,0
1542260428,14,0
1542261328,11,0
1542263734,20,0
1542264627,1,0
1542266133,4,0
1542267034,8,0
1542267633,11,0
1542268529,1,0
1542269429,2,0
1542270030,3,0
1542271229,7,0
1542272132,2,0
1542273032,1,0
1542273937,17,0
1542274835,20,0
1542275433,12,0
1542277534,4,0
1542278437,6,0
1542279333,3,0
1542280236,3,0
1542282032,8,0
1542283535,1,0
1542284436,1,0
1542285637,6,0
1542287437,8,0
1542289236,4,0
1542291035,16,0
1542291637,17,0
1542292832,2,0
1542294332,2,0
1542296435,6,0
1542297637,4,0
1542299136,2,0
1542300033,10,0
1542300637,1,0
1542301536,1,0
1542302134,0,12
1542302739,1,0
1542303334,19,0
1542304533,8,0
1542305436,4,0
1542306037,38,0
1542306936,4,0
1542307838,1,0
1542309332,1,0
1542309637,4,1
1542310836,10,0
1542311736,1,0
1542312636,23,0
1542312938,17,0
1542313234,4,0
1542313836,18,0
1542314137,106,0
1542315037,32,0
1542316234,5,0
1542317136,339,0
1542318933,7,0
1542319837,1,0
1542320737,1,0
1542321936,72,0
1542324937,5,0
1542325837,6,0
1542327032,6,0
1542327636,4,0
1542328837,5,0
1542329437,6,0
1542330635,1,0
1542331236,2,0
1542332136,2,0
1542333937,4,0
1542335736,25,0
1542336936,4,0
1542337836,1,0
1542339336,7,0
1542340538,2,0
1542341137,6,0
1542342337,7,0
1542342936,28,0
1542344136,6,0
1542345032,1,0
1542345630,1,0
1542346530,14,0
1542347729,5,0
1542348631,4,0
1542349231,39,0
1542350129,4,0
1542351035,5,0
1542352230,1,0
1542352833,1,0
1542354030,7,0
1542354633,1,0
1542355827,15,0
1542356732,17,0
1542357628,7,0
1542358531,4,0
1542359432,1,0
1542361228,5,0
1542362135,2,0
1542365436,2,0
1542366329,1,0
1542367234,3,0
1542368133,10,0
1542369330,1,0
1542370838,2,0
1542371733,4,0
1542374436,5,0
1542375339,4,0
1542376533,4,0
1542377436,11,0
1542378333,7,0
1542379232,7,0
1542379835,383,0
1542380434,14,2
1542381333,55,0
1542382838,2,0
1542383434,2,0
1542384035,0,12
1542384332,2,0
1542385235,1,0
1542388230,6,0
1542390033,6,0
1542390634,4,0
1542391537,1,0
1542393029,1,0
1542393627,25,0
1542394231,18,0
1542396929,2,0
1542400833,5,0
1542401733,0,5
1542402634,1,0
1542403236,2,0
1542404137,1,0
1542405035,1,0
1542405934,11,0
1542406535,86,0
1542406839,137,0
1542407736,5,0
1542411634,5,0
1542412834,4,0
1542414031,1,0
1542415235,3,0
1542415835,1,0
1542416737,1,0
1542418837,2,0
1542419736,1,0
1542420338,10,0
1542422437,1,0
1542424236,1,0
1542425132,2,0
1542426037,6,0
1542427537,1,0
1542428437,5,0
1542429330,9,0
1542431431,11,0
1542432031,16,0
1542432928,15,0
1542434129,1,0
1542436827,33,0
1542437734,1,0
1542439230,2,0
1542440127,2,0
1542441336,1,0
1542442834,1,0
1542443729,5,0
1542445830,10,0
1542446432,5,0
1542447337,8,0
1542447635,0,1
1542448234,4,0
1542449729,15,0
1542450029,1,0
1542450935,5,0
1542453637,9,0
1542454832,1,0
1542458433,3,0
1542460837,3,0
1542462036,6,0
1542463536,1,0
1542465037,276,0
1542468337,0,2
1542468636,0,7
1542468936,0,6
1542469235,0,5
1542469537,0,2
1542469834,0,4
1542470438,0,11
1542470733,0,7
1542471334,0,16
1542472531,2,0
1542473737,122,0
1542476435,13,0
1542477333,5,0
1542478234,2,0
1542478837,30,0
1542479437,18,0
1542479734,15,0
1542480632,8,0
1542483331,7,0
1542484537,15,0
1542486036,1,0
1542486936,4,0
1542487836,4,0
1542488437,0,5
1542489637,1,0
1542490837,264,0
1542492336,1,0
1542493233,1,0
1542494132,5,0
1542495336,9,0
1542497737,5,0
1542498638,4,0
1542499537,2,0
1542500429,9,0
1542501334,2,0
1542502231,1,0
1542504636,78,0
1542505237,3,0
1542506136,1,0
1542507036,5,0
1542507937,2,0
1542508533,3,0
1542510037,3,0
1542511237,9,0
1542512134,3,0
1542515132,1,0
1542516036,12,0
1542516635,15,0
1542517832,7,0
1542518435,3,0
1542519626,2,0
1542520229,3,0
1542521728,2,0
1542522029,1,0
1542522931,6,0
1542524136,1,0
1542524728,1,0
1542525628,14,0
1542526832,6,0
1542527736,1,0
1542528631,2,0
1542530132,6,0
1542531329,3,0
1542532828,6,0
1542534035,2,0
1542534931,4,0
1542536433,3,0
1542537328,2,0
1542539429,2,0
1542540038,1,0
1542544836,1,0
1542548437,3,0
1542549336,10,0
1542550236,8,0
1542550838,11,0
1542551732,6,0
1542552936,8,0
1542553537,1,0
1542554436,1,0
1542555030,247,0
1542555634,1,0
1542556236,1,0
1542558030,5,0
1542559828,1,2
1542561634,4,0
1542562836,5,0
1542565237,1,0
1542566431,15,0
1542567040,7,0
1542571533,1,0
1542573637,2,0
1542574831,1,0
1542576328,1,0
1542576930,1,0
1542579633,5,0
1542584430,1,0
1542585027,2,0
1542586836,1,0
1542589833,1,0
1542591636,5,0
1542592237,2,0
1542593133,5,0
1542594934,1,0
1542596737,1,0
1542598836,10,0
1542600336,2,0
1542601232,17,0
1542602436,15,0
1542603032,8,0
1542606029,8,0
1542607231,27,0
1542607528,4,0
1542608428,3,0
1542609633,9,0
1542612930,16,0
1542614128,83,0
1542615028,1,0
1542615930,2,0
1542616828,1,0
1542617427,1,0
1542618633,2,0
1542620128,11,0
1542621034,3,0
1542622537,0,2
1542623731,15,0
1542626438,1,0
1542627634,8,0
1542630936,16,0
1542631237,0,3
