DateTime,AddedIPs,RemovedIPs
1542811538,1,0
1542812137,4,0
1542812439,1,0
1542813038,2,0
1542813339,1,0
1542813638,2,0
1542813939,1,0
1542814838,1,0
1542815139,1,0
1542815438,2,0
1542816039,6,0
1542816334,3,0
1542816933,1,0
1542817235,2,0
1542817838,4,0
1542818138,1,0
1542819041,5,0
1542819340,1,0
1542819639,1,0
1542820237,2,0
1542820838,3,0
1542821138,3,0
1542821440,1,0
1542822038,1,0
1542822639,5,0
1542823239,1,0
1542823838,2,0
1542824138,1,0
1542824437,1,0
1542825338,3,0
1542825636,1,0
1542825939,1,0
1542826533,1,0
1542826838,2,0
1542827138,2,0
1542828338,5,0
1542828632,2,0
1542828935,2,0
1542829228,2,0
1542829538,2,0
1542829832,2,0
1542830433,1,0
1542831329,4,0
1542831633,2,0
1542832237,6,0
1542832837,2,0
1542833137,2,0
1542833432,3,0
1542833736,3,0
1542834631,3,0
1542835231,4,0
1542835530,4,0
1542836135,2,0
1542836430,5,0
1542837034,5,0
1542837329,1,0
1542837637,2,0
1542837935,1,0
1542838534,2,0
1542838835,1,0
1542839138,2,0
1542839434,1,0
1542840338,1,0
1542840932,8,0
1542841238,1,0
1542841828,4,0
1542844830,9,0
1542845431,3,0
1542846035,1,0
1542846334,2,0
1542846631,2,0
1542846933,1,0
1542847234,3,0
1542847540,3,0
1542847838,4,0
1542848439,2,0
1542849335,1,0
1542849638,3,0
1542850239,3,0
1542850536,1,0
1542851139,3,0
1542851438,2,0
1542851738,1,0
1542852036,5,0
1542852637,5,0
1542852938,1,0
1542853236,3,0
1542854137,1,0
1542854438,1,0
1542855038,2,0
1542855639,2,0
1542856535,4,0
1542857438,1,0
1542874829,1,0
1542875133,3,0
1542875428,3,0
1542875730,1,0
1542876030,1,0
1542876331,3,0
1542876633,2,0
1542876930,1,0
1542877232,1,0
1542877830,2,0
1542879331,2,0
1542879632,2,0
1542880831,4,0
1542881137,3,0
1542881737,1,0
1542882037,2,0
1542882639,4,0
1542882934,4,0
1542883232,1,0
1542883533,1,0
1542885037,3,0
1542886238,3,0
1542886831,3,0
1542887133,2,0
1542887432,2,0
1542887731,1,0
1542888033,3,0
1542888633,6,0
1542888935,1,0
1542889240,1,0
1542889835,4,0
1542890438,3,0
1542890736,1,0
1542891036,2,0
1542891639,4,0
1542892538,3,1
1542893438,3,0
1542893738,3,0
1542894039,2,0
1542894339,1,0
1542894638,2,0
1542894938,4,0
1542895236,2,0
1542895537,1,0
1542895833,2,0
1542896437,3,0
1542896737,2,0
1542897634,4,0
1542898238,3,0
1542898537,2,0
1542899439,1,0
1542900035,2,0
1542900338,3,0
1542900640,1,0
1542900937,1,0
1542901237,1,0
1542901838,2,0
1542902440,2,0
1542902738,2,0
1542903338,3,0
1542903938,4,0
1542904537,4,0
1542905738,2,0
1542906040,2,0
1542906638,3,0
1542906939,1,0
1542907237,1,0
1542907537,1,0
1542907836,2,0
1542908138,3,0
1542908438,4,0
1542908739,2,0
1542909038,1,0
1542909333,4,0
1542909639,2,0
1542909937,1,0
1542910533,3,0
1542911129,2,0
1542911729,3,0
1542912636,1,0
1542913232,6,0
1542913530,3,0
1542914137,2,0
1542915033,1,0
1542915633,1,0
1542915928,2,0
1542916232,0,8186
1542916531,4,0
1542916833,1,0
1542917430,4,0
1542918034,2,0
1542918338,3,0
1542918636,3,0
1542918935,3,0
1542919235,2,0
1542919835,1,0
1542920440,4,0
1542920738,1,0
1542921038,1,0
1542921636,1,0
1542922235,6,0
1542922840,6,0
1542923131,3,0
1542923438,2,0
1542924037,1,0
1542924338,1,0
1542924637,3,0
1542924938,1,0
1542925239,1,0
1542925539,3,0
1542926135,4,0
1542926439,2,0
1542927037,3,0
1542927338,1,0
1542927640,2,0
1542927939,1,0
1542928537,5,0
1542928835,2,0
1542929438,7,0
1542930039,4,0
1542930338,4,0
1542930639,1,0
1542930938,2,0
1542931236,2,0
1542931830,3,0
1542932134,2,0
1542932437,1,0
1542933037,5,0
1542933335,2,0
1542933630,1,0
1542934229,3,0
1542934830,5,0
1542935133,5,0
1542935441,1,0
1542935733,1,0
1542936037,4,0
1542936631,7,0
1542936937,2,0
1542937235,1,0
1542937538,3,0
1542938137,4,0
1542938439,3,0
1542939036,3,0
1542939638,9,0
1542939938,2,0
1542940240,2,0
1542940538,2,0
1542940839,1,0
1542941440,5,0
1542942039,3,0
1542942338,2,0
1542942638,6,0
1542943239,2,0
1542944137,4,0
1542944439,5,0
1542945037,8,0
1542945639,5,0
