DateTime,Entries,UniqueIPs
1542811538,27432,101499
1542812137,27436,101503
1542812439,27437,101504
1542813038,27439,101506
1542813339,27440,101507
1542813638,27442,101509
1542813939,27443,101510
1542814838,27444,101511
1542815139,27445,101512
1542815438,27447,101514
1542816039,27453,101520
1542816334,27456,101523
1542816933,27457,101524
1542817235,27459,101526
1542817838,27463,101530
1542818138,27464,101531
1542819041,27469,101536
1542819340,27470,101537
1542819639,27471,101538
1542820237,27473,101540
1542820838,27476,101543
1542821138,27479,101546
1542821440,27480,101547
1542822038,27481,101548
1542822639,27486,101553
1542823239,27487,101554
1542823838,27489,101556
1542824138,27490,101557
1542824437,27491,101558
1542825636,27494,101561
1542825636,27495,101562
1542825939,27496,101563
1542826533,27497,101564
1542826838,27499,101566
1542827138,27501,101568
1542828338,27506,101573
1542828632,27508,101575
1542828935,27510,101577
1542829228,27512,101579
1542829538,27514,101581
1542829832,27516,101583
1542830433,27517,101584
1542831329,27521,101588
1542831633,27523,101590
1542832237,27529,101596
1542832837,27531,101598
1542833137,27533,101600
1542833432,27536,101603
1542833736,27539,101606
1542834631,27542,101609
1542835231,27546,101613
1542835530,27550,101617
1542836135,27551,101619
1542836430,27556,101624
1542837034,27561,101629
1542837329,27562,101630
1542837637,27564,101632
1542837935,27565,101633
1542838534,27567,101635
1542838835,27568,101636
1542839138,27570,101638
1542839434,27571,101639
1542840338,27572,101640
1542840932,27580,101648
1542841238,27581,101649
1542841828,27585,101653
1542844830,27593,101662
1542845431,27596,101665
1542846035,27597,101666
1542846334,27599,101668
1542846631,27601,101670
1542846933,27602,101671
1542847234,27605,101674
1542847540,27608,101677
1542847838,27612,101681
1542848439,27614,101683
1542849335,27615,101684
1542849638,27618,101687
1542850239,27621,101690
1542850536,27622,101691
1542851139,27625,101694
1542851438,27627,101696
1542851738,27628,101697
1542852036,27633,101702
1542852637,27638,101707
1542852938,27639,101708
1542853236,27642,101711
1542854137,27643,101712
1542854438,27644,101713
1542855038,27646,101715
1542855639,27648,101717
1542856535,27652,101721
1542857438,27653,101722
1542874829,27654,101723
1542875133,27657,101726
1542875428,27660,101729
1542875730,27661,101730
1542876030,27662,101731
1542876331,27665,101734
1542876633,27667,101736
1542876930,27668,101737
1542877232,27669,101738
1542877830,27671,101740
1542879331,27673,101742
1542879632,27674,101744
1542880831,27678,101748
1542881137,27681,101751
1542881737,27682,101752
1542882037,27684,101754
1542882639,27688,101758
1542882934,27692,101762
1542883232,27693,101763
1542883533,27694,101764
1542885037,27697,101767
1542886238,27700,101770
1542886831,27703,101773
1542887133,27705,101775
1542887432,27707,101777
1542887731,27708,101778
1542888033,27711,101781
1542888633,27717,101787
1542888935,27718,101788
1542889240,27719,101789
1542889835,27723,101793
1542890438,27726,101796
1542890736,27727,101797
1542891036,27729,101799
1542891639,27732,101803
1542892538,27734,101805
1542893438,27737,101808
1542893738,27740,101811
1542894039,27742,101813
1542894339,27743,101814
1542894638,27745,101816
1542894938,27749,101820
1542895236,27751,101822
