DateTime,AddedIPs,RemovedIPs
1542830736,7,0
1542831328,4,0
1542831632,1,0
1542832236,9,0
1542832531,1,0
1542832837,3,0
1542833137,5,0
1542833431,3,0
1542833735,6,0
1542834035,2,0
1542834631,6,0
1542835230,6,0
1542835530,4,0
1542836134,163,0
1542836429,4,0
1542837329,2,0
1542837636,2,0
1542837934,3,0
1542838533,6,0
1542838834,1,0
1542839138,5,0
1542839434,4,0
1542840035,3,0
1542840337,1,0
1542840931,6,0
1542841238,2,0
1542841828,3,0
1542844829,25,0
1542845430,2,0
1542846034,6,0
1542846333,4,0
1542846630,0,3
1542846933,1,1
1542847234,4,0
1542847539,2,0
1542847837,1,0
1542848438,9,0
1542848737,3,0
1542849334,2,0
1542849637,6,0
1542850238,4,0
1542850535,2,0
1542850837,2,0
1542851138,3,0
1542851437,2,0
1542851737,2,0
1542852035,3,0
1542852338,3,0
1542852637,2,0
1542852937,2,0
1542853538,2,0
1542854136,6,0
1542855037,7,0
1542855638,2,0
1542855936,1,0
1542856535,5,0
1542856836,1,0
1542857437,3,0
1542858038,1,0
1542864632,45,0
1542875132,3,0
1542875729,3,0
1542876029,2,0
1542876330,4,0
1542876929,4,0
1542877231,5,0
1542877829,7,0
1542878428,1,0
1542878727,4,0
1542879330,4,0
1542879930,3,0
1542880231,4,0
1542880831,4,0
1542881736,4,0
1542882036,1,0
1542882638,7,0
1542882933,5,0
1542883232,3,0
1542883532,3,0
1542884133,5,0
1542884437,3,1
1542885036,6,0
1542885338,17,0
1542885635,3,0
1542886238,10,0
1542886831,3,0
1542887132,6,0
1542887731,4,0
1542888032,3,0
1542888632,7,0
1542888934,1,0
1542889239,3,0
1542889535,2,0
1542889834,2,0
1542890136,1,0
1542890437,1,0
1542890735,5,0
1542891035,1,0
1542891638,1,0
1542891938,4,0
1542892537,5,0
1542892834,3,0
1542893437,8,0
1542893737,3,0
1542894038,3,0
1542894339,6,0
1542894637,1,0
1542894937,2,0
1542895236,2,0
1542895536,3,0
1542895832,1,0
1542896436,5,0
1542896736,3,0
1542897031,1,0
1542897338,5,0
1542897634,1,0
1542898238,5,0
1542898536,2,0
1542898838,4,0
1542899439,10,0
1542900034,2,0
1542900337,4,0
1542900639,2,0
1542900936,1,0
1542901236,4,0
1542901537,3,0
1542901837,1,0
1542902439,8,0
1542902737,5,0
1542903337,5,0
1542903937,2,0
1542904537,8,0
1542905137,9,0
1542905738,10,4
1542906039,1,0
1542906637,2,0
1542906938,3,0
1542907236,2,0
1542907536,6,0
1542907836,5,0
1542908137,2,0
1542908437,6,0
1542908738,4,0
1542909037,3,0
1542909333,9,0
1542909638,1,0
1542909936,5,0
1542910532,5,0
1542911128,6,0
1542911729,8,0
1542912031,2,0
1542912635,5,0
1542913231,6,0
1542913529,8,0
1542914136,5,0
1542914430,2,0
1542914728,2,0
1542915032,2,0
1542915632,5,0
1542915927,6,0
1542916231,3,0
1542916530,3,0
1542916833,3,0
1542917429,9,0
1542917736,5,0
1542918034,1,0
1542918337,2,0
1542918635,2,0
1542918934,4,0
1542919235,6,0
1542919834,9,0
1542920439,5,0
1542920738,4,0
1542921037,1,0
1542921334,2,0
1542921636,4,0
1542922234,5,0
1542922539,1,0
1542923130,5,0
1542923438,2,0
1542923728,2,0
1542924036,2,0
1542924337,3,0
1542924636,3,0
1542924937,8,0
1542925239,4,0
1542925538,6,0
1542926134,10,0
1542926438,1,0
1542927036,7,0
1542927337,6,0
1542927639,3,0
1542927938,1,0
1542928536,6,0
1542928834,2,0
1542929437,5,0
1542930038,5,0
1542930338,2,0
1542930638,2,0
1542930937,5,0
1542931236,4,0
1542931830,8,0
1542932133,4,0
1542932436,3,0
1542933037,11,0
1542933334,1,0
1542933630,1,0
1542934229,4,0
1542934830,7,0
1542935132,16,0
1542935440,3,0
1542935732,4,0
1542936037,3,0
1542936630,5,0
1542936936,1,0
1542937234,2,0
1542937537,5,0
1542937838,3,0
1542938136,2,0
1542938438,3,0
1542938734,4,0
1542939035,1,0
1542939637,5,0
1542939937,4,0
1542940239,1,0
1542940537,5,0
1542940838,4,0
1542941439,5,0
1542941737,2,0
1542942038,4,0
1542942337,2,0
1542943238,11,0
1542943536,1,0
1542944136,5,0
1542944438,1,0
1542945036,3,0
1542945638,7,0
1542945938,2,0
1542946536,7,0
1542946835,4,0
1542947438,0,1
1542947733,7,0
1542948038,4,0
1542948630,3,0
1542948934,2,0
1542949233,2,0
1542949531,2,0
1542949831,2,0
1542950431,4,0
1542950731,4,0
1542951030,4,0
1542951329,4,0
1542951627,5,0
1542952230,1,0
1542952832,6,0
1542953128,5,0
1542953728,6,0
1542954028,4,0
1542954335,1,0
1542954628,4,0
1542955231,2,0
1542955528,3,0
1542955831,1,0
1542956428,2,0
1542957026,7,0
1542957629,5,0
1542957930,3,0
1542958231,5,0
1542958527,1,0
1542959436,7,0
1542960029,4,0
1542960337,7,0
1542960937,5,0
1542961237,1,0
1542961834,6,0
1542962134,2,0
1542962432,3,0
1542963036,1,0
1542963330,4,0
1542963631,4,0
1542963932,2,0
1542964228,3,0
1542964537,3,0
1542964838,2,0
1542965133,4,0
1542965728,4,0
1542966629,4,0
1542967229,9,0
1542967531,2,0
1542967827,4,0
1542968128,1,0
1542968428,3,0
1542969030,6,0
1542969633,8,0
1542969928,5,0
1542970537,13,0
1542970833,1,0
1542971434,1,0
1542971732,2,0
1542972038,3,0
1542972635,2,0
1542972937,2,0
1542973232,1,0
1542973536,2,0
1542974436,6,0
1542974733,3,0
1542975332,6,0
1542975637,5,0
1542976238,11,0
1542976537,6,0
1542976839,3,0
1542977137,3,0
1542977438,3,0
1542977737,7,0
1542978040,5,0
1542978338,4,0
1542978638,3,0
1542978937,3,0
1542979238,2,0
1542979537,4,0
1542980137,8,0
1542980437,3,0
1542981038,6,0
1542981338,9,0
1542981639,3,0
1542981937,2,0
1542982537,8,0
1542983137,8,0
1542983737,7,0
1542984038,4,0
1542984337,5,0
1542984937,3,0
1542985238,1,0
1542985537,4,0
1542986137,6,0
1542986438,4,0
1542987037,4,0
1542987336,3,0
1542987638,3,0
1542987938,3,0
1542988238,1,0
1542988537,3,0
1542988839,1,1
1542989437,7,1
1542990039,7,0
1542990337,23,0
1542990937,8,0
1542991237,1,0
1542991837,4,0
1542992137,8,0
1542992439,3,0
1542992738,6,0
1542993037,2,0
1542993639,3,0
1542993940,4,0
1542994237,3,0
1542994539,2,0
1542994837,4,0
1542995434,2,0
1542995730,3,0
1542996334,6,0
1542996932,9,0
1542997530,4,0
1542997830,2,0
1542998128,7,0
1542998730,6,0
1542999031,2,0
1542999332,5,0
1542999632,1,0
1542999935,3,0
1543000527,6,1
1543000835,11,0
1543001431,9,0
1543001732,93,0
1543002033,27,0
1543002332,6,0
1543002931,6,0
1543003234,3,0
1543003832,7,0
1543004439,4,0
1543004737,3,0
1543005038,4,0
1543005335,4,0
1543005628,3,0
1543006234,6,0
1543006528,3,0
1543006829,1,0
1543007138,7,0
1543007729,3,0
1543008034,5,0
1543008335,4,0
1543008638,3,0
1543009228,5,0
1543009537,6,0
1543010437,33,0
1543011036,3,0
1543011336,4,0
1543011631,5,0
1543011937,3,0
1543012537,6,0
1543013134,7,0
1543013729,10,0
1543014338,4,0
1543014937,15,0
1543015234,5,0
1543015836,15,0
1543016132,1,0
1543016432,3,0
1543017034,5,1
1543017628,2,1
1543017931,3,0
1543018530,3,0
1543019132,8,0
1543019732,9,0
1543020028,4,0
1543020635,5,0
1543021230,8,0
1543021531,2,0
1543022131,3,0
1543022434,2,0
1543022741,3,0
1543023633,6,0
1543024529,5,0
1543024834,2,0
1543025433,4,0
1543025736,8,0
1543026333,3,0
1543026934,7,0
1543027233,1,0
1543027838,4,0
1543028434,6,0
1543028737,1,0
1543029334,4,0
1543030238,5,0
1543030537,1,0
1543031138,3,0
1543031734,6,0
1543032033,2,0
1543032637,3,0
1543033236,5,0
1543033534,6,0
1543034133,3,0
1543034433,3,0
1543035030,3,0
1543035635,6,0
1543035929,5,0
1543036534,3,0
1543036829,3,0
1543037433,20,0
1543038030,3,0
1543038329,7,0
1543038630,1,0
1543038935,3,0
1543039230,1,0
1543039829,8,0
1543040132,4,0
1543040432,4,0
1543040732,3,0
1543041034,1,0
1543041338,3,0
1543041928,4,0
1543042230,1,0
1543042828,5,0
1543043130,2,0
1543043729,4,0
1543044028,3,0
1543044629,7,0
1543044935,2,0
1543045233,1,0
1543045531,4,0
1543045830,2,0
1543046432,4,0
1543047036,6,0
1543047633,3,0
1543047935,1,0
1543048533,1,0
1543048831,2,0
1543049437,5,0
1543049732,1,0
