DateTime,AddedIPs,RemovedIPs
1542784234,1,0
1542784838,2,0
1542785436,3,0
1542786330,3,0
1542786633,2,0
1542787235,1,0
1542787529,1,0
1542788128,4,0
1542788431,1,0
1542789030,4,0
1542789334,2,0
1542789635,1,0
1542790235,1,0
1542790535,2,0
1542790829,1,0
1542791134,1,0
1542791431,2,0
1542792032,2,0
1542792629,4,0
1542792929,1,0
1542793227,1,0
1542793830,2,0
1542794129,1,0
1542794430,2,0
1542794728,1,0
1542795030,2,0
1542795333,2,0
1542796231,1,0
1542796830,1,0
1542797734,1,0
1542798035,1,0
1542798633,1,0
1542798933,2,0
1542799230,2,0
1542800129,2,0
1542800430,1,0
1542800730,3,0
1542801030,1,0
1542801634,2,0
1542801937,1,0
1542802536,4,0
1542802830,1,0
1542803431,1,0
1542803737,1,0
1542804035,2,0
1542804332,2,0
1542804629,3,0
1542805234,1,0
1542805831,3,0
1542806438,3,0
1542806736,1,0
1542807039,1,0
1542807638,1,0
1542808237,4,0
1542808532,3,0
1542808837,1,0
1542809137,1,0
1542809737,2,0
1542810637,1,0
1542811238,2,0
1542811538,1,0
1542812136,1,0
1542812438,1,0
1542813037,3,0
1542813338,2,0
1542813638,1,0
1542813939,2,0
1542814238,2,0
1542814537,1,0
1542814838,1,0
1542815138,1,0
1542816038,5,0
1542816932,5,0
1542817234,1,0
1542817837,2,0
1542818137,1,0
1542819041,2,0
1542819638,1,0
1542820236,2,0
1542821137,2,0
1542821439,3,0
1542822037,1,0
1542822638,3,0
1542822937,1,0
1542823238,3,0
1542823837,2,0
1542824137,1,0
1542824437,1,0
1542824733,1,0
1542825337,1,0
1542825635,2,0
1542826533,1,0
1542826837,3,0
1542827137,1,0
1542827435,1,0
1542827733,2,0
1542828034,1,0
1542828631,1,0
1542828934,2,0
1542829227,2,0
1542829831,1,0
1542830433,1,0
1542830736,1,0
1542831328,3,0
1542831632,2,0
1542832236,2,0
1542832837,1,0
1542833431,2,0
1542833735,3,0
1542834631,2,0
1542835230,3,0
1542835530,1,0
1542836134,2,0
1542837033,1,0
1542838834,1,0
1542839138,5,0
1542839434,1,0
1542840035,3,0
1542840337,2,0
1542840931,2,0
1542841828,2,0
1542844829,4,0
1542845430,1,0
1542846333,2,0
1542846933,1,0
1542847234,1,0
1542847539,1,0
1542847837,1,0
1542849334,1,0
1542849637,1,0
1542850238,1,0
1542850535,1,0
1542851138,1,0
1542851437,1,0
1542851737,1,0
1542852035,1,0
1542852338,2,0
1542852637,2,0
1542852937,1,0
1542853538,1,0
1542854136,2,0
1542855038,2,0
1542855638,2,0
1542855936,1,0
1542856535,1,0
1542857437,1,0
1542865228,1,0
1542875132,2,0
1542875428,3,0
1542875729,1,0
1542876029,1,0
1542876330,1,0
1542876929,1,0
1542877231,1,0
1542878428,1,0
1542878727,1,0
1542879330,2,0
1542879632,1,0
1542880231,1,0
1542881136,1,0
1542881736,1,0
1542882638,1,0
1542883232,1,0
1542885036,3,0
1542885635,1,0
1542886238,3,0
1542886831,3,0
1542887431,1,0
1542887731,1,0
1542888032,3,0
1542888632,1,0
1542889239,3,0
1542889535,1,0
1542889834,1,0
1542890437,1,0
1542890735,2,0
1542891638,2,0
1542892537,3,0
1542893737,1,0
1542894937,2,0
1542895236,1,0
1542897031,1,0
1542897634,1,0
1542898238,3,0
1542899439,2,0
1542900936,1,1
1542902439,2,0
1542903337,56,0
1542903937,2,0
1542904537,1,0
1542905738,5,0
1542906039,1,0
1542906637,2,0
1542907237,3,0
1542907536,1,0
1542908137,1,0
1542908437,1,0
1542909037,1,0
1542909333,1,0
1542909936,1,0
1542911128,2,0
1542911729,4,0
1542912635,2,0
1542913231,2,0
1542913529,3,0
1542914136,1,0
1542914430,1,0
1542914728,3,0
1542915032,1,0
1542915632,3,0
1542916530,1,0
1542917429,1,0
1542917736,1,0
1542918034,1,0
1542918337,7,0
1542918635,2,0
1542918934,2,0
1542919235,2,0
1542919834,1,1
1542920439,2,0
1542922234,2,0
1542923438,1,0
1542923728,1,0
1542924036,2,0
1542924337,3,0
1542924636,3,0
1542924937,2,0
1542925239,1,0
1542925538,3,0
1542926135,3,0
1542926438,1,0
1542927036,3,0
1542927337,4,0
1542927639,1,0
1542927938,2,0
1542928536,3,0
1542928834,2,0
1542929437,2,0
1542930038,1,0
1542930638,1,0
1542930937,2,0
1542931236,3,0
1542931830,22,0
1542933037,3,0
1542933630,2,0
1542934229,6,0
1542934830,3,0
1542935132,1,0
1542935440,2,0
1542935732,4,0
1542936037,1,0
1542936630,3,0
1542936936,2,0
1542937235,2,0
1542937537,3,0
1542938137,3,0
1542938438,1,0
1542939035,1,0
1542939937,2,0
1542940239,2,0
1542940838,3,0
1542941439,2,0
1542942337,4,0
1542942637,2,0
1542943238,2,0
1542943536,1,0
1542944136,4,0
1542944438,2,0
1542945036,4,0
1542945638,2,0
1542945938,1,0
1542946536,2,0
1542947438,1,0
1542947733,1,0
1542948630,4,0
1542949234,1,0
1542949831,4,0
1542950731,2,0
1542951030,1,0
1542951627,2,0
1542952230,3,0
1542952832,1,0
1542953128,1,0
1542953728,1,0
1542954028,6,0
1542954335,15,0
1542954628,3,0
1542955231,4,0
1542955528,1,0
1542955831,3,0
1542956130,2,0
1542957026,5,0
1542957629,2,0
1542958231,1,0
1542958527,2,0
1542958827,1,0
1542959436,2,0
1542960337,1,0
1542960937,18,0
1542961237,1,0
1542961834,2,0
1542962134,2,0
1542962432,2,0
1542962735,3,0
1542963036,2,0
1542963330,1,0
1542963631,1,0
1542964537,1,0
1542965133,1,0
1542966629,3,0
1542967229,2,0
1542967827,2,0
1542968128,1,0
1542968428,1,0
1542969030,1,0
1542969633,3,0
1542969928,15,0
1542970537,25,0
1542970833,1,0
1542971434,2,0
1542972636,2,0
1542973838,3,0
1542974436,3,0
1542975332,3,0
1542976238,3,0
1542976537,1,0
1542977137,3,0
1542977438,2,0
1542977737,1,0
1542978040,2,0
1542978338,2,0
1542978638,2,0
1542979238,3,0
1542979537,1,0
1542980137,7,0
1542980437,2,0
