DateTime,Entries,UniqueIPs
1539463200,857,857
1539470400,855,855
1539477600,879,879
1539484800,871,871
1539492000,909,909
1539499200,905,905
1539506400,902,902
1539513600,897,897
1539520800,892,892
1539528000,885,885
1539535200,886,886
1539542400,887,887
1539549600,880,880
1539556800,888,888
1539564000,875,875
1539571200,852,852
1539578400,892,892
1539585600,883,883
1539592800,884,884
1539600000,888,888
1539607200,877,877
1539614400,877,877
1539621600,877,877
1539628800,889,889
1539636000,885,885
1539643200,882,882
1539650400,890,890
1539657600,861,861
1539664800,890,890
1539672000,891,891
1539679200,890,890
1539686400,895,895
1539693600,886,886
1539700800,884,884
1539708000,879,879
1539715200,874,874
1539722400,884,884
1539729600,885,885
1539736800,883,883
1539744000,878,878
1539751200,890,890
1539758400,873,873
1539765600,865,865
1539772800,864,864
1539780000,857,857
1539787200,859,859
1539794400,862,862
1539801600,870,870
1539808800,867,867
1539816000,866,866
1539823200,892,892
1539830400,850,850
1539837600,869,869
1539844800,893,893
1539852000,901,901
1539859200,887,887
1539866400,890,890
1539873600,892,892
1539880800,889,889
1539888000,884,884
1539895200,877,877
1539902400,872,872
1539910200,888,888
1539917400,853,853
1539924600,898,898
1539931800,893,893
1539939000,906,906
1539946200,891,891
1539953400,899,899
1539960600,891,891
1539967800,885,885
1539975000,885,885
1539982200,882,882
1539989400,881,881
1539996600,884,884
1540003800,855,855
1540011000,888,888
1540018200,902,902
1540025400,904,904
1540032600,887,887
1540039800,892,892
1540047000,874,874
1540054200,871,871
1540061400,875,875
1540068600,880,880
1540075800,876,876
1540083000,892,892
1540090200,834,834
1540097400,888,888
1540104600,872,872
1540111800,866,866
1540119000,871,871
1540126200,879,879
1540133400,874,874
1540140600,878,878
1540147800,877,877
1540155000,872,872
1540162200,867,867
1540169400,735,735
1540176600,866,866
1540183800,856,856
1540191000,844,844
1540198200,847,847
1540205400,836,836
1540212600,845,845
1540219800,849,849
1540227000,847,847
1540234200,852,852
1540241400,843,843
1540248600,867,867
1540255800,880,880
1540263000,862,862
1540270200,899,899
1540278000,905,905
1540281600,880,880
1540288800,869,869
1540296000,859,859
1540303200,858,858
1540310400,854,854
1540317600,847,847
1540324800,846,846
1540332000,849,849
1540339200,864,864
1540346400,866,866
1540353600,886,886
1540360800,892,892
1540368000,879,879
1540375200,873,873
1540382400,879,879
1540389600,873,873
1540396800,876,876
1540404000,880,880
1540411200,883,883
1540418400,884,884
1540425600,882,882
1540432800,856,856
1540440000,876,876
1540447200,884,884
1540454400,879,879
1540461600,878,878
1540468800,884,884
1540476000,876,876
1540483200,877,877
1540490400,881,881
1540497600,871,871
1540504800,868,868
1540512000,865,865
1540519200,871,871
1540526400,887,887
1540533600,887,887
1540540800,866,866
1540548000,869,869
1540555200,864,864
1540562400,864,864
1540569600,863,863
1540576800,859,859
1540584000,857,857
1540591200,856,856
1540598400,880,880
1540605600,861,861
1540612800,896,896
1540620000,904,904
1540627200,876,876
1540634400,887,887
1540641600,879,879
1540648800,876,876
1540656000,879,879
1540663200,888,888
1540670400,885,885
1540677600,879,879
1540684800,882,882
1540692000,839,839
1540699200,892,892
1540706400,887,887
1540713600,879,879
1540720800,877,877
1540728000,871,871
1540735200,864,864
1540742400,866,866
1540749600,868,868
1540756800,869,869
1540764000,867,867
1540771200,869,869
1540778400,835,835
1540785600,889,889
1540792800,880,880
1540800000,859,859
1540807200,869,869
1540814400,876,876
1540821600,881,881
1540828800,877,877
1540836000,875,875
1540843200,865,865
