DateTime,AddedIPs,RemovedIPs
1542731538,251,258
1542732020,8,13
1542732520,261,281
1542733455,280,250
1542733954,11,13
1542734102,68,0
1542734410,252,261
1542735386,251,240
1542735856,11,12
1542736575,265,255
1542737556,257,529
1542738015,97,2
1542738491,242,261
1542739960,259,253
1542740898,233,287
1542741302,241,0
1542741857,221,279
1542742811,171,256
1542743793,209,253
1542744735,213,260
1542744902,66,0
1542745698,248,250
1542746655,216,244
1542747630,219,267
1542748583,272,244
1542749540,209,280
1542750496,211,243
1542751480,212,303
1542752102,86,0
1542752428,241,0
1542753374,277,282
1542754332,245,260
1542755327,256,504
1542755702,95,0
1542756271,261,258
1542757214,230,7
1542758683,236,565
1542759158,38,10
1542759615,253,3893
1542760587,239,0
1542761078,19,7
1542761531,234,319
1542762496,226,292
1542763006,104,9
1542763469,256,590
1542764414,216,0
1542764909,7,0
1542765370,23,316
1542766356,27,597
1542766502,71,0
1542767289,48,17
1542768319,30,657
1542768746,10,0
1542769224,29,291
1542770429,105,304
1542770899,14,10
1542771397,51,312
1542772331,398,333
1542772838,4,9
1542773313,431,317
1542773702,109,0
1542774275,342,299
1542774758,10,0
1542775212,273,315
1542776186,257,341
1542776661,7,11
1542777157,328,328
1542777302,98,0
1542778090,287,370
1542778590,11,13
1542779057,248,343
1542780042,288,343
1542780517,5,8
1542780979,367,416
1542781938,276,388
1542782434,7,4
1542782893,275,368
1542783873,307,329
1542784342,7,7
1542784829,317,305
1542785771,273,364
1542786382,4,6
1542786736,270,383
1542787712,268,378
1542788229,136,5
1542788671,261,393
1542789613,289,0
1542790569,252,341
1542791537,225,334
1542792029,140,14
1542792492,265,369
1542793469,254,311
1542793936,6,3
1542794413,254,339
1542795372,436,310
1542795851,21,53
1542796353,322,315
1542797291,288,344
1542797788,3,0
1542798257,332,361
1542798902,191,0
1542799216,286,287
1542800181,281,311
1542801142,326,290
1542801672,4,27
1542802098,322,323
1542802502,147,0
1542803062,336,315
1542803558,7,12
1542804028,285,283
1542804974,300,298
1542805481,12,11
1542805940,237,284
1542806103,135,0
1542806893,253,270
1542807373,3,11
1542807868,261,299
1542808820,293,288
1542809324,8,13
1542809780,443,323
1542810743,268,305
1542811234,12,8
1542811692,244,287
1542812673,346,291
1542813144,7,8
1542813303,141,0
1542813610,293,251
1542814572,265,295
1542815053,6,9
1542815549,259,273
1542816537,226,253
1542816999,114,6
1542817471,298,275
1542818417,256,352
1542818917,9,7
1542819372,273,266
1542820343,251,299
1542820835,118,12
1542821291,274,300
1542822272,285,287
1542822740,5,8
1542823219,281,310
1542824187,376,256
1542824672,4,8
1542825136,269,283
1542826095,288,0
1542827057,926,282
1542827702,78,0
1542828027,271,253
1542828490,8,17
1542828970,281,219
1542829933,291,235
1542830440,12,4
1542830915,283,220
1542831302,63,0
1542831871,277,196
1542832342,8,14
1542832811,263,241
1542833772,301,208
1542834281,1,2
1542834744,262,232
1542834902,68,0
1542835695,244,256
1542836197,5,9
1542836697,272,228
1542837622,262,220
1542838124,7,15
1542838585,330,198
1542839537,261,240
1542840031,10,9
1542840496,280,234
1542841456,249,227
1542841959,34,33
1542842437,336,218
1542843382,285,235
1542843883,9,7
1542844936,252,234
1542846037,392,3742
1542846970,349,0
1542847938,271,568
1542848897,287,229
1542849302,65,0
1542849860,324,69
1542850811,266,253
1542851789,270,155
1542852735,265,0
1542852902,87,0
1542853697,269,113
1542854658,324,0
1542855648,334,89
1542856582,336,0
1542857541,295,50
1542858493,282,242
1542859476,299,390
1542860102,56,0
1542860432,247,379
1542861387,319,329
1542862361,249,290
1542863302,296,261
1542863702,124,0
1542864253,279,285
1542865321,258,313
1542866411,271,270
1542867154,9,6
1542867370,407,290
1542868342,318,617
1542869055,5,6
1542869291,282,0
1542870274,290,568
1542871248,422,246
1542872666,339,263
1542873152,9,5
1542873621,269,214
1542874576,449,295
1542875056,0,13
1542875558,307,272
1542876492,275,280
1542877019,8,0
1542877463,274,257
1542878102,391,0
1542878426,300,213
1542878905,2,7
1542879396,326,251
1542880354,296,235
1542880850,29,5
1542881297,281,267
1542881702,249,0
1542882252,229,314
1542883215,285,284
1542884187,256,234
