DateTime,Entries,UniqueIPs
1542582275,312021,341582
1542583209,312017,341583
1542584171,312015,341580
1542584651,312028,341594
1542585140,312033,341606
1542586095,312049,341623
1542587558,312034,341610
1542588501,312032,341609
1542589470,312051,341629
1542590410,312064,341636
1542591388,312077,341643
1542592338,312083,341652
1542593312,312090,341664
1542594253,312101,341676
1542595212,312107,341688
1542596192,312103,341687
1542597135,312114,341701
1542598109,312142,341731
1542599071,312155,341748
1542600020,312177,341770
1542600985,312197,341784
1542601943,312223,341811
1542602893,312243,341833
1542603884,312261,341860
1542604814,312284,341886
1542605790,312312,341927
1542606757,312326,341942
1542607723,312343,341964
1542608669,312390,342026
1542609613,312399,342053
1542610572,312411,342072
1542611560,312441,342107
1542612493,312471,342143
1542613465,312497,342174
1542614431,312541,342223
1542615378,312576,342277
1542616341,312608,342313
1542617298,312631,342342
1542618273,312650,342368
1542619217,312683,342403
1542620171,312713,342436
1542621132,312733,342455
1542622111,312756,342478
1542623094,312785,342496
1542624012,312791,342504
1542624972,312826,342544
1542625953,312848,342570
1542627155,312866,342596
1542628100,312887,342615
1542629057,312915,342648
1542630010,312472,342131
1542630995,312488,342155
1542631957,312519,342188
1542632896,312541,342213
1542633855,312546,342222
1542634834,312557,342241
1542635774,312579,342273
1542636748,312589,342289
1542637691,312609,342303
1542638662,312631,342330
1542639628,312657,342358
1542640584,312687,342391
1542641536,312706,342414
1542642499,312719,342427
1542643479,312726,342438
1542644432,312739,342458
1542645400,312755,342481
1542646354,312771,342500
1542647298,312787,342524
1542648254,312791,342526
1542649213,312800,342544
1542650189,312814,342564
1542651137,312833,342583
1542652089,312848,342597
1542653073,312853,342601
1542654024,312868,342621
1542654976,312504,342234
1542655941,312509,342234
1542656894,312534,342261
1542657861,312533,342265
1542658822,312551,342285
1542659775,312569,342313
1542660734,312593,342357
1542661723,312583,342348
1542662653,312586,342349
1542663615,312587,342353
1542664586,312612,342371
1542666048,312602,342361
1542666984,312606,342375
1542667949,312618,342388
1542668902,312634,342413
1542669866,312658,342440
1542670815,312671,342461
1542671772,312688,342480
1542672740,312696,342492
1542674206,312714,342507
1542675133,312758,342555
1542676101,312817,342615
1542677057,312852,342647
1542678021,312898,342694
1542678973,312944,342726
1542679938,313002,342799
1542680890,313033,342829
1542681860,313066,342865
1542682819,313121,342919
1542683786,313159,342960
1542684737,313206,343006
1542685704,313240,343046
1542686659,313276,343088
1542687623,313304,343119
1542688572,313330,343148
1542689557,313352,343175
1542690493,313372,343200
1542691457,313422,343247
1542692412,313461,343286
1542693394,313502,343332
1542694333,313505,343360
1542695293,313549,343399
1542696254,313578,343428
1542697234,313623,343477
1542698181,313665,343521
1542699187,313692,343550
1542700093,313709,343573
1542701173,313736,343600
1542702253,313784,343649
1542703279,313814,343690
1542704430,313839,343713
1542705616,313883,343760
1542706586,313894,343774
1542707530,313925,343805
1542708513,313936,343815
1542708972,313929,343807
1542709497,313955,343839
1542710411,313966,343860
1542711384,313981,343875
1542712352,313994,343890
1542713290,314011,343898
1542714255,314020,343907
1542715253,314028,343917
1542716185,314203,344067
1542717154,314212,344080
1542718094,314221,344090
1542719063,314213,344087
1542720008,314228,344097
1542720987,314239,344109
1542721932,314243,344115
1542722911,314235,344109
1542723856,314227,344102
1542724826,314249,344127
1542725788,314257,344134
1542726734,314270,344147
1542727698,314272,344151
1542728667,314278,344157
1542729615,314282,344168
1542730584,314306,344192
1542731538,314335,344234
1542732520,314351,344248
1542733455,314361,344254
1542734410,314373,344271
1542735386,314365,344261
1542736575,314368,344273
1542737556,314346,344242
1542738491,314381,344279
1542739960,314384,344286
1542740898,314381,344278
1542741857,314386,344279
1542742811,314388,344284
1542743793,314415,344311
1542744735,314422,344318
1542745698,314437,344331
1542746655,314444,344340
1542747630,314469,344371
1542748583,314469,344372
1542749540,314482,344386
1542750496,314480,344386
1542751480,314496,344402
1542752428,314492,344403
1542753374,314509,344417
1542754332,314538,344444
1542755327,314542,344450
1542756271,314550,344463
1542757214,314554,344469
1542758683,314525,344435
1542759130,314529,344437
1542759615,314554,344467
1542760587,314517,344430
1542761531,314554,344468
1542762496,314529,344441
1542762976,314533,344445
1542763469,314486,344396
1542764414,314512,344426
1542765370,314484,344400
1542766356,314415,344329
1542767289,314418,344337
1542768319,314354,344266
1542769224,314358,344271
1542770429,314309,344214
1542771397,314283,344197
1542772331,314335,344242
1542773313,314369,344281
1542774275,314392,344310
1542775212,314415,344340
1542776186,314437,344349
1542777157,314467,344377
1542778090,314472,344392
1542779057,314460,344384
1542780042,314452,344372
1542780979,314460,344384
1542781938,314454,344385
1542782893,314450,344385
1542783873,314454,344385
1542784829,314457,344375
1542785771,314464,344387
1542786736,314465,344388
1542787712,314469,344388
1542788671,314448,344367
1542789613,314444,344356
1542790569,314424,344336
1542791537,314456,344376
1542792492,314451,344371
1542793469,314474,344394
1542794413,314493,344418
1542795372,314508,344435
1542795851,314499,344422
1542796353,314532,344456
1542797291,314552,344473
1542798257,314581,344497
1542799216,314584,344502
1542800181,314597,344519
1542801142,314634,344560
1542802098,314646,344577
1542803062,314552,344444
1542804028,314540,344440
1542804974,314572,344468
1542805940,314571,344471
1542806893,314568,344479
1542807868,314575,344482
1542808820,314573,344466
1542809780,314595,344486
1542810743,314614,344501
1542811692,314620,344503
1542812673,314656,344534
1542813610,314669,344548
1542814572,314679,344561
1542815549,314688,344569
1542816537,314696,344584
1542817471,314717,344599
1542818417,314743,344627
1542819372,314747,344635
1542820343,314769,344659
1542821291,314781,344672
1542822272,314785,344682
1542823219,314798,344689
1542824187,314810,344699
1542825136,314803,344695
1542826095,314809,344705
1542827057,314830,344725
1542828027,314846,344741
1542828970,314856,344755
1542829933,314872,344770
1542830915,314885,344782
1542831871,314891,344788
1542832811,314910,344810
1542833772,314944,344845
1542834744,314948,344852
1542835695,314949,344856
1542836697,314964,344864
1542837622,314978,344823
1542838585,314998,344855
1542839537,314989,344853
1542840496,315010,344876
1542841456,315013,344810
1542841932,315016,344816
1542842437,315028,344824
1542843382,315022,344818
1542844936,315041,344840
1542846037,314998,344786
1542846970,315045,344835
1542847938,315013,344784
1542848897,315054,344835
1542849860,315035,344799
1542850811,315050,344810
1542851789,315088,344855
1542852735,315089,344833
1542853697,315094,344831
1542854658,315098,344841
1542855648,315112,344853
1542856582,315141,344888
1542857541,315136,344886
1542858493,315106,344836
1542859476,315107,344834
1542860432,315097,344819
1542861387,315139,344867
1542862361,315108,344843
1542863302,315153,344893
1542864253,315148,344892
1542865321,315140,344889
1542866411,315172,344922
1542867370,315179,344930
1542868342,315189,344939
1542869291,315201,344955
1542870274,315251,345011
1542871248,315249,345009
1542872666,315259,345018
1542873621,315268,345022
1542874576,315306,345066
1542875558,315316,345085
1542876492,315327,345094
1542877463,315325,345090
1542878426,315337,345098
1542879396,315360,345123
1542880354,315367,345132
1542880828,315378,345134
1542881297,315433,345194
1542882252,315425,345193
1542883215,315413,345175
1542884187,315427,345190
1542885156,315463,345223
1542886340,315473,345239
1542887292,315481,345242
1542888271,315488,345249
1542889221,314896,344547
1542890171,314907,344566
1542891147,314911,344563
1542892093,314933,344581
1542893068,314941,344589
1542894011,314959,344604
1542894971,314964,344610
1542895938,314975,344621
1542896888,314973,344622
1542897873,314976,344628
1542898823,314964,344621
1542900057,314980,344638
1542900971,314979,344637
1542901931,314993,344639
1542902962,314980,344624
1542903916,314983,344632
1542905139,314990,344637
1542906255,315015,344666
1542907219,315031,344685
1542908193,315034,344696
1542909132,315041,344708
1542910112,315055,344714
1542911211,315051,344712
1542912255,315063,344725
1542913225,315078,344738
1542914184,314008,343593
1542915137,314025,343612
1542916094,314035,343624
1542917073,314041,343634
1542918010,314064,343661
1542918971,314090,343682
1542919953,314106,343701
1542920897,314101,343688
1542921872,314093,343685
1542922829,314107,343702
1542923769,314144,343745
1542924755,314119,343720
1542925694,314128,343739
1542926658,314163,343779
1542927616,314165,343784
1542928094,314153,343769
1542928591,314173,343791
1542929575,314144,343757
1542930493,314152,343769
1542931457,314162,343801
1542931933,314158,343795
1542932414,314145,343785
1542933386,314145,343783
1542934353,314146,343781
1542935293,314155,343794
1542935767,314160,343799
1542936253,314171,343818
1542937213,314177,343822
1542938192,314180,343848
1542939135,314206,343884
1542940090,314208,343888
1542941070,314219,343915
1542942012,314236,343969
1542943233,314249,343988
1542944191,314281,344027
1542945135,314256,344006
1542946100,314301,344064
1542947057,314338,344111
1542948011,314360,344105
1542948983,314365,344108
1542949933,314361,344105
1542950888,314356,344097
1542951870,314373,344126
1542952839,314389,344141
1542953782,314406,344153
1542954743,314400,344149
1542955694,314415,344159
1542956673,314424,344168
1542957633,314427,344178
1542958571,314448,344200
1542959535,314462,344210
1542960513,314466,344219
1542961468,314483,344238
1542962410,314501,344256
1542963371,314506,344267
1542964352,314509,344266
1542965293,314516,344286
1542966253,314523,344297
1542966765,314532,344302
1542967238,314534,344316
1542968175,314539,344324
1542969143,314540,344333
1542970095,314571,344376
1542971059,314567,344381
1542972017,314567,344375
1542972984,314577,344399
1542973931,314594,344414
1542974896,314607,344429
1542975877,313910,343693
1542976823,313905,343692
1542977789,313897,343689
1542978734,313915,343713
1542979695,313925,343716
1542980663,313937,343738
1542981633,313958,343775
1542982588,313966,343797
1542983782,313978,343808
1542984734,313996,343824
1542985714,314014,343843
1542986692,313995,343837
1542987612,313990,343839
1542988573,313989,343841
1542989580,313986,343840
1542990498,313979,343837
1542991457,313979,343841
1542992433,313984,343855
1542993380,314025,343901
1542994357,314040,343918
1542995297,314040,343922
1542996259,314034,343919
1542997208,314040,343933
1542998175,314051,343943
1542999136,314052,343953
1543000114,314081,343994
1543001052,314117,344032
1543002015,314145,344065
1543002978,314154,344077
1543003946,314168,344088
1543004891,314179,344097
1543005872,314205,344125
1543006834,314210,344134
1543007787,314220,344146
1543008739,314233,344163
1543009695,314236,344171
1543010659,314245,344186
1543011623,314125,344058
1543012709,314152,344092
1543013380,314160,344107
1543013860,314180,344139
1543014994,314214,344181
1543015963,314248,344218
1543017142,314287,344272
1543018109,314322,344315
