DateTime,AddedIPs,RemovedIPs
1542696723,2,0
1542697406,77,15
1542698163,16,54
1542698523,3,0
1542699123,4,0
1542699723,3,1
1542700324,4,0
1542701008,6,0
1542701524,1,0
1542702123,3,0
1542702723,78,24
1542704162,24,49
1542704546,3,0
1542705123,4,0
1542705723,3,0
1542706923,4,0
1542708124,67,21
1542708149,0,2
1542708963,2,100
1542710523,1,0
1542711746,73,1
1542712924,7,0
1542713478,70,7
1542714123,11,0
1542714723,0,105
1542715348,1,0
1542716524,3,0
1542717724,2,0
1542719009,82,1
1542719523,7,0
1542720123,2,0
1542720482,0,66
1542720724,3,0
1542721325,1,0
1542721923,1,0
1542722554,89,0
1542723723,10,0
1542724326,0,76
1542724924,72,0
1542725525,2,0
1542726148,0,4
1542727323,2,0
1542727878,65,24
1542728524,2,0
1542729124,3,0
1542730084,83,106
1542730923,5,0
1542732124,3,0
1542732724,3,0
1542733347,2,94
1542734523,5,0
1542735123,2,0
1542736323,2,0
1542737008,161,1
1542737525,7,0
1542738004,0,118
1542738123,5,0
1542738724,100,0
1542739922,3,0
1542740523,1,0
1542741124,2,0
1542741723,1,0
1542742274,105,13
1542742923,2,0
1542743762,0,153
1542744147,90,0
1542745324,5,1
1542745923,85,70
1542747123,20,0
1542747808,2,0
1542748323,4,0
1542749471,87,18
1542750123,2,1
1542751350,46,48
1542752402,48,134
1542752524,5,0
1542753723,1,0
1542754322,2,0
1542754923,2,0
1542755523,2,0
1542756123,3,0
1542756676,65,12
1542757323,3,0
1542758643,3,218
1542759124,1,0
1542759722,4,0
1542760323,85,0
1542760924,2,0
1542761522,1,0
1542762123,4,1
1542762483,0,108
1542762723,1,0
1542763323,2,0
1542764523,2,0
1542765809,66,4
1542766323,0,109
1542767523,62,0
1542768123,5,0
1542768723,3,0
1542769348,2,0
1542769923,4,0
1542770404,0,53
1542770523,2,0
1542771123,82,0
1542771724,2,0
1542772949,0,3
1542773523,7,0
1542774123,1,0
1542775323,5,0
1542775923,4,0
1542776162,83,94
1542776608,3,117
1542777124,3,0
1542777724,4,0
1542778323,83,0
1542778923,4,0
1542779522,10,0
1542780148,2,2
1542780724,4,0
1542781324,1,0
1542781923,86,12
1542782523,13,0
1542783843,18,58
1542784323,2,0
1542784923,2,0
1542786123,5,0
1542786722,3,0
1542787323,89,20
1542787682,0,104
1542787925,2,0
1542788523,3,0
1542790947,84,1
1542792123,7,0
1542793442,73,63
1542794608,4,63
1542795723,1,1
1542796324,75,0
1542796923,1,0
1542798149,7,1
1542799205,0,69
1542799323,1,0
1542799923,79,0
1542801723,0,1
1542801808,0,1
1542802323,2,3
1542802923,1,1
1542803522,62,17
1542804123,3,0
1542804963,0,96
1542805409,2,0
1542807080,78,0
1542807723,3,0
1542809009,8,1
1542809524,1,0
1542810123,6,0
1542810723,64,24
1542811323,3,0
1542811923,2,0
1542812643,1,113
1542813123,1,0
1542813723,2,0
1542814923,1,0
1542815523,1,0
1542816123,71,0
1542816724,3,0
1542817323,3,0
1542817922,83,13
1542818404,13,56
1542818525,1,0
1542819122,2,0
