DateTime,AddedIPs,RemovedIPs
1541618103,1,0
1541619005,256,256
1541621555,0,1
1541628903,257,258
1541632346,1,4
1541634032,256,256
1541636103,22,1
1541637030,256,256
1541639629,4,0
1541643303,2,2
1541646904,4,18
1541650350,3,6
1541653946,1,10
1541657704,3,3
1541661202,2,3
1541664904,4,2
1541668503,1,4
1541669403,0,1
1541669405,2,0
1541672107,1,1
1541675702,1,4
1541679323,1281,1281
1541682019,5632,29953
1541682802,3,1
1541683677,256,256
1541683803,0,3
1541686349,1,2
1541689973,3,2
1541693576,4,2
1541697303,2,3
1541698098,256,257
1541700909,0,3
1541705726,257,259
1541708128,11,3
1541711618,6,3
1541715485,10,1
1541719833,258,257
1541722535,31,5
1541727556,3,1
1541729702,6,5
1541733303,4,32
1541736905,3,3
1541740373,7,4
1541741434,0,1
1541743960,1,1
1541745038,65536,272384
1541747703,0,11
1541751303,2,5
1541754782,2,8
1541758503,6,1
1541762110,6,5
1541765558,5,0
1541766831,0,256
1541767805,1024,29952
1541769303,5,2
1541772902,4,2
1541777684,1,3
1541780128,772,768
1541783702,2,3
1541785421,256,256
1541787302,2,1
1541790902,2,3
1541792348,256,256
1541794506,2,10
1541798103,3,7
1541801704,5,3
1541805171,7,1
1541808903,14,1
1541809839,256,256
1541812348,1,0
1541813695,256,256
1541815981,3,0
1541819703,5,21
1541823304,2,4
1541826905,0,5
1541830503,2,3
1541833248,256,256
1541833948,3,3
1541837540,3,1
1541844905,1,8
1541848380,5,3
1541854802,0,55808
1541855577,3,1
1541859304,3,3
1541862904,10,7
1541866527,773,769
1541870104,4,2
1541872202,256,256
1541873702,1,4
1541877302,3,4
1541880697,0,1
1541884504,0,3
1541888104,3,2
1541891710,1,2
1541892902,256,256
1541895310,20,0
1541899831,1,0
1541902802,0,2
1541906103,0,19
1541909702,0,4
1541913302,1,3
1541916902,4,3
1541920502,2,0
1541927710,0,2
1541931305,3,0
1541934903,2,3
1541938503,3,2
1541941237,3840,7424
1541941931,1,3
1541945703,2,4
1541949303,2,2
1541952903,5,2
1541956502,3,2
1541960126,1029,1026
1541964602,256,256
1541965202,1,4
1541967303,2,2
1541970902,0,2
1541974502,2,2
1541978105,4,4
1541979088,256,256
1541981703,8,4
1541985340,12,1
1541988707,5,4
1541990402,256,256
1541991902,256,256
1541992503,6,6
1541996110,4,24
1541999703,6,2
1542003075,4,3
1542006903,2,6
1542010502,6,3
1542014104,4,6
1542017711,3,8
1542021303,4,3
1542024904,3,8
1542028503,7,2
