DateTime,Entries,UniqueIPs
1542596168,32151,47789
1542597133,32159,47797
1542597317,32110,47746
1542598508,32070,47711
1542599069,32078,47718
1542600031,32113,47754
1542600983,32111,47750
1542601826,32172,47812
1542602891,32178,47817
1542603604,32244,47885
1542604812,32171,47814
1542606755,32138,47785
1542606967,32138,47785
1542608108,32090,47738
1542608667,32109,47756
1542609904,32099,47741
1542610570,32101,47744
1542611408,32104,47748
1542612491,32112,47756
1542613327,32137,47783
1542614428,32206,47854
1542615247,32106,47751
1542616339,32120,47765
1542617110,32106,47753
1542618271,32108,47755
1542618902,32129,47772
1542620169,32141,47784
1542620529,32135,47779
1542621368,32150,47788
1542622110,32150,47788
1542622506,32162,47799
1542624008,32163,47803
1542624128,32142,47784
1542625947,31342,46944
1542626102,31341,46951
1542627849,31347,46956
1542627903,31352,46965
1542628567,31355,46969
1542629769,31720,47346
1542630008,31734,47362
1542631954,31714,47339
1542633304,31660,47286
1542633851,31668,47297
1542634265,31751,47382
1542635770,31766,47394
1542636028,31703,47325
1542636903,31715,47336
1542637688,31734,47367
1542638704,31706,47337
1542639625,31724,47360
1542640504,31720,47352
1542641533,31728,47360
1542641769,31721,47607
1542642303,31705,47592
1542643474,31817,47708
1542644104,31817,46943
1542645397,31888,47014
1542647295,31901,47029
1542647703,31797,46924
1542648716,31859,46987
1542649210,31862,46989
1542649327,31823,46948
1542651134,31831,46957
1542651255,31287,46375
1542652087,31361,46454
1542653070,31388,46485
1542653767,30907,45824
1542654972,30929,45847
1542656065,30725,45625
1542656890,30736,45636
1542657626,30752,45652
1542658502,30720,45616
1542658819,30727,45623
1542659709,30715,45610
1542660731,30716,45611
1542660968,30727,45618
1542662108,30707,45598
1542662650,30706,45596
1542663031,30748,45638
1542664584,30751,45641
1542665715,30700,45585
1542666525,30686,45571
1542667327,30701,45584
1542668437,30719,45603
1542669303,30734,45362
1542670352,30737,45365
1542671114,30648,45273
1542672282,30969,45607
1542672310,30925,45558
1542672903,30925,45303
1542674203,30918,45297
1542674350,30986,45365
1542674708,30991,45370
1542676097,30989,45369
1542677433,30994,45374
1542678019,31006,45385
1542678128,30986,45365
1542679934,30989,45366
1542680046,30951,45330
1542681856,30956,45335
1542681905,30952,45331
1542683783,30931,45308
1542685701,30905,45279
1542686489,30858,45236
1542687621,30936,45318
1542688090,30983,45366
