DateTime,AddedIPs,RemovedIPs
1542610924,3,2
1542611524,1,0
1542612123,3,0
1542612724,3,0
1542613325,2,0
1542614524,3,1
1542616325,2,0
1542616923,10,0
1542619323,3,0
1542620523,2,0
1542621723,4,0
1542622324,2,0
1542622923,2,0
1542623523,2,0
1542624123,2,0
1542626523,5,0
1542628923,5,0
1542631323,3,0
1542632524,2,0
1542633124,3,1
1542634925,5,0
1542635523,9,0
1542636123,7,0
1542637323,6,0
1542637923,1,0
1542638523,1,0
1542639723,1,0
1542640324,4,0
1542641523,1,0
1542642123,7,1
1542643324,2,0
1542643922,1,0
1542644523,2,0
1542645124,1,0
1542645723,4,0
1542646924,2,0
1542647525,2,0
1542648123,3,0
1542649324,5,0
1542649923,2,0
1542650523,2,0
1542651723,1,0
1542652324,2,0
1542652923,3,0
1542655323,5,0
1542657723,7,0
1542658923,29,0
1542660124,7,0
1542660723,5,0
1542661323,8,0
1542661923,2,0
1542662524,3,0
1542663723,3,0
1542664323,23,0
1542664924,4,0
1542665523,17,0
1542666123,2,0
1542667323,1,0
1542667923,1,0
1542668523,2,0
1542669124,3,0
1542669723,2,0
1542670922,4,0
1542672125,7,0
1542672723,1,0
1542673323,2,0
1542673923,1,0
1542675123,14,0
1542675723,3,0
1542676324,1,0
1542676925,1,0
1542678123,1,0
1542679324,1,0
1542680523,6,0
1542681123,13,0
1542681723,5,0
1542682323,2,0
1542682923,2,0
1542683523,1,0
1542684724,3,0
1542685322,3,0
1542685923,3,0
1542686523,1,0
1542687123,1,0
1542687723,3,0
1542688323,4,0
1542688923,4,0
1542690124,2,0
1542690724,6,0
1542693724,4,0
1542694923,3,0
1542695523,2,0
1542696124,1,0
1542696723,2,0
1542697324,3,0
1542697923,4,0
1542698523,3,0
1542699123,4,0
1542699723,3,1
1542700324,4,0
1542700924,6,0
1542701524,1,0
1542702123,3,0
1542702723,2,0
1542704523,3,0
1542705123,5,0
1542705723,3,0
1542706923,4,0
1542708723,2,0
1542710523,1,0
1542711723,6,0
1542712924,7,0
1542714123,11,0
1542715323,1,0
1542716524,3,0
1542717724,2,0
1542718923,4,0
1542719523,7,0
1542720123,2,0
1542720724,3,0
1542721325,1,0
1542721923,1,0
1542722523,3,0
1542723723,10,0
1542725525,2,0
1542727323,2,0
1542728524,2,0
1542729124,3,0
1542729723,4,0
1542730923,5,0
1542732124,3,0
1542732724,3,0
1542733323,2,0
1542734523,5,0
1542735123,2,0
1542736323,2,0
1542736923,3,0
1542737525,7,0
1542738123,5,0
1542738724,6,0
1542739922,3,0
1542740523,1,0
1542741124,2,0
1542741723,1,0
1542742923,2,0
1542744123,3,0
1542745324,5,1
1542745923,2,0
1542747123,20,0
1542747723,2,0
1542748323,4,0
1542750123,2,1
1542751323,3,0
1542752524,5,0
1542753723,1,0
1542754322,2,0
1542754923,2,0
1542755523,2,0
1542756123,3,0
1542757323,3,0
1542758525,3,0
1542759124,1,0
1542759722,4,0
1542760323,4,0
1542760924,2,0
1542761522,1,0
1542762123,4,1
1542762723,1,0
1542763323,2,0
1542764523,2,0
1542765723,1,0
1542768123,5,0
1542768723,3,0
1542769324,2,0
1542769923,4,0
1542770523,2,0
1542771123,7,0
1542771724,2,0
1542773523,7,0
1542774123,1,0
1542775323,5,0
1542775923,4,0
1542776524,3,0
1542777124,3,0
1542777724,4,0
1542778323,6,0
1542778923,4,0
1542779522,10,0
1542780123,2,0
1542780724,4,0
1542781324,1,0
1542781923,3,0
1542782523,13,0
1542783724,6,0
1542784323,2,0
1542784923,2,0
1542786123,5,0
1542786722,3,0
1542787323,3,0
1542787925,2,0
1542788523,3,0
1542790924,7,0
1542792123,7,0
1542793323,3,0
1542794524,4,1
1542795723,1,1
1542796324,1,0
1542796923,1,0
1542798123,7,0
1542799323,1,0
1542799923,4,0
1542801723,0,1
1542802323,2,3
1542802923,1,1
1542804123,3,0
1542805323,2,0
1542807723,3,0
1542808923,7,0
1542809524,1,0
1542810123,6,0
1542810723,2,0
1542811323,3,0
1542811923,2,0
1542812523,1,0
1542813123,1,0
1542813723,2,0
1542814923,1,0
1542815523,1,0
1542816123,1,0
1542816724,3,0
1542817323,3,0
1542817922,1,0
1542818525,1,0
1542819122,2,0
1542819725,1,0
1542820323,1,0
1542820924,2,0
1542822123,1,0
1542822723,3,0
1542823323,3,0
1542823923,2,0
1542824523,2,1
1542825723,2,0
1542826323,1,0
1542828123,1,0
1542829923,1,0
1542830524,3,0
1542831123,4,0
1542831723,0,1
1542832323,2,0
1542832923,5,0
1542834123,19,0
1542834723,1,0
1542835323,6,0
1542835923,1,0
1542837724,1,0
1542838324,7,0
1542839523,2,0
1542840123,2,0
1542840724,3,0
1542841323,1,0
1542841923,1,0
1542842523,1,0
1542843123,2,0
1542843723,3,0
1542844323,5,0
1542845523,1,0
1542846123,4,0
1542847324,7,0
1542849125,1,0
1542849723,2,0
1542850323,1,0
1542850923,1,0
1542852124,2,0
1542853324,1,0
1542853923,3,0
1542854523,3,0
1542855123,1,0
1542855723,5,0
1542856324,3,0
1542856924,4,0
1542857523,2,0
1542858123,8,0
1542858724,6,0
1542859323,5,0
1542860523,1,0
1542861124,5,0
1542861724,4,0
1542862322,1,0
1542862923,5,0
1542864123,2,1
1542864724,2,0
1542865323,1,0
1542866523,1,0
1542867723,5,0
1542868323,3,0
1542868923,4,0
1542870123,6,0
1542870723,13,0
1542871323,13,0
1542871923,10,0
1542872523,0,1
1542873723,1,0
1542874924,2,0
1542875523,1,0
1542876123,2,0
1542876723,4,0
1542877323,2,0
1542877924,2,0
1542878523,1,0
1542879123,2,0
1542880323,1,0
1542880923,1,0
1542881525,1,0
1542882123,1,0
1542883323,4,0
1542884523,1,1
1542885723,4,0
1542886923,2,0
1542888123,4,0
1542890523,4,0
1542891724,2,0
1542892324,3,0
1542892923,7,0
1542894123,4,0
1542895323,4,0
1542896523,1,0
1542897123,4,0
1542897723,3,0
1542898924,1,0
1542899523,2,0
1542900124,2,0
1542901324,1,0
1542903124,3,0
1542903723,2,0
1542904323,1,0
1542904924,3,0
1542906123,4,0
1542906723,2,0
1542907323,3,0
1542907924,5,0
1542909723,3,0
1542910923,5,0
1542911524,1,0
1542912723,1,0
1542913323,1,0
1542913924,17,0
1542914524,2,0
1542915124,1,0
1542915723,1,0
1542916923,5,0
1542918123,4,0
1542919325,1,0
1542920523,19,0
1542921723,3,0
1542922264,2,0
1542925924,1,0
1542926524,1,0
1542927724,3,0
1542929523,9,0
1542930124,3,0
1542930723,3,0
1542931923,1,0
1542932523,2,0
1542933723,5,0
1542936723,1,0
1542937923,1,0
1542938523,1,0
1542939124,7,0
1542939723,6,0
1542940923,3,0
1542942123,1,1
1542942724,1,0
1542943323,5,0
1542943923,2,0
1542944522,1,0
1542945123,2,0
1542945723,4,0
1542946326,5,0
1542948123,2,0
1542949323,1,0
1542950524,5,0
1542951725,5,0
1542952323,5,0
1542952923,2,0
1542953524,4,0
1542954123,5,0
1542954723,1,0
1542955323,1,0
1542956523,1,0
1542957124,4,0
1542957723,6,0
1542958923,2,1
1542959524,1,0
1542960123,1,0
1542960724,1,0
1542961324,2,0
1542961923,1,0
1542962523,0,1
1542963123,1,0
1542963723,1,0
1542964923,3,0
1542965523,1,0
1542966123,2,0
1542966723,1,0
1542967324,1,0
1542968523,3,0
1542969123,2,0
1542969724,6,0
1542970323,3,0
1542972123,1,0
1542975122,1,0
1542976924,6,0
1542977523,1,0
1542978123,1,0
1542979323,2,1
1542979923,84,1
1542980523,5,0
1542981723,2,1
1542982323,5,0
1542982923,2,0
1542983523,2,0
1542985323,1,0
1542985923,1,0
1542987723,1,0
1542988924,3,0
1542990723,26,0
1542992523,1,0
1542993723,1,0
1542994923,2,0
1542996123,1,0
1542998523,1,0
1542999723,3,0
1543001523,2,0
1543002123,1,0
1543002723,3,0
1543003323,4,0
1543004523,3,0
1543005724,3,0
1543006324,1,0
1543006923,5,0
1543008123,4,0
1543009323,4,0
1543009923,4,0
1543010523,4,0
1543011724,6,0
1543012923,2,0
1543013523,3,0
1543014123,1,0
1543015323,1,0
1543015923,4,0
1543016524,1,0
1543017124,5,0
1543017724,10,0
1543018323,5,0
1543018923,9,0
1543019523,7,0
1543020723,1,0
1543021323,3,0
1543024923,3,0
1543025523,4,0
1543026123,1,0
1543027323,2,0
1543027924,1,0
1543028524,1,0
1543029124,4,0
1543029723,2,0
1543030324,1,0
1543030923,1,0
1543031523,2,0
1543032122,5,0
1543033323,1,0
1543034524,2,0
1543035723,2,0
1543036323,2,0
1543036923,1,0
1543038123,1,0
1543039324,2,0
1543040523,1,0
1543041123,5,0
1543042923,4,0
1543043523,3,0
1543044123,1,0
1543044723,1,0
1543045323,16,0
1543045923,4,0
1543046524,4,0
1543047724,2,0
1543050123,2,0
1543050723,2,0
1543051324,2,0
1543051923,1,0
1543052523,2,0
1543053124,3,0
1543053723,1,0
1543056123,2,0
1543056724,4,0
1543057323,3,0
1543057923,3,0
1543058524,5,0
