DateTime,Entries,UniqueIPs
1542060268,2790,2790
1542062189,2776,2776
1542064354,2775,2775
1542066274,2778,2778
1542068183,3305,3305
1542070092,3295,3295
1542072016,3273,3273
1542073936,3271,3271
1542075855,3267,3267
1542077786,3281,3281
1542079693,3294,3294
1542081617,3315,3315
1542083542,3331,3331
1542085464,3344,3344
1542087379,3351,3351
1542089299,3355,3355
1542091212,3363,3363
1542093136,3374,3374
1542095068,3385,3385
1542096985,3378,3378
1542098892,3381,3381
1542100818,3407,3407
1542102734,3419,3419
1542104675,3421,3421
1542106569,3441,3441
1542108489,1882,1882
1542110468,2600,2600
1542112356,2608,2608
1542114252,2616,2616
1542116417,2651,2651
1542118339,2679,2679
1542120254,2707,2707
1542122181,2709,2709
1542124244,2742,2742
1542126265,2745,2745
1542128168,2758,2758
1542130095,2773,2773
1542132014,2778,2778
1542133952,2775,2775
1542135860,2773,2773
1542137773,2804,2804
1542139957,2814,2814
1542141875,2818,2818
1542143784,2825,2825
1542145697,2840,2840
1542147634,2838,2838
1542149564,2824,2824
1542151455,2820,2820
1542153449,2817,2817
1542155533,3428,3428
1542157468,3428,3428
1542159369,3448,3448
1542161306,3451,3451
1542163456,3454,3454
1542165377,3457,3457
1542167294,3461,3461
1542169209,3466,3466
1542171162,3479,3479
1542173053,3484,3484
1542174974,3468,3468
1542176891,3455,3455
1542178819,3460,3460
1542180752,3478,3478
1542182919,3479,3479
1542185059,3499,3499
1542186987,3493,3493
1542189134,3497,3497
1542191067,3478,3478
1542192987,3470,3470
1542194888,1905,1905
1542196851,2636,2636
1542198767,2643,2643
1542200654,2659,2659
1542202570,2670,2670
1542204494,2691,2691
1542206414,2697,2697
1542208342,2710,2710
1542210255,2703,2703
1542212435,2681,2681
1542214369,2683,2683
1542216508,2702,2702
1542218439,2746,2746
1542220338,2780,2780
1542222274,2784,2784
1542224194,2797,2797
1542226119,2805,2805
1542228030,2791,2791
1542229941,2766,2766
1542231888,2752,2752
1542233786,2724,2724
1542235973,2716,2716
1542238358,2698,2698
1542240262,3357,3357
