DateTime,AddedIPs,RemovedIPs
1542561304,533,515
1542562204,502,496
1542563104,571,530
1542564005,581,629
1542564905,627,563
1542565805,651,721
1542566704,900,842
1542567604,966,795
1542568504,997,917
1542569404,846,1053
1542570304,929,1075
1542571204,785,560
1542572105,754,940
1542573005,669,917
1542573905,1627,1555
1542574804,1173,1334
1542575705,760,1158
1542577504,2303,2513
1542578405,770,722
1542579306,2154,1893
1542580205,574,992
1542581104,536,1357
1542582005,524,1330
1542582904,563,1265
1542583804,532,1062
1542585604,1112,1426
1542586505,708,866
1542587405,864,1157
1542588306,907,1470
1542589205,877,1043
1542590105,919,747
1542591005,838,750
1542591905,756,493
1542592804,790,569
1542593705,793,549
1542594605,797,940
1542595505,777,903
1542596405,764,457
1542597305,758,442
1542598204,734,445
1542600005,1177,1239
1542600905,559,569
1542601805,595,593
1542602705,556,605
1542603605,937,887
1542604506,1223,1081
1542605405,598,542
1542607208,2083,778
1542608106,971,330
1542609007,816,293
1542609907,762,414
1542610807,727,300
1542611707,851,545
1542613507,1786,1503
1542614407,828,723
1542615307,855,603
1542616205,745,677
1542617105,694,361
1542618005,670,394
1542618905,686,539
1542619805,563,591
1542620704,898,790
1542621605,2177,1730
1542622505,878,987
1542623406,668,882
1542624305,637,710
1542625205,508,572
1542626105,707,825
1542627004,615,911
1542627905,1587,1267
1542628805,1282,1026
1542629704,1233,992
1542630605,1447,1054
1542632406,1380,1210
1542633305,846,902
1542634205,912,1011
1542635104,1292,1129
1542636004,1829,1435
1542636905,873,803
1542638705,1573,1272
1542639605,800,792
1542640505,849,762
1542641405,735,834
1542642304,867,792
1542643204,657,681
1542644104,633,658
1542645905,1269,1745
1542646805,516,869
1542647705,500,1074
1542648604,502,1066
1542650405,1204,1655
1542651306,981,1176
1542653104,3232,2862
1542654004,703,712
1542654905,849,798
1542655805,943,1080
1542656705,952,1077
1542657604,788,807
1542658505,718,781
1542659405,770,855
1542660305,724,714
1542661205,628,718
1542662104,635,782
1542663005,683,864
1542663905,733,854
1542664805,990,823
1542665705,1367,1015
1542666604,1056,846
1542667505,528,562
1542668405,521,517
1542669305,542,528
1542670204,580,571
1542671105,546,562
1542672005,509,507
1542672904,548,607
1542674704,1154,1190
1542675605,583,446
1542676504,720,527
1542677406,858,591
1542678305,758,517
1542679204,728,409
1542680104,841,637
1542681904,1457,1254
1542682805,568,620
1542683705,738,858
1542684605,797,968
1542685504,764,883
1542686405,743,655
1542687305,772,724
1542688205,711,722
1542689104,540,588
1542690004,608,665
1542690904,522,539
