DateTime,Entries,UniqueIPs
1537463425,4455,4455
1537474824,4320,4320
1537485025,4339,4339
1537495823,4375,4375
1537506623,4369,4369
1537517426,4565,4565
1537526426,4504,4504
1537537825,4485,4485
1537549226,4360,4360
1537560625,4126,4126
1537572024,4160,4160
1537582823,4093,4093
1537592423,4121,4121
1537602026,3982,3982
1537612826,3906,3906
1537623626,3852,3852
1537634426,3833,3833
1537644625,3932,3932
1537654225,3936,3936
1537664424,3953,3953
1537674023,3870,3870
1537682423,3867,3867
1537693226,3723,3723
1537702826,3690,3690
1537713626,3677,3677
1537725625,3579,3579
1537735225,3512,3512
1537745425,3558,3558
1537755024,3613,3613
1537763424,3664,3664
1537771824,3662,3662
1537781426,3653,3653
1537791026,3563,3563
1537803625,3121,3121
1537813826,3036,3036
1537822825,3035,3035
1537831224,3032,3032
1537839023,3084,3084
1537846823,3099,3099
1537855224,3155,3155
1537863027,3093,3093
1537871427,3074,3074
1537885826,3175,3175
1537893625,3108,3108
1537901425,2973,2973
1537909826,2874,2874
1537919424,2797,2797
1537929024,2641,2641
1537938623,2572,2572
1537947033,2604,2604
1537955426,2573,2573
1537963226,2667,2667
1537977026,2752,2752
1537990825,2695,2695
1538005224,2726,2726
1538013023,2678,2678
1538027423,2575,2575
1538041827,2546,2546
1538056239,2609,2609
1538070645,2721,2721
1538084439,2715,2715
1538098235,2761,2761
1538111434,2678,2678
1538125246,2659,2659
1538139034,2554,2554
1538148036,2467,2467
1538155836,2465,2465
1538163035,2490,2490
1538170836,2374,2374
1538179229,2350,2350
1538187027,2308,2308
1538201431,2406,2406
1538209235,2439,2439
1538217039,2338,2338
1538224842,2186,2186
1538239235,2378,2378
1538247639,2363,2363
1538262026,2314,2314
1538275224,2323,2323
1538289634,2317,2317
1538303442,2217,2217
1538317234,2192,2192
1538331636,2272,2272
1538339437,2161,2161
1538353229,2166,2166
1538367035,2190,2190
1538380838,2119,2119
1538394637,2034,2034
1538407837,2094,2094
1538421034,2092,2092
1538434835,2138,2138
1538446236,2215,2215
1538456429,2192,2192
1538467836,2218,2218
1538482238,2211,2211
1538494827,2120,2120
1538507425,2226,2226
1538517625,2284,2284
1538529025,2305,2305
1538541023,2301,2301
1538552427,2344,2344
1538563828,2338,2338
1538577626,2316,2316
1538584826,2374,2374
1538592626,2326,2326
1538607026,2293,2293
1538614225,2243,2243
1538628625,2168,2168
1538635824,2185,2185
1538643627,2135,2135
1538658027,2091,2091
1538671826,2031,2031
1538679026,2009,2009
1538693426,2477,2477
1538703025,4129,4129
1538715625,4028,4028
1538725826,4070,4070
1538736627,4120,4120
1538747426,4252,4252
1538756427,4400,4400
1538766626,4425,4425
1538775626,4323,4323
1538785225,5135,5135
1538800226,6576,6576
1538814628,5962,5962
1538827227,6168,6168
1538841627,6210,6210
1538857226,5692,5692
1538886625,4787,4787
1538900426,4701,4701
1538914828,4633,4633
1538931026,4299,4299
1538944226,4378,4378
1538956825,4255,4255
1538968225,4181,4181
1538981425,4013,4013
1538995227,3803,3803
1539007226,3717,3717
1539019825,3575,3575
1539032426,3527,3527
1539043825,3501,3501
1539057023,3387,3387
1539069028,3427,3427
1539080428,3411,3411
1539090027,3595,3595
1539100226,3672,3672
1539110426,3654,3654
1539121226,3833,3833
1539131426,3897,3897
1539140425,3891,3891
1539150625,3879,3879
1539160828,3880,3880
1539171628,3811,3811
1539181827,3925,3925
1539190826,3997,3997
