DateTime,AddedIPs,RemovedIPs
1542432485,9,7
1542432965,7,12
1542433447,9,8
1542433925,14,15
1542434412,10,7
1542434887,10,12
1542435368,8,7
1542435846,8,12
1542436326,13,15
1542436810,9,8
1542437285,8,4
1542437767,4,9
1542438246,12,7
1542438726,6,10
1542439205,12,6
1542439687,8,10
1542440164,9,7
1542440649,6,7
1542441124,6,5
1542441609,8,7
1542442086,9,10
1542442569,8,4
1542443045,7,6
1542443526,6,1
1542444007,1,0
1542444966,1,0
1542456976,0,1
1542457929,1,0
1542468007,0,1
1542469445,1,0
1542494404,0,1
1542495847,1,0
1542503287,1,11
1542503765,10,3
1542504246,6,10
1542504729,9,10
1542505205,10,9
1542505685,9,9
1542506165,9,10
1542506650,7,10
1542507126,10,8
1542507618,12,12
1542508085,9,5
1542508568,7,11
1542509048,8,8
1542509525,8,11
1542510015,11,11
1542510485,9,7
1542510967,10,5
1542511445,4,10
1542511930,12,12
1542512404,7,10
1542512886,10,10
1542513366,6,7
1542513847,10,9
1542514328,9,8
1542514808,7,9
1542515286,11,9
1542515769,8,11
1542516245,9,9
1542516728,11,6
1542517225,9,8
1542517687,9,7
1542518168,6,10
1542518645,9,7
1542519189,6,10
1542519604,10,11
1542520088,10,8
1542520881,11,8
1542521287,4,3
1542521768,4,4
1542522246,6,7
1542522966,7,9
1542523448,4,4
1542523930,4,7
1542524411,10,6
1542524888,5,8
1542525365,8,9
1542525847,11,8
1542526327,9,7
1542526805,5,7
1542527288,7,4
1542527766,5,7
1542528246,7,9
1542528726,10,9
1542529208,6,5
1542529685,4,3
1542530165,3,2
1542530648,1,0
1542531125,1,0
1542531612,1,0
1542545527,0,1
1542546009,1,0
1542553218,0,1
1542554168,1,0
1542560414,0,1
1542561369,1,0
1542568326,0,1
1542568804,1,0
1542570245,0,1
1542570725,1,0
1542588964,0,1
1542589445,0,1
1542589925,4,7
1542590405,5,10
1542590885,9,6
1542591364,10,9
1542591845,12,9
1542592325,11,8
1542592813,7,8
1542593285,9,12
1542593769,7,9
1542594245,8,7
1542594726,8,8
1542595204,6,6
1542595685,8,7
1542596165,7,8
1542596649,7,8
1542597125,8,5
1542597605,8,16
1542598088,13,9
1542598569,10,11
1542599045,9,8
1542599526,8,7
1542600008,8,3
1542600490,3,8
1542600968,7,6
1542601445,8,7
1542601931,7,8
1542602405,7,8
1542602885,7,3
1542603366,3,7
1542603847,6,4
1542604325,5,9
1542604808,9,7
1542605285,8,7
1542605765,8,11
1542606245,10,7
1542606729,11,9
1542607223,10,9
1542607687,5,7
1542608169,7,7
1542608644,8,4
1542609129,8,8
1542609605,5,6
1542610090,6,7
1542610566,8,8
1542611046,10,10
1542611528,11,13
1542612007,8,5
1542612487,5,7
1542612965,3,7
1542613449,7,4
